text,label
Aray mashallah nice work,0
Haye tera content bilkul bekaar hai bhai yaar,1
Bhai keep posting bro bhai,0
informative content hai :),0
Bhai well done yaar nice,0
Aray keep posting bro,0
Mashallah achha laga dekh kar ok,0
tumhara style alag hai :),0
nice explanation di hai tune,0
Mashallah good luck for next project ok,0
Mashallah nice tutorial hai :),0
Aray tu kitna irritating insan hai yaar yaar,1
Haye ye sab ajeeb content hai yaar bhai,1
Haye tu kitna nalayak insan hai yaar yaar,1
Mashallah nalayak banda hai tu,1
Haye tu kitna useless insan hai yaar bhai,1
tu kitna bakwas insan hai yaar yaar,1
Mashallah tu kitna nalayak insan hai yaar bro,1
Yaar tu drama queen nikla yaar haha,1
Bhai ye sab overacting content hai yaar lol,1
Yaar tera content bilkul irritating hai bhai ok,1
Haye mashallah nice work bro,0
Bhai tera content bilkul ajeeb hai bhai yaar,1
Aray tu kitna ajeeb insan hai yaar bhai,1
Haye mazza aa gaya dekh kar bro,0
Haye nalayak banda hai tu ok,1
Mashallah itna faltu content kyun upload karta hai yaar,1
Bhai helpful for beginners,0
Yaar aray pagal baatein mat kar lol haha,1
Bhai tera content bilkul pagal hai bhai haha,1
Bhai tera content bilkul irritating hai bhai,1
Mashallah badtameez aadmi lagta hai yaar,1
informative content hai,0
Haye tera content bilkul badtameez hai bhai yaar,1
zyada smart mat ban yaar bro,1
Aray nice message diya tune :),0
Aray tera content bilkul badtameez hai bhai,1
Bhai cool video bhai nice,0
Mashallah awaaz irritate karti hai teri bhai,1
tujhe sharam nahi aati bro,1
Mashallah great energy bro bro,0
Aray informative content hai,0
Yaar kamal ka effort hai,0
Bhai dil khush kar diya isne nice,0
Aray ye sab bekaar content hai yaar ok,1
Aray proud of you bro ok,0
tera content bilkul pagal hai bhai,1
Haye itna badtameez content kyun upload karta hai,1
Haye mazza aa gaya dekh kar bhai,0
Aray pagal sa behaviour dikha raha hai haha,1
Yaar ye sab bakwas content hai yaar haha,1
Yaar positive vibes only yaar,0
itna faltu content kyun upload karta hai ok,1
Mashallah helpful for beginners ok,0
Aray nice explanation di hai tune,0
Mashallah tu kitna bekaar insan hai yaar bro,1
Aray superb yaar yaar,0
Mashallah tera accent bilkul ajeeb hai ok,1
aise kaam se kuch nahi hota bro,1
Aray tu kitna bakwas insan hai yaar bhai,1
Aray itna nalayak content kyun upload karta hai yaar,1
bohot mehnat ki hai tune nice,0
Aray appreciate your effort bhai,0
Mashallah nice explanation di hai tune,0
Mashallah shukriya share karne ke liye ok,0
Mashallah tera content bilkul ghatiya hai bhai bro,1
Bhai very clean editing :),0
Mashallah respect for your hard work ok,0
Mashallah tum talented ho yaar yaar,0
perfect explanation hai yaar,0
Aray informative content hai nice,0
Aray tu toh pure time waste hai bro lol,1
