text,label
ya movie buht hi achi ha par thori urdu ma bnta to or bi bhtr hota﻿,1
"bilkul sahi fasihuddin bhai , agar 100 log hen to sab ke sab ko khush karna kabhi mumkin nahin hota kisi chiz pe koi aitraz karta hai to kisi pe koi aor , life is short that ' s why we should live the way we like , humari zindagi hai bhai logon ka to kaam hi kehna hai agar humen happily bitani hai to apne dil ke kehne pe chalna parega ke humen kia sahi lagta hai , log to bolte rahe the bolte hen aor bolte hi rahenge un ka to kaam hi bolna hai",1
wao yar i am searchng 4 thz thanx bro ur are most sweet person,1
error aa raha he janab,0
buht aala ... keep it up,1
ahmareen ki falsafa bhi ajeeb hai kay shoher kay saath 2 saal kay lie nahin jasakti japan sirf iss liye kay apna mulk nahin chhorna chahti . koi pagal larki hi hogi jo kay itnay handsome shoher kay saath nahin reh sakti .,0
hahahaha tu bta dety k mubarak nahi di ab ham bhool bhi jaty,0
maindak k mu walay chup ker,0
g bilkul ye sab insan k amamal ka nateeja he,0
bhttttt yummmmmmmmmmy : inlove :: inlove :,1
"uffff ,,,,, ye amna sheikh kitni kaali hai",0
ni ab ni kabhi nazuk mizaj ty ab tu ni hun or han toba etna bura taste tha k ab tk halq krhwa ho jata he,0
kane ke elawa bi koyi our kam hai,0
thnx bro bht achi sharing ki ap ne,1
"chalo s bar b ham reh gaye , waisay may ata tho dosray bacharo ko rank kaisay milta winner ka , s leye maira na ana hi brhtar hay",0
main recommend karta hon k ye set na lein ... kiun k ye chalte chalte band ho jata hai ..,0
ikram qureshi bhai hum . bhi apko bohot pyar karte hai kavi india vs pakistan match dekhne bangladesh ana apko lageka ap home ground pe . match dekh rahe ho﻿,1
zbrdast or samjhane ka andaz bhi bht acha tha,1
badam khao rozana subha shaam ... haafza theek hojaega :),1
ya ake num k fazzol mob hai koe mza nhe banda is sai axha hai k qmobile la lai,0
abbasi sb ap sirf protest he kerty hn .. or phir bhi wabsta rehty hn es media group se . defend bhi kerty hn es ko . ajeeb bat hy,0
ya ho e nae skta h nawz mudi k agy kra ho sky cal tu ke e ho ge,0
salaam muje tu angrezon se zeyda tu apne pakistani bhaiyon pe afsoss ho raha hai k un ki apni koi saamj bhoj nai hai allah ne un ko aqal nai di hai jo apne hi crickter ko bura bhala kah rahe hain sharm ati hai k apne hi bhaiyon ko crickter ko bagir soche samje sirf or sirf un agrizon k kahne pe bagir koi ilzaam sabat hone se pahle hi bora bhala kahne lag gay hain afsoss hai aese pakistaniyo pe ....,0
kamaal hai !! :d,1
super se b oper ki shareng ki hai apny bohat uma hamary sath itny achi shareng krny a shukriya,1
zabar dast drama ayza or danish very beautiful gore khy,1
harami pilay kab tak jhooth bolay ga aur apnay pujario ko bewaqoof banaye ga lanti,0
inshallah achay leader my lia acha ho ga,1
wah g wah kia baat hai ...,1
dunya ki sab sy bakwas tareen movie aur danish tamoor ko itni over acting k elawa kych nhi ata,0
"isy dekhny k baad thori c kalejy mein thand pari ha , aap b dekhye view hide",1
pasand karney ka shukriya bhai,1
"waise bhi main ajj tak kabhi awwal nahi aayi na , is lya kya faida",0
muj pti ke tarf laksn larn do main jatyo ga,1
ye waqi zabardasy model dia hai qmobile ne,1
nawaz sharif k jooty chatny walo apni ouqat ma raho .. khan ne ic mulk ko jagaya hai .,0
aap har section mein post karein tu zyada acha ho ga,1
"shame pti poir niswar govt in kpk . no water scheme , no health bugjet . no project . only daily jhote , fasad , fitna . sharam kary , haya",0
janab allah allah karo aap sab oor dua karo rab se,1
camera k alawa mobile bohat acha ha,1
as salam o alaikum !! facebook ka koi faida mujhay tu aaj tak nazar nai aaya ... haan time zaya krna hai tu ye aap k liye tb behtareen sabit ho gi .. bas pix dekh lo . vdoz share kr lo ... commnts diye ` liye .. kuch kam ka nai hai ... ooper se fzool kisam k game nd qz .. jin mei aap aik bar involve ho jain tu indian soaps ki trha wo ap ki jan kbi nai chorte ... bas addiction hi hoti hai,0
nishat anjum to phir drama aage kaise badhta ...... anyways very nice drama made some of my insights come out﻿,1
yeh bhi kui taaeef hai itni si taareef tu banda sharmo sharmi hi ker deta hai,0
laat maro jang group key rozee par . tableegh pay chalay jao .,0
chef asad bohat zaberdest sabzi bani maray abu to bus hi nahi kar rahay thay maza ki bat 1week ma 3 time bana chuki hun pls paw bhagi bhi bataya and app ki recipes frount par kyo nahi hoti bohat mushkil ss dhondne parti ha,1
awaz uthao apne mulk ke liye k hame aise leader chaye jo hamare mulk ko tariqi aur khushali dey ... pakistan zindabad ....,1
v . v . good cel phone,1
