Question,Answer
عمومی طور پر زمین سورج کے گرد کتنی دیر میں چکر لگاتی ہے؟,تقریباً 365 دن میں
حقیقت میں توقع سے زیادہ نمک کھانا کیسا؟,صحت کے لیے نقصان دہ
اکثر پودے کو کھاد کیوں؟,نشوونما بہتر ہوتی ہے
عمومی طور پر نیند کی کمی کا نقصان؟,تھکاوٹ اور کمزور توجہ
زیادہ تر ہوا کیسے چلتی ہے؟,درجہ حرارت کے فرق سے
اکثر صبر کا پھل کیا؟,کامیابی اور سکون
نل کھلا چھوڑنے کا نقصان؟,پانی ضائع ہوتا ہے
عمومی طور پر اساتذہ کا احترام کیوں؟,وہ علم دیتے ہیں
عمومی طور پر ہاتھ دھونا کیوں ضروری ہے؟,جراثیم ختم ہوتے ہیں
زیادہ تر رات کے وسط کو کیا کہتے ہیں؟,آدھی رات
بجلی کیسے بچائیں؟,غیر ضروری آلات بند کر کے
کمپیوٹر کے اہم حصے کون سے ہیں؟,پروسیسر، میموری اور اسٹوریج
حقیقت میں کھانا ضائع کیوں نہ کریں؟,وسائل کی بچت ہوتی ہے
عمومی طور پر سوشل میڈیا کیا ہے؟,آن لائن معلومات شیئر کرنے کے پلیٹ فارم
عام حالات میں ویب سائٹ کیا ہے؟,انٹرنیٹ پر معلومات کا صفحہ
حقیقت میں رات کو جلدی سونا کیسا؟,صحت کے لیے اچھا ہے
عام طور پر پانی کا کیمیائی فارمولا کیا ہے؟,پانی کا کیمیائی فارمولا H2O ہے
حقیقت میں آگ کے لیے کون سی چیز ضروری ہے؟,آکسیجن آگ کے لیے ضروری ہے
اکثر قطب نما کیا بتاتا ہے؟,سمتیں
مدد کرنے کا فائدہ؟,خوشی اور اچھے رشتے
زیادہ تر بیٹری کیا کام کرتی ہے؟,بجلی ذخیرہ کر کے فراہم کرتی ہے
اکثر بارش کا پانی پودوں کے لیے کیسا؟,عام طور پر اچھا ہوتا ہے
عام حالات میں زلزلہ کیوں آتا ہے؟,زمین کی تہوں کی حرکت سے
زیادہ تر ٹریفک قوانین کیوں مانیں؟,حادثات کم ہوتے ہیں
گاڑی کا ہارن زیادہ بجانا کیسا؟,شور کی آلودگی
عام طور پر موبائل کو چارج کرتے وقت خیال؟,زیادہ گرم نہ ہونے دیں
عمومی طور پر بیٹری کیا کام کرتی ہے؟,بجلی ذخیرہ کر کے فراہم کرتی ہے
اکثر کچرا سڑک پر پھینکنے کا نقصان؟,ماحول گندا ہوتا ہے
عام طور پر گھر میں بجلی کا بل کیسے کم کریں؟,ایل ای ڈی بلب اور احتیاط سے
زیادہ تر گھر کے کام میں مدد کیوں؟,ذمہ داری اور تعاون بڑھتا ہے
عمومی طور پر علم بانٹنے کا فائدہ؟,خود بھی سیکھتے ہیں
حقیقت میں روزانہ کتنا پانی پینا چاہیے؟,تقریباً آٹھ گلاس
زیادہ تر وٹامن سی کہاں ملتا ہے؟,پھلوں خاص طور پر مالٹے میں
حقیقت میں نل کھلا چھوڑنے کا نقصان؟,پانی ضائع ہوتا ہے
زیادہ تر ماحول صاف رکھنا کیوں؟,سب کی ذمہ داری
عملاً نقشہ کا استعمال؟,سمت اور مقام بتانے کے لیے
حقیقت میں سورج ڈوبنے کا وقت کیا کہلاتا ہے؟,غروب آفتاب
حقیقت میں رات کے وسط کو کیا کہتے ہیں؟,آدھی رات
اکثر کچرا کہاں ڈالیں؟,مخصوص ڈسٹ بن میں
کیمرہ لینس کیا کرتا ہے؟,روشنی کو فوکس کرتا ہے
عملاً صبر کیوں ضروری؟,بہتر فیصلے ہوتے ہیں
عملاً آگ کیسے بجھائیں؟,پانی یا ریت سے
عام طور پر معافی مانگنا کب؟,غلطی پر
عمومی طور پر صحت مند رہنے کا طریقہ کیا ہے؟,ورزش، صحت مند غذا اور نیند
عمومی طور پر دروازے کے تالے کیوں؟,حفاظت کے لیے
قلم کیسے پکڑیں؟,آرام دہ اور صحیح گرفت سے
پانی کا ٹینک صاف کیوں رکھیں؟,صحت مند پانی کے لیے
عمومی طور پر جھوٹ بولنا کیسا؟,برداشت نہیں کرنا چاہیے
اکثر تاریخ پڑھنے کا فائدہ؟,ماضی سے سبق ملتا ہے
عملاً مصنوعی ذہانت کیا ہے؟,کمپیوٹر کی انسانی سوچ کی نقل
عملاً ڈیجیٹل کیمرہ کیا کرتا ہے؟,تصاویر اور ویڈیوز بناتا ہے
حقیقت میں گیس کے چولہے کا خیال؟,لیکس سے بچاؤ اور حفاظت
گھر میں پودے کیوں لگائیں؟,ماحول صاف اور خوبصورت ہوتا ہے
عمومی طور پر معافی مانگنا کب؟,غلطی پر
کچرا سڑک پر پھینکنے کا نقصان؟,ماحول گندا ہوتا ہے
عام حالات میں موسم کیسے بدلتے ہیں؟,زمین کے سورج کے گرد چکر سے
عملاً سمارٹ فون کیا کرتا ہے؟,بات چیت، انٹرنیٹ اور ایپس چلانے کا آلہ
عام طور پر پودے گھر میں کیوں؟,ہوا صاف رہتی ہے
زیادہ تر فیکٹریوں کا دھواں نقصان دہ کیوں؟,ہوا آلودہ ہوتی ہے
اکثر بچت کرنا کیوں اہم؟,مستقبل کے لیے مددگار
زیادہ تر پودے خشک کیوں نہ ہونے دیں؟,وہ آکسیجن دیتے ہیں
اکثر گروپ پروجیکٹ کا فائدہ؟,ٹیم ورک اور سیکھنے کا موقع
اکثر نیند کی کمی کا نقصان؟,تھکاوٹ اور کمزور توجہ
عمومی طور پر موسم گرما میں پودوں کا خیال؟,باقاعدہ پانی دیں
حقیقت میں انٹرنیٹ بینکنگ کیا ہے؟,انٹرنیٹ کے ذریعے بینک کے کام کرنا
عام طور پر بجلی سے کیسے بچیں؟,گیلے ہاتھوں سے سوئچ نہ چھویں
پاس ورڈ مضبوط کیسے بنائیں؟,حروف، نمبر اور علامات ملا کر
عام طور پر کیلنڈر کیا بتاتا ہے؟,تاریخ اور دن
عام طور پر دودھ کے کیا فائدے ہیں؟,ہڈیاں مضبوط بناتا ہے
عام طور پر کان کی صفائی کیسے؟,احتیاط سے اور نرمی سے
زیادہ تر نقشہ خوانی کیوں سیکھیں؟,سمت اور مقام معلوم کرنے کے لیے
وٹامن سی کہاں ملتا ہے؟,پھلوں خاص طور پر مالٹے میں
عام طور پر کھڑکیوں پر جالی کیوں؟,کیڑوں سے بچاؤ
عام حالات میں سوشل میڈیا کیا ہے؟,آن لائن معلومات شیئر کرنے کے پلیٹ فارم
دن کے وسط کو کیا کہتے ہیں؟,دوپہر
عام طور پر سخاوت کا فائدہ؟,خوشی اور برکت ملتی ہے
پودے کو کھاد کیوں؟,نشوونما بہتر ہوتی ہے
عام طور پر کلاؤڈ سٹوریج کیا ہے؟,انٹرنیٹ پر ڈیٹا محفوظ رکھنے کا طریقہ
عمومی طور پر باثروم صاف رکھنے کیوں؟,جراثیم اور بدبو سے بچاؤ
عمومی طور پر ماحول صاف رکھنا کیوں؟,سب کی ذمہ داری
حقیقت میں غلطی سے سیکھنا کیسا؟,بہتری کا موقع ملتا ہے
حقیقت میں موسم کیسے بدلتے ہیں؟,زمین کے سورج کے گرد چکر سے
عمومی طور پر آگ کیسے بجھائیں؟,پانی یا ریت سے
عام طور پر ٹریفک قوانین کیوں مانیں؟,حادثات کم ہوتے ہیں
عمومی طور پر برف پانی کی کون سی حالت ہے؟,برف پانی کی ٹھوس حالت ہے
اکثر گیس کا بل کیسے کم کریں؟,احتیاط سے استعمال کر کے
عمومی طور پر ہوا میں کون سی گیس زیادہ ہوتی ہے؟,نائٹروجن گیس سب سے زیادہ ہوتی ہے
عام طور پر کمپیوٹر کی میموری کیا کرتی ہے؟,ڈیٹا عارضی طور پر محفوظ رکھتی ہے
زیادہ تر بچت کرنا کیوں اہم؟,مستقبل کے لیے مددگار
عام طور پر کمپیوٹر وائرس کیا ہے؟,ایسا پروگرام جو کمپیوٹر کو نقصان پہنچاتا ہے
اکثر صبر کیوں ضروری؟,بہتر فیصلے ہوتے ہیں
عام حالات میں گھر کے کام میں مدد کیوں؟,ذمہ داری اور تعاون بڑھتا ہے
زیادہ تر دوستی میں جھوٹ کیسا؟,رشتہ کمزور کرتا ہے
عام حالات میں گاڑی کم چلانے کا فائدہ؟,آلودگی کم ہوتی ہے
عملاً سورج کی توانائی کا فائدہ؟,صاف اور لامحدود توانائی
حقیقت میں تاریخ کی تاریخیں کیسے یاد کریں؟,ربط اور دہرائی سے
کی بورڈ کیا کرتا ہے؟,لکھنے اور کمانڈ دینے کا آلہ
حقیقت میں مہمان نوازی کیسے؟,احترام اور خوش اخلاقی سے
اکثر مصنوعی ذہانت کیا ہے؟,کمپیوٹر کی انسانی سوچ کی نقل
عمومی طور پر پانی کیسے بچائیں؟,نل بند رکھ کر اور درست استعمال سے
زیادہ تر بارش کیسے ہوتی ہے؟,بادل میں بخارات ٹھنڈے ہو کر قطروں کی شکل میں گرتے ہیں
عملاً لکھائی کی مشق کیوں؟,لکھنے کی صلاحیت بہتر ہوتی ہے
حقیقت میں ای میل کیا ہے؟,الیکٹرانک پیغام بھیجنے کا طریقہ
حقیقت میں دن رات کیسے بنتے ہیں؟,زمین کے گھومنے سے
غلطی سے سیکھنا کیسا؟,بہتری کا موقع ملتا ہے
عام طور پر برف پانی کی کون سی حالت ہے؟,برف پانی کی ٹھوس حالت ہے
عام طور پر سائنس پراجیکٹ کیسے بنائیں؟,تحقیق اور تجربہ سے
اکثر کیڑے مار ادویات کا استعمال؟,احتیاط سے اور ضرورت پر
زیادہ تر انٹرنیٹ کیا ہے؟,دنیا بھر کے کمپیوٹرز کا نیٹ ورک
عملاً سائنس پڑھنے کا فائدہ؟,دنیا کو سمجھنے میں مدد ملتی ہے
حسد کا نقصان؟,ذہنی سکون ختم ہوتا ہے
عام طور پر مہمان نوازی کیسے؟,احترام اور خوش اخلاقی سے
عمومی طور پر گھر میں فرسٹ ایڈ باکس کیوں؟,ہنگامی مدد کے لیے
عملاً مدد کرنے کا فائدہ؟,خوشی اور اچھے رشتے
عام طور پر یادداشت کیسے بہتر کریں؟,دہرائی اور اچھی نیند سے
حقیقت میں بیج کیسے اگائیں؟,مٹی، پانی اور روشنی سے
زیادہ تر ذہنی دباؤ کم کرنے کا طریقہ؟,گہری سانس اور سیر
حقیقت میں موسم گرما میں پودوں کا خیال؟,باقاعدہ پانی دیں
اکثر الرجی کیا ہے؟,جسم کا غیر معمولی ردعمل
حقیقت میں پودے کو کھاد کیوں؟,نشوونما بہتر ہوتی ہے
عام طور پر ڈرون کیا ہے؟,بغیر پائلٹ کے اڑنے والا آلہ
وزن کنٹرول کرنے کا طریقہ؟,صحت مند غذا اور ورزش
عام حالات میں مصنوعی ذہانت کیا ہے؟,کمپیوٹر کی انسانی سوچ کی نقل
حقیقت میں آن لائن تعلیم کا فائدہ؟,گھر بیٹھے سیکھنے کی سہولت
عام حالات میں ہوا میں کون سی گیس زیادہ ہوتی ہے؟,نائٹروجن گیس سب سے زیادہ ہوتی ہے
عمومی طور پر درخت لگانے کا فائدہ؟,آکسیجن اور صاف ماحول
اکثر توقع سے زیادہ نمک کھانا کیسا؟,صحت کے لیے نقصان دہ
عملاً داंत صاف رکھنے کا طریقہ؟,روزانہ برش کرنا چاہیے
حقیقت میں دوستی کیسے نبھائیں؟,ایمانداری اور احترام سے
عمومی طور پر الرجی کیا ہے؟,جسم کا غیر معمولی ردعمل
اکثر سائبر سیکیورٹی کیا ہے؟,ڈیجیٹل معلومات کی حفاظت
عام طور پر محنت کا نتیجہ؟,کامیابی اور اطمینان
عام طور پر فیکٹریوں کا دھواں نقصان دہ کیوں؟,ہوا آلودہ ہوتی ہے
زیادہ تر خریداری میں کیا خیال؟,معیار اور قیمت کا
اکثر آئرن کی کمی سے کیا ہوتا ہے؟,خون کی کمی ہو سکتی ہے
عمومی طور پر گھر کے کام میں مدد کیوں؟,ذمہ داری اور تعاون بڑھتا ہے
عام حالات میں محنت کا نتیجہ؟,کامیابی اور اطمینان
حقیقت میں وزن کنٹرول کرنے کا طریقہ؟,صحت مند غذا اور ورزش
وائی فائی کیا ہے؟,بغیر تار کے انٹرنیٹ کنکشن
اکثر آواز کیسے سفر کرتی ہے؟,ہوا کی لہروں سے
عملاً کمپیوٹر کے اہم حصے کون سے ہیں؟,پروسیسر، میموری اور اسٹوریج
حقیقت میں پانی کا ٹینک صاف کیوں رکھیں؟,صحت مند پانی کے لیے
عمومی طور پر وٹامن سی کہاں ملتا ہے؟,پھلوں خاص طور پر مالٹے میں
زیادہ تر پڑھائی میں توجہ کیسے؟,پرسکون جگہ اور شیڈول سے
جلد کی حفاظت کیسے؟,سورج سے بچاؤ اور نمی برقرار رکھنا
ایپ کیا ہے؟,موبائل یا کمپیوٹر پر چلنے والا پروگرام
زیادہ تر سوشل میڈیا کیا ہے؟,آن لائن معلومات شیئر کرنے کے پلیٹ فارم
عمومی طور پر الیکٹرک گاڑی کا فائدہ؟,کم آلودگی اور ایندھن کی بچت
اکثر پلاسٹک کا نقصان؟,ماحول آلودہ ہوتا ہے
عملاً شکریہ ادا کرنا کیوں؟,قدر کرنے کا اظہار
مثبت باتیں کرنے کا فائدہ؟,ماحول خوشگوار ہوتا ہے
اکثر کمپیوٹر کی میموری کیا کرتی ہے؟,ڈیٹا عارضی طور پر محفوظ رکھتی ہے
اکثر ہوا کیسے چلتی ہے؟,درجہ حرارت کے فرق سے
جوتوں کی ریک کیوں؟,ترتیب اور جگہ کی بچت
وٹامن ڈی کہاں سے ملتا ہے؟,سورج کی روشنی اور کچھ غذاؤں سے
اکثر سورج نکلنے کا وقت کیا کہلاتا ہے؟,طلوع آفتاب
عام طور پر تحقیق کیا ہے؟,نئی معلومات حاصل کرنے کا عمل
عمومی طور پر ورزش کے فائدے کیا ہیں؟,طاقت بڑھتی ہے اور صحت بہتر ہوتی ہے
زیادہ تر نوٹس بنانا کیوں مفید؟,یادداشت بہتر ہوتی ہے
عملاً خریداری میں کیا خیال؟,معیار اور قیمت کا
زیادہ تر پلاسٹک کا نقصان؟,ماحول آلودہ ہوتا ہے
عملاً جنگلات کی حفاظت کیوں؟,موسمیاتی توازن کے لیے
اکثر بجلی کیسے بچائیں؟,غیر ضروری آلات بند کر کے
عمومی طور پر جلد کی حفاظت کیسے؟,سورج سے بچاؤ اور نمی برقرار رکھنا
عام حالات میں کمپیوٹر کے اہم حصے کون سے ہیں؟,پروسیسر، میموری اور اسٹوریج
عام حالات میں وائی فائی کیا ہے؟,بغیر تار کے انٹرنیٹ کنکشن
عام طور پر کچن ہڈ کیوں لگائیں؟,دھواں اور بو کم کرنے کے لیے
اکثر پانی کیسے بچائیں؟,نل بند رکھ کر اور درست استعمال سے
عمومی طور پر پانی کا فلٹر کیوں؟,صاف پانی کے لیے
اکثر سائنس پڑھنے کا فائدہ؟,دنیا کو سمجھنے میں مدد ملتی ہے
اکثر نقشہ کا استعمال؟,سمت اور مقام بتانے کے لیے
زیادہ تر ریاضی سیکھنے کا فائدہ؟,سوچنے کی صلاحیت بڑھتی ہے
سائنسی تجربہ کیا ہے؟,فرضیہ کی جانچ کا طریقہ
حقیقت میں مثبت کردار کیسے؟,اچھے اخلاق اور ذمہ داری سے
اکثر برف پانی کی کون سی حالت ہے؟,برف پانی کی ٹھوس حالت ہے
اکثر نقشہ خوانی کیوں سیکھیں؟,سمت اور مقام معلوم کرنے کے لیے
عام حالات میں سوال پوچھنا کیوں اچھا؟,سمجھ بہتر ہوتی ہے
عام طور پر پانی کا ٹینک صاف کیوں رکھیں؟,صحت مند پانی کے لیے
اکثر گروپ اسٹڈی کا فائدہ؟,ایک دوسرے سے سیکھنے میں مدد
اکثر دوستی کیسے نبھائیں؟,ایمانداری اور احترام سے
عملاً مقناطیس کیا کرتا ہے؟,لوہے کو کھینچتا ہے
عملاً غریبوں کی مدد کیوں؟,انسانیت کا تقاضا
عمومی طور پر بیج کیسے اگائیں؟,مٹی، پانی اور روشنی سے
عمومی طور پر روزانہ کتنا پانی پینا چاہیے؟,تقریباً آٹھ گلاس
مہمان نوازی کس طرح؟,احترام اور خوش اخلاقی سے
حقیقت میں باقاعدہ چیک اپ کیوں؟,بیماری جلد پہچانی جا سکتی ہے
عمومی طور پر کھانا ضائع کیوں نہ کریں؟,وسائل کی بچت ہوتی ہے
زیادہ تر صبح جلدی اٹھنے کا فائدہ؟,دن کا کام بہتر ہوتا ہے
زیادہ تر لائبریری جانے کا فائدہ؟,کتابیں اور پرسکون ماحول
عام حالات میں چاند زمین کے گرد کتنی دیر میں چکر لگاتا ہے؟,تقریباً 27 دن میں
رات کے وسط کو کیا کہتے ہیں؟,آدھی رات
تمباکو نوشی کا نقصان؟,کئی بیماریوں کا سبب بنتی ہے
عام طور پر وعدہ پورا کرنا کیوں؟,اعتماد برقرار رہتا ہے
عام طور پر حسد کا نقصان؟,ذہنی سکون ختم ہوتا ہے
عملاً آنکھوں کی حفاظت کیسے؟,زیادہ سکرین سے پرہیز اور روشنی کا خیال
عام حالات میں وعدہ پورا کرنا کیوں؟,اعتماد برقرار رہتا ہے
عام حالات میں پانی کا کیمیائی فارمولا کیا ہے؟,پانی کا کیمیائی فارمولا H2O ہے
زیادہ تر وزن کنٹرول کرنے کا طریقہ؟,صحت مند غذا اور ورزش
قطب نما کیا بتاتا ہے؟,سمتیں
حقیقت میں شکایت کرنے سے بہتر کیا؟,حل تلاش کرنا
عملاً نیند کیوں ضروری ہے؟,جسم اور دماغ کو آرام ملتا ہے
