text,label
Kuch parhti to nazar ata na,0
Yeh ice cream nahi hy ji,0
Pagal jai na hoye .. reporter ka hath e le k beth gai,0
achi lag rahi hain ap,1
Defence Khada Market Me Firing Se FBR Officer Zakhmi,0
aunty bik gai Hai,0
Vagebul qatal kay naray chaltai,0
pheli aur ahkiri galti thi,0
Mujhe jote kharidne ka shoq hai magar koi si do joriyan hi bar bar pehanta hun,1
ALLAH apko aur taraqi dy. boht khoob,1
honda sey koi responsibility nae leta ha,0
"is mein shak nahi ke aaj kal squash par bora waqat aaya howa hai,",0
Tm b Salam kehna,1
Is jesi auntian illegal abortion krwati hein muhallon mein,0
karachi fruit mandi ka bura haal ha,0
nahi iska tyre kharb ha,0
Bilkul bhe wo bt nahi rahi ha ab,0
wao yrr farooq yh new collection ha,1
"Main ne pheli martaba mein hone wale quomi muqablon mein gold medal hasil kiya tha, Allah ke fazal se us waqat se ab tak meri karkardagi behtar se behtar ho rahi hai aura b tak main national level par dozen se zaid",1
"In ke retirement ke faisley par sabiq west indies fast bowler Wesley Hall ne afsoos ka izhaar kiya, Joel Garner aur Michael Holding ne kaha ke Brian Lara aik ache khiladi hain, in ki is salahiyat se faida uthaya ja sakta hai aur west Indian bating ki bartari barqarar rakhne au rise aage barhane mein madad mil sakti hai",1
tab Iqbal Bano ke shauq ko ustaad ki raae ne jilaa bakhshi aur inho ne apne aehal e khana se kaha mujhe gana seekhna hai,1
Chak lo khushiyaan,1
yeh gaari sirf ek afraad ke liye design ki gayi hai aur is ka maqsad apne driving ke tajarbay ko behtar banana hai,1
jub tak sood our haram khaty rahy go tab tak kisi bi wazify k karny say kuc nai mily ga,0
Sardio me fajar k waqt wazu krne wale bhi kamal karty hai,1
Inhsllah. INHSLLAH our pryers and best wishes is with our team . Next time not pick up the umar akml becz he is not the good choice akib jawed should knws that this man is not good to stay ni team this squad bowling and batting very Good . Next time we won the cup and we won the millons fans hearts,1
Ab sahi tarikay se post ki he.,1
aik he chat k neechay apko bohat achi cheezain mil jati hain...isi liye habbit mujhay pasand ha,1
Faltu baaten karky waqt zaya na kia kar,0
Roshan aur Hashim Pakistan ke ibtedai dino ke do super star thay,1
uff yeh apki paakbaaz soch:'),1
mai na hamesha isay har jaga la akr gaya hun,1
marjao is sy acha,0
bura staff ha shell ka kafi,0
isay zada sahe jaga or akhe nahi s gari ki,1
phir me ali tehseen k saloon gai haircut k liye wo bohat professional hain,1
Jab ke inho ne test mein aur one day mein bhi hat ricks ki hain,1
a great page.. bhttt awla. luv u all guys:),1
wasy hi acha lag raha ha,1
"Yeh ring website pe tou bari pyari lagrahee hai lekin asal mein itnee khaas nai hai. Ispe uper jo zirconum laga hai who acha hai,lekin band patla sa hai aur itna acha nai lagraha looks mein. Goft tou dedia hai aur unhoun ne koi shikayat nai kee, lekin mera dil khud nai maan raha isko",0
Chand maah qabal inho ne Geo TV ke show Dolly ki Aaegi Baraat mein Saima Chaudhry ka role play kar ke is serial ko mazeed dilchasp bana diya,1
awein fake news detey hain,0
rd class company ha haier,0
Filhal tension ki koi bat nahin.,1
hamehsa khush kardeta haidaraz,1
mai lutt chuka hu,0
bht farigh hai jag kr ibadat krleti,0
Han fit hai.. mujhay b barai achi lagi thi,1
dono Mazedar movies,1
DG Building Control ManzorQadir amp Administrator KMC SaqibSoomro Ko Ohday Se Hata Dia Gaya,0
mera ghar ka bhar lagi hui mazda,1
mein Sadar e Pakistan ne �EEE€�EEESitara e Imtiaz�EEE€�EEE se nawaza,1
Hahaha peechay logon ko dekh dekh kar aur hassi aa rahi thi XD,1
ALLAH hum sbko hidayat de,1
mera last visit nabila's saloon lahore branch me bohat bura raha,0
Intikhab Alam ne bachpan mein jo qatal o gharat giri dekhi is ki yad aaj bhi larzah deti hai,0
"chuti nahi deyrahai school wale, ajeeb",0
Imtiaz Hussain II sahi khel gayii auntii,0
le dain bhai idhr to ghurbat a gai hai,0
"Doosron Ko Naseehat, Khud Mian Fazeehat.:p",0
iska ad mjhay bhot he zada pasnd aya hay,1
Preedy Street Per Firing Se Shakhs Zakhmi,0
ye tou hai hi jhooton ka sardar,0
barbad hogia mei,0
Mery buchu KY any ki dua kr dy wo mujhy ml jy,1
ya sab bilkul acha nahi lagraha,0
hi rabi tu kitni famous hu gai,1
Wak ni maa main badl gi hna,0
ap us waqt itni cute thi,1
Agr bn bhi gya naa tOo yaqeen kr us m bhi bht piyari lgaOn gi,1
"kesa guzar raha hai apka din, umeed hai kheriyat se honge",1
"mein aur gaarhi, mere pedaishi din ki tareekh ke ain mutabiq barabar shareek hain",1
Bari dair kardi meharban aty aty,0
yeh shahdeed sardi nae hui,0
V8 twin trubo V6 pr dill ha mera mohabbat ha meri,1
Nahi khaya beta,0
Film mein un ki maqalmon ki adaigi par bhi kafi tanqed hoi aur esa laga ke Katrina ka filmi career yahi khatam ho gaya,0
isna apna naam bana lia hay,1
Mily h kb ap,0
achy bhaly insaan ki jaib khaali hojati hai daraz k agey,0
black pr black acha lag raha kafi zada,1
""" Ye kitab bhi matnaza their, ab tak is par behas ho rahi hai",0
meri X4 na mjhay bhot tang kia ha,0
kapry to itny mehngy hn k koi haram khor hi le sakta hy,0
sisay acha kc nahi market mai,1
zindagi ma dawlance ho sab sahe hta ha,1
zara kam karna nahi ata,0
Rahay Hen Mulk Mushkilat Se Niklay Jaye Phir Siyasat Karenge PM Nawaz Sharif,0
"Sirf ye hi nahi KESC, PTCL ki nijkari, black cab, tracketer zarinalit, crislar aur railway coachon ke scandles ki baz ghasht bhi pore mulik mein suna di",0
log aj beh ya models use kar raha ha pakistan mai,1
Kbi laye ga khuda ham py b acha waktt,1
Pakistan Samet Duniya Bhar Me Ajj Dosti Ka Almi Din Manaya Ja Raha Hai,1
pasnd ayi ha abbu ko ya gari,1
Yehi comment expect kia tha yaar tu vi relax kar k ik waari soch la,1
Finally arsal ko b pata lag e gya jiya ki feelings ka,1
come on.....tuhadee phuphee lugdee see,0
In ki pesh goiyan aur siyasi tabsarey news papers namak mirch laga kar shaey karte the,0
One Man Show ka yeh silsila Zia Mohyeddin in ki khobsurat tajseem o tehzeeb mein khas malika rakhte hain,1
Haseena Wajid ke iqdamaat ke baiys gher jamhori quwwaton ko siyasat mien madakhlat ka mauqa mil sakta hai,0
