text,label
کراچی: باپ بیٹے اورسابق ایف آئی اے ملازم سمیت 5 افراد ہلاک,0
پوتن نے روس اور اسرائیل کے دوستانہ تعلقات میں نیتن یاہو کے بڑے کردار کو بے حد سراہا,1
کوئی بھی شخص اس غلط فہمی میں نہ رہے,1
او جی ڈی سی ایل شیئرز اور سکوک :غیر ملکی ادائیگیوں میں بہتری کی امید: اسلام آباد۔۔۔۔۔۔۔۔۔آئن۔۔۔,1
خوبصورتی کی انتہاء ہو گئی ۔۔۔۔,1
دلالوں کی اصلیت اب کسی سے چھپی نہیں رہی ہے ۔ کل تک جو نظام لپیٹنے کی باتیں کر رہے تھے آج کھسیانے ہو کر اسی نظام۔۔۔,0
فلسفہِ محبت کی تقریب ِرونمائی براہ راست نشر کیوں نہیں کی؟,0
سبزے کو جب کہیں جگہ نہ ملی بن گیا روئے آب پر کائی ۔۔ غالب,1
حدیثا الله کاذکر ایمان کاجھنڈا شیطان سے حفاظت کا قلعه اور بھڑکتی آگ (نارجهنم) سے نجات کاذریعه ھے )گلدستهء فقر صفحه118(,1
هم اپنے حصے کا پاکستان ساتھ لائے ، پهلے پاکستان بنایا پهر یهاں آئے ، خواجه اظهار ایم کیو ایم,1
تم سے بڑا گھپلا کون ہے,0
تہمتیں تو لگتی ہیں روشنی کی خواہش میں گھر سے باہر آنے کی کُچھ سزا تو ملتی ہے لوگ لوگ ہوتے ان کو کیا خبر جاناں !۔۔۔,1
عمران خان کنٹینرسے نکل کراس کی چھت پر پہنچے اورکئی لمحے طاہر القادری کے کنٹینرکی طرف لوگوں کوسامان باندھتا دیکھتے رہے ۔,1
پیار بھرے دو شرمیلے نین چندے سے انقلاب,1
مُجھے کر عطا اے میرے اللہ، توُ بہت بندہ نواز ہے ۔ ۔ ۔میری ہر صبح محتاج ہے تیری رحمتوں کے نزول کی ۔ ۔ ۔دعاء پینڈو,1
بنوں میں دوستانہ میچ آئی ڈی پیز کی شاہد آفریدی الیون نے جیت لیا,1
ابھی تو پارٹی شروع ہوئی ہے,1
قادری انکل نے جو کفن سِلوایا تھا نواز حکومت کے لیے وہ کہاں گیا؟,0
حضرت امام حسین کا صبر شکر توکل اور رضائے الٰہی کائنات کے انسانوں کیلئے علم و عرفان کا مینار ہیں ‘ ۔۔۔,1
ر ایک بچے کی سکول میں موجودگی یقینی بنانے کے لئے ریاست کو تعلیمی معاملات سے نمٹنے کے لئے نئی قوت کے ساتھ عزم کو یقینی…,1
جمعه مبارک ، دعا میں یاد رکھیں ،شکریه,1
میں نے ایٹم بم بنایا ھے ۔۔۔۔او بھائی ایٹم بمب کوٹ لکھپت والی اتفاق فیکٹری میں نہیں بنتا۔ایٹم بم کہوٹہ کی ایٹمی۔۔۔,1
جی دوستوآج کاسوال; کیمرہ کس نے ایجاد کیا؟ جواب دیں انعام جیتیں ،,1
لاہور:پسند کی شادی کرنے والی لڑکیاں پہلے حالات کیوں نہیں سمجھتیں ۔ جسٹس قاسم خان,0
کتاب - دستک انتساب میری زندگی، ان رشتوں کے نام، جو عجیب بھی ھیں اور غریب بھی - جو محبت اور اذیت کا نایاب۔۔۔,1
چھاپہ مار ٹیم نے ٹاپ ٹریٹمنٹ کے نام سے قائم فیکٹری کو سیل کردیا,0
