text,label
 song bhut vadiya hai ,Positive
 north karachi zareena colony me firing 1 shaks janbahaq qatil ,Negative
 chutiye bank wale bolte hai ki yai yojana abhi nahi ae hain. ,Negative
 bahut hi heart touching song . i really love it ,Positive
 hann or dubar 24 hours sy phaly setting on ki to name show hona lag jayega ,Neutral
 pakistani girls sar per dupatta lete hai lkin pichwada achay se daikha khati hai      voice chaat par hndu mard se zlil hokar maze laina hoto dm karo pakistani hijabi muslimah ,Neutral
 mny koe ghlt bt kab ki        mary pe ku chrh raah han ap     mny bry normal treeky se bt ki hai agar apka ghar se e mood khrab hai to pehly wo ja ky theak kry 19 saal ki kahin se nh lgrhi yai kaha mny srif or srif foodie hni hai bs yai bolaapjsy log kbhi kise ko bt krny nh dy skty huh raah Chaltay insaan ka bazu pakar ky kahna ky bae to theak nh chlrha asy Chaltay han wo kya hai abhi apnay huh body shaming or wo b ma krrhi ma jiske skht khilaf hb mujhy e kehrhi ho huh apna mind drust kren pehly bibi ,Negative
 bhai apna admin tou acha rkhlo atleast video ki completw upload karwao   ,Positive
 lanat hai urdu point py bhi ,Negative
 sharam se doob kar mr jao jahil producer and actresses and actors khuda hidayat dy gandy 3rd class people ,Negative
 bohat bhatkae allah se duaounke talib hain hazratapb hamari liadua jayega jazakallah ,Positive
 food panda is awsome hum 1 saal sy zyda sy usi kar ry or din my 20 oder jatay humry food panda ky ya awsome han charge delivery kety but jab discount lagta wo b awsome hota ,Positive
 lanat ky haqdar hain janabap,Negative
 kute ka bacha gaddar harami haqani ,Negative
 yai daikh kar mjhe to kyun yaad ayi ðÿðÿ ,Negative
 mqm r committee pakistan or london ka hangami ijlaas mqm ky intikhabi dafatir par rangers ky chahpo ky khilaf ahtijaj ka faisal ,Negative
 waha ja ky coca cola c mil rha...     ni mtlb aisa q... ,Positive
 sunlo pata ,Neutral
" qatil kausar niaziâ¦ bunyadi tour par mazhabi class ny in ke is jurm ko kabhi muaaf nahi kya or wo hamaisha right baazo ka khaas nishana bane rahe, is shadeed nafrat ny in ke urooj ka rasta rook diya ",Negative
 hamko yai drama bahoot jabardust lagta hai main yai sochtu hun ki kaas pora episode ek din me hi daikh lu ,Positive
 yai to akshay kumar ki fan hai        ,Positive
 bijli kharakti hai  xd ,Positive
" tamam preshanian dor ho jaen, dua farma den. ",Positive
 name to bta do download kise kren gay ,Neutral
" it's mean sarey he jahil ho , ouqat ki baat nahi kar or comment ko us ki had tak rakho apni gharelu language nahi usi karo halal ki kama kar khatey hain tumharey ghar se nahi khatey ho ouqat par pohch gaya ",Negative
 ap sexy ho madam ,Neutral
 tabiz banake main pahno tujhay dil ghar hai khuda ka na chodu ise.   this lines another level.  whole song awesome creation.  qatil   i main biggest fan of pakistani songs nd serials      from india         ,Neutral
 apni raftar me miyana ravi ikhteyar karo or apni awaz ko past rakho sab se buri awaz gadhay ki hai qatil ,Negative
 is ky next episode main kon mar jayega ,Negative
 15 saal ki umar se mashq-e-sukhan shuro ki ,Positive
 yes program band hona chahiye ,Negative
 is yaksaniyat se picha churane ke liye inho ny baqaida actors studio main acting ki taleem oh tarbiat hasil kli ,Positive
 anwar rana sahab se allah razihojaye ameen ,Positive
 vaise to sbhi shayar acche hai lekinmunnawar sahab ap bohot acche hai shayari main ,Positive
 hazrat ji dua kren ,Positive
