text,label
جو بائیڈن کے ہاتھ میں پکڑے بچے کی تصویر کو ڈیجیٹل طور پر تبدیل کر دیا گیا ہے۔,0
امریکی سینیٹ نے گن سیفٹی بل منظور کرلیا,1
نہیں، اس ویڈیو میں ولڈیمیر زیلینسکی کو اپنی بیوی کے ساتھ گاتے ہوئے نہیں دکھایا گیا ہے۔,0
روتے ہوئے پاکستانی وزیر کی پرانی ویڈیو 'چور' کا نعرہ لگانے کے لیے,0
امریکا: جج نے فائرنگ کرکے بیوی کو قتل کردیا,1
ہم ایک سے زیادہ زبانوں میں خواب کیسے دیکھ سکتے ہیں؟,1
یوکرین کی زرعی برآمدات کی بندش، عالمی غذائی بحران اور مہنگائی,1
WB میں بی جے پی کا مبینہ کارکن مردہ پایا جانے والی تصویر 2018 کا واقعہ ہے۔,0
اسپین سے چنئی سپر کنگز اور دھونی کے مداحوں کی تصویر شیئر کی گئی، وائرل دعویٰ جھوٹا,0
جموں وکشمیر: سانبہ میں ڈورن کے ذریعے ڈالا گیا اسلحہ و گولہ بارود بر آمد: پولیس,1
ایودھیہ میں بننے والے رام مندر کے  نام پر وائرل ہو رہا یہ ویڈیو جین مندر کا 3 ڈی انیمیشن ہے,0
رمضان 2023 کا چاند نظر آگیا ہے، ماہ رمضان کے روزوں کا آغاز,1
امریکی شہری کو سعودی عرب میں 16 سال قید کی سزا,1
نیویارک میں سفید فام نوجوان کا نسل پرستانہ حملہ، 10 افراد ہلاک,1
کینیڈا، طلب میں کمی کے سبب کوویڈ ویکسین ضائع کرنے کا فیصلہ,1
شراب سے کورونا وائرس کو مارنے کا دعویٰ کرنے والی پوسٹ جعلی ہے۔,0
دہلی کے آکشردھار مندر کی تصویر کو ایودھیہ میں بننے والے رام مندر کا بتا کر کیا جا رہا وائرل,0
بنگال تشدد کے نام پر وائرل ہو رہی ہیں جمشید پور اور لکھنئو کی پرانی تصاویر,0
عامر خان اور فاطمہ شیخ کی یہ تصویر ایڈٹ کی گئی ہے۔,0
وائرل ویڈیو میں بی ایس ایف کا اہلکار یہ کہہ رہا ہے کہ 'جیو اور جینے دو' زندہ ہے,0
پنجاب حکومت کا 19 اپریل سے 13 اضلاع میں چار کلاسز کھولنے کا اعلان,1
یہ تصویر پرانی ہے اور اس میں ایتھوپیا سوڈان کی سرحد پر ٹگرے ​​باغیوں کا قبضہ نہیں دکھایا گیا ہے۔,0
24 نیوز نے وزیراعظم عمران خان کے دورہ کراچی کے دوران کھانے کے حوالے سے کھلا جھوٹ نشر کیا۔ انہوں نے ایک کہانی بنائی ہے کہ وزیر اعظم کو ان کے دورے پر 34 پکوان پیش کیے گئے۔,0
آسمان میں روشنی کا تیز جھماکا، لوگوں نے ’خلائی مخلوق‘ دیکھ کر پولیس طلب کر لی,1
پوسٹس گمراہ کن طور پر سمارٹ سٹی کے تصور کو 'نگرانی اور رپورٹنگ ٹیکنالوجی' کے مخفف سے جوڑتی ہیں۔,0
تصویر میں دکھایا گیا ہے کہ روانڈا کے صدارتی گارڈ کے سابق سربراہ کو گرفتار کیا جا رہا ہے، نہ کہ TPLF کے رہنما کو,0
امریکی خاتونِ اول اور کینیڈین وزیراعظم ٹروڈو کے یوکرین کے اچانک دورے,1
یوپی کے میرٹھ میں دودھ خریدنے نکلی خاتون وکیل کو گولی مار کر ہلاک کر دیا گیا,1
برطانوی رکن پارلیمنٹ عصمت دری کے الزام میں گرفتار,1
ٹیکس، آمدن، مہنگائی اور سبسڈی: بجٹ کے پانچ نکات جو ایک عام پاکستانی کے لیے اہم ہیں,1
سوشل میڈیا پر شیئر کی جا رہی فرضی ٹرک کی تصویر، پہلے بھی ہو چکی ہے وائرل,0
پوسٹس RSV کے لیے کولائیڈل سلور کے خطرناک، غیر ثابت شدہ استعمال کو فروغ دیتی ہیں۔,0
تحریک انصاف نے مذاکرات کی رپورٹ سپریم کورٹ میں جمع کروا دی,1
من گھڑت رائے شماری کینیا کے اہم انتخابی حریفوں کے درمیان کھیل کی کیفیت نہیں دکھاتی ہے۔,0
شنگھائی میں کورونا کیسز کی تعداد میں اضافہ، چینی حکومت نے لاک ڈاون کو مزیدسخت کر دیا,1
سی این این کے جعلی مضمون میں کہا گیا ہے کہ امریکی فوجیوں نے ہیٹی کا رخ کیا۔,0
ٹھنڈے چپس دینے پر نیویارک میں شہری نے فاسٹ فوڈ کمپنی کے ملازم کو گولی ماردی,1
پوسٹس آسٹریلیا کے انرجی مکس میں ہوا اور شمسی توانائی کے اشتراک پر گمراہ کرتی ہیں۔,0
مسلم مولوی کا کلپ شاہین باغ سے نہیں بی جے پی ممبر نے شیئر کیا ہے۔,0
ایف آئی اے انٹرپول پاکستان کی کارروائی، جرائم میں مطلوب 4 ملزمان گرفتار,1
نہیں، یہ تصویریں ’بھارت جوڑو یاترا‘ کارواں کا اندرونی حصہ نہیں دکھاتی ہیں۔,0
وائرل تصویر اصل مخلوق نہیں بلکہ فنکاری ہے,0
عید کے موقع پر میں اور ثانیہ مرزا ساتھ ہوتے تو اچھا ہوتا: شعیب ملک,1
تصویر میں انڈونیشیا میں گرنے والا شادی کا خیمہ دکھایا گیا، 'چین میں شادی کا مہلک حادثہ' نہیں,0
جھوٹی پوسٹس کا دعویٰ ہے کہ 'روسی اور انڈونیشیا کے میزائلوں نے ڈارون، آسٹریلیا کو تباہ کیا',0
سوشل میڈیا پوسٹس میں جھوٹا دعویٰ کیا گیا ہے کہ حکومت پاکستان نے مارچ 2021 میں پیٹرول کی قیمتوں میں اضافہ کیا تھا۔,0
انڈیا کا وہ گاؤں جہاں 75 سال میں کوئی لڑکی پہلی بار کالج پہنچی,1
