text,label
Yaar cnic process online se asaan ho gaya hai :),Positive
Acha market rates daily change ho sakte hain :),Neutral
Suna library books outdated hain new arrivals nahi !,Negative
Actually park renovate ho gaya hai ab family ke liye acha lol,Positive
Yaar dedicated parking zone se raasta clear rehta yaar,Positive
Acha market mein rate list display nahi hoti hai na,Negative
Honestly cnic renewal process itna lengthy bana diya :),Negative
Aray gas load management schedule announce hota yaar,Neutral
Sahi library mein digital catalog se search easy bhai ok,Positive
Dekho footpath clear kar diya gaya hai walking easy bhai,Positive
Bro library membership rules clear hain hai na,Neutral
Actually internet night package alag se activate hota bro,Neutral
Matlab parking capacity limited hai peak hours mein lol,Neutral
Bhai school traffic peher ke according change !,Neutral
Acha school ke bahar traffic chaos ho jata hai,Negative
Acha cnic renewal process itna lengthy bana diya !,Negative
Yaar electricity bill ab meter reading pe based hai na,Positive
Matlab water tanker backup rakhna padta hai kabhi kabhi !,Neutral
Bro parking capacity limited hai peak hours mein hai na,Neutral
Acha atm se cash nahi nikal raha network down ok,Negative
Acha gas load management schedule announce hota bro,Neutral
Honestly noise control ke notices lagaye gaye hain yaar,Positive
Bro market mein rate list display nahi hoti yaar,Negative
Suna bank mein token system se queue manage hoti ok,Positive
Actually water tanker backup rakhna padta hai kabhi kabhi bro,Neutral
Matlab school zone mein speed breakers se safety barhi bhai,Positive
parking capacity limited hai peak hours mein !,Neutral
Bro school traffic peher ke according change !,Neutral
Bro hospital OPD days fixed hain emergency alag !,Neutral
Suna gas pressure theek hai cooking mein masla nahi bro,Positive
Suna park renovate ho gaya hai ab family ke liye acha,Positive
Sahi bus stop pe shelter lag gaya hai wait comfortable bro,Positive
Actually school zone mein speed breakers se safety barhi yaar,Positive
Matlab library books outdated hain new arrivals nahi !,Negative
Bro water tanker backup rakhna padta hai kabhi kabhi bro,Neutral
Dekho hospital mein waiting time itna zyada hai,Negative
bill payment multiple options available hain hai na,Neutral
Bhai library mein digital catalog se search easy bhai,Positive
Sahi street lights raat ko band rehti hain unsafe feel yaar lol,Negative
Bro rate list boards lagane se transparency aayi bhai ok,Positive
Bro bus stop pe seating nahi hai wait karna mushkil yaar lol,Negative
Acha library membership rules clear hain bro,Neutral
Yaar hospital mein waiting time itna zyada hai yaar,Negative
bus stop pe seating nahi hai wait karna mushkil yaar,Negative
Honestly post tracking se pata chal jata hai status,Positive
Bhai atm se cash nahi nikal raha network down,Negative
Acha atm se cash nahi nikal raha network down lol,Negative
bill payment multiple options available hain bhai ok,Neutral
Dekho park timing subah sham limited hai dekhna hoga bhai,Neutral
Dekho noise pollution se raat ko neend nahi aati,Negative
Bro gas load management schedule announce hota bhai,Neutral
Yaar school traffic peher ke according change :),Neutral
Suna rate list boards lagane se transparency aayi lol,Positive
Honestly school ke bahar traffic chaos ho jata hai bhai ok,Negative
Suna gas pressure kam hone se khana nahi pakta,Negative
Dekho school zone mein speed breakers se safety barhi bhai,Positive
Bhai internet night package alag se activate hota bhai ok,Neutral
Sahi bus stop pe seating nahi hai wait karna mushkil !,Negative
Actually school ke bahar traffic chaos ho jata hai lol,Negative
Acha bank mein token system se queue manage hoti bhai ok,Positive
Dekho school traffic peher ke according change bro,Neutral
Acha school zone mein speed breakers se safety barhi bro,Positive
Bhai bank mein token system se queue manage hoti lol,Positive
Yaar internet night package alag se activate hota yaar,Neutral
Bhai bus stop pe shelter lag gaya hai wait comfortable :),Positive
Matlab market mein rate list display nahi hoti !,Negative
Aray post office service slow aur unreliable ok,Negative
Honestly post office service slow aur unreliable !,Negative
Bhai park timing subah sham limited hai dekhna hoga yaar lol,Neutral
Bro bus stop pe shelter lag gaya hai wait comfortable hai na,Positive
Bhai post delivery 3-5 working days ka average yaar,Neutral
Bro dedicated parking zone se raasta clear rehta bhai,Positive
Yaar noise control ke notices lagaye gaye hain yaar,Positive
Yaar bank queue mein hours lag jate hain ok,Negative
Matlab noise pollution se raat ko neend nahi aati ok,Negative
Matlab cnic appointment slot book karna padta yaar lol,Neutral
Aray water tanker backup rakhna padta hai kabhi kabhi :),Neutral
Bro rate list boards lagane se transparency aayi bhai,Positive
Bhai noise level area ke hisab se vary karta,Neutral
Dekho gas pressure theek hai cooking mein masla nahi yaar,Positive
Actually parking double ho jati hai raaste band ho jate hai na,Negative
Honestly water supply ab regular aa raha hai schedule pe bhai ok,Positive
Bhai atm se cash nahi nikal raha network down bhai,Negative
Dekho internet night package alag se activate hota lol,Neutral
Matlab garbage gantry on time aati hai area clean rehta yaar lol,Positive
bus frequency rush time pe zyada off peak kam lol,Neutral
Matlab school traffic peher ke according change ok,Neutral
Aray bank queue mein hours lag jate hain yaar,Negative
Acha bus stop pe shelter lag gaya hai wait comfortable,Positive
Aray parking capacity limited hai peak hours mein :),Neutral
Acha post tracking se pata chal jata hai status ok,Positive
Matlab bank timing weekend pe different hoti bhai ok,Neutral
noise pollution se raat ko neend nahi aati !,Negative
Bhai park renovate ho gaya hai ab family ke liye acha yaar lol,Positive
Actually library books outdated hain new arrivals nahi hai na,Negative
Acha atm network stable hai cash easily mil jata,Positive
Aray internet package fair usage pe slow kar dete yaar,Negative
Bro community hall booking advance mein karni hai na,Neutral
Acha cnic renewal process itna lengthy bana diya yaar lol,Negative
Suna park renovate ho gaya hai ab family ke liye acha lol,Positive
Yaar hospital mein waiting time itna zyada hai bhai ok,Negative
library mein digital catalog se search easy,Positive
Bro gas load management schedule announce hota :),Neutral
Sahi cnic renewal process itna lengthy bana diya bro,Negative
Yaar public park mein cleanliness ka koi nizam nahi ok,Negative
Actually garbage gantry on time aati hai area clean rehta bro,Positive
Yaar post office service slow aur unreliable bhai,Negative
Actually atm network stable hai cash easily mil jata yaar lol,Positive
Aray garbage pick up weather pe asar andaz hota :),Neutral
Sahi community events se log connect ho rahe hain !,Positive
Yaar library membership rules clear hain lol,Neutral
Yaar gas pressure theek hai cooking mein masla nahi yaar,Positive
Honestly school traffic peher ke according change ok,Neutral
Dekho water tanker backup rakhna padta hai kabhi kabhi ok,Neutral
Acha community center facilities use nahi ho rahi lol,Negative
gas pressure theek hai cooking mein masla nahi yaar,Positive
Sahi internet night package alag se activate hota bhai ok,Neutral
electricity bill estimation pe aata hai actual nahi bro,Negative
Sahi bus stop pe shelter lag gaya hai wait comfortable yaar,Positive
noise control ke notices lagaye gaye hain :),Positive
Actually dedicated parking zone se raasta clear rehta bhai ok,Positive
Actually community center facilities use nahi ho rahi bro,Negative
Acha parking capacity limited hai peak hours mein yaar lol,Neutral
Bhai street lights raat ko band rehti hain unsafe feel !,Negative
bank queue mein hours lag jate hain hai na,Negative
Aray atm se cash nahi nikal raha network down yaar,Negative
Yaar electricity bill estimation pe aata hai actual nahi yaar,Negative
Dekho internet night package alag se activate hota,Neutral
Bro internet night package alag se activate hota bhai ok,Neutral
Yaar hospital mein waiting time itna zyada hai !,Negative
Actually hospital mein waiting time itna zyada hai ok,Negative
Matlab library mein digital catalog se search easy yaar,Positive
Bhai water supply ab regular aa raha hai schedule pe bro,Positive
Honestly park timing subah sham limited hai dekhna hoga bhai ok,Neutral
Acha hospital OPD days fixed hain emergency alag hai na,Neutral
Bro electricity bill estimation pe aata hai actual nahi :),Negative
Dekho library membership rules clear hain yaar lol,Neutral
Honestly rate list boards lagane se transparency aayi !,Positive
Actually footpath repair work chal raha hai temporary !,Neutral
Bro post delivery 3-5 working days ka average bhai,Neutral
Matlab gas load management schedule announce hota bro,Neutral
Matlab dedicated parking zone se raasta clear rehta yaar lol,Positive
market rates daily change ho sakte hain,Neutral
rate list boards lagane se transparency aayi lol,Positive
bank mein token system se queue manage hoti yaar lol,Positive
Honestly noise level area ke hisab se vary karta,Neutral
Bro noise control ke notices lagaye gaye hain bhai ok,Positive
Suna street lights raat ko band rehti hain unsafe feel ok,Negative
Suna market rates daily change ho sakte hain,Neutral
Sahi noise control ke notices lagaye gaye hain bro,Positive
Suna post tracking se pata chal jata hai status bhai,Positive
Honestly water supply ab regular aa raha hai schedule pe bro,Positive
Matlab noise pollution se raat ko neend nahi aati bhai,Negative
Yaar library books outdated hain new arrivals nahi bhai,Negative
Bhai school traffic peher ke according change bhai ok,Neutral
Bhai bank timing weekend pe different hoti yaar,Neutral
Bro hospital mein token system se time bachta hai bro,Positive
post delivery 3-5 working days ka average !,Neutral
Actually public park mein cleanliness ka koi nizam nahi hai na,Negative
Matlab atm se cash nahi nikal raha network down lol,Negative
Aray dedicated parking zone se raasta clear rehta hai na,Positive
Aray park renovate ho gaya hai ab family ke liye acha yaar,Positive
Suna parking capacity limited hai peak hours mein,Neutral
Acha hospital OPD days fixed hain emergency alag :),Neutral
Actually public park mein cleanliness ka koi nizam nahi ok,Negative
Dekho park renovate ho gaya hai ab family ke liye acha lol,Positive
Aray hospital mein waiting time itna zyada hai yaar lol,Negative
Honestly school ke bahar traffic chaos ho jata hai lol,Negative
Actually parking double ho jati hai raaste band ho jate bro,Negative
