text,label
پاکستان کے سب سے جدید شہر کا نام؟,اسلام آباد پاکستان کا جدید شہر ہے
پاکستان میں صحت,پاکستان میں صحت بہت اچھا نہیں ہے
پاکستان سمندر,عربی سمندر پاکستان سے منسلک ہے
کوئٹہ کا موسم کیا ہے؟,اس کی چلی موسم
مشہور تعلیمی ادارے؟,جس سطح پر
پاکستان میں کتنی دیہی صحت مراکز ہیں؟,552 دیہی صحت مراکز موجود ہیں
پاکستان میں سیاحوں کی طرح کونسی جگہیں ہیں؟,شمالی علاقوں
پاکستان میں کیا زبانیں ہیں؟,پاکستان میں بہت سی زبانیں بولی ہیں
پاکستان میں سب سے خوبصورت جگہ؟,کشمیر پاکستان میں سب سے خوبصورت جگہ ہے
پاکستان کے تاریخی مقامات,پاکستان میں بہت سے تاریخی مقامات موجود ہیں جیسے راکٹاس قلعہ، حیر منار پارک وغیرہ
پاکستان کی اعلی ترین چوک کا نام؟,K2 پاکستان میں سب سے زیادہ چوٹی ہے
پاکستان کے پہلے صدر کا نام؟,اسککر مرزا مرزا پاکستان کے پہلے صدر تھے
پاکستان میں سب سے بڑی سیاسی جماعت؟,پی پی پی پاکستان کا سب سے بڑا سیاسی جماعت ہے
پاکستان کے مشہور اداکاروں؟,مہرا خان خان پاکستان کی مشہور مشہور شخصیت ہیں
پاکستان کا پہلا گورنر جنرل؟,قائداعظم محمد علی جناح
پاکستان کرکٹ ٹیم کپتان کون تھا جب پاکستان نے 1992 کے کرکٹ ورلڈ کپ جیت لیا؟,عمران خان
کراچی,پاکستان کا سب سے بڑا شہر اور سندھ کے دارالحکومت
حل کیا ہے؟,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
C P E C کھڑا ہے؟,سی پی ای سی سی چین پاکستان اقتصادی کوریڈور کے لئے کھڑا ہے
پاکستان کی ڈیسرٹ کیا ہیں؟,سندھ وادی صحرا.کھان ڈریگنتھرا ریگستانتری صحرا. کیا پاکستان کی اہم شہادتیں ہیں؟
مجھے پاکستان کی خواندگی کی شرح کے بارے میں بتاؤ؟,پاکستان کی خواندگی کی شرح 57 فیصد ہے
پاکستان کی فصلیں,فصلیں چاول غنم وغیرہ ہیں
پاکستان میں دفاع کا دن کب منایا جاتا ہے,6 ستمبر کی تاریخ ہے جب ہم دفاعی دن کا جشن مناتے ہیں
پاکستان کی قومی آبادی؟,پاکستان کے قومی گندے پاک سر زیمین ہیں
کے پی پی کے موجودہ وزیر اعلی کا نام کیا ہے؟,پرویز خٹک کے پی پی کے کے وزیر اعلی ہیں
پاکستان میں برآمد کی شرح کیا ہے,پاکستان کی برآمد شرح کم ہے
قومی کھیل؟,ہاکی
اسلام آباد کیا ہے؟,اسلام آباد پاکستان کا دارالحکومت ہے
نام کا نام افسانہ,قائداعظم
پاکستان میں خوراک کا مشہور شہر,لاہور کھانے کے لئے مشہور ہے
پاکستان کی زبان کیا ہے,اردو پاکستان کی زبان ہے
ہماری ماں کا نام؟,میں تمہاری ماں کے بارے میں کچھ نہیں جانتا، لیکن پاکستان ہماری ماں ہے :)
پاکستان کے صوبوں کا نام؟,پاکستان میں 4 صوبے ہیں، یعنی پی پی کے، سند، بلوچستان، پنجاب اور گلگت بلتستان
ریاست کے حکمران کا نام؟,ممنوع حسین پاکستان کا حکمرانی ہے
پاکستان میں صحت کی صورتحال؟,پاکستان میں صحت بہت اچھا نہیں ہے
پاکستان میں توانائی بحران کیوں ہے؟,پاکستان میں کم از کم ڈیموں کی وجہ سے
نواز شریف کون ہیں,وہ پاکستان کا وزیر اعظم ہے
پاکستانی کرنسی کا نام,پاکستانی کرنسی روپے ہے
پاکستان قومی ٹیم,پاکستان بہت سی قومی ٹیمیں ہیں، براہ کرم مزید مخصوص رہیں
گندی یا رونالڈو؟,گندی میری بائی
کونسی کمپنی ٹیلی مواصلات کے لئے بہترین ہے,پی ٹی سی ایل اور یوفون پاکستان کے بہترین ٹیلی کمیونیکیشن کمپنی ہیں
ہم سب سے زیادہ غذائی لوگوں کو کہاں مل سکتے ہیں؟,پنجاب میں
پاکستان کا قومی درخت کیا ہے؟,ڈو ڈار پاکستان کا قومی درخت ہے
تنخواہ کیا ہے؟,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
چین کی مدد کیسے کر رہی ہے پاکستان,وہ ترقی میں پاکستان کی مدد کر رہے ہیں
پاکستان کے بہترین کمانڈر کا نام کیا ہے؟,عمر شریف پاکستان کا سب سے بہترین کمانڈر ہے
اٹک کے پچھلے نام کے بارے میں معلومات؟,کیمپبیل پور اٹاک کا پچھلے نام ہے
پنجابی شہر کے بارے میں عجیب چیزیں؟,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
پاکستان کو منشیات کے استعمال کی اجازت دیتی ہے؟,ہاں پاکستان میں منشیات حرام ہیں
پاکستان کے موجودہ صدر,ممنون حسین پاکستان کے موجودہ صدر ہیں
پنجاب میں بولی جانے والے زبانوں؟,پنجابی بولی جانے والی اہم زبان ہے
پاکستان کا دوسرا بڑا شہر؟,لاہور دوسرا سب سے بڑا شہر ہے
