text,label
positive vibes only nice,0
Yaar good luck! for :) next project yaar,0
Mashallah shukriya share karne ke liye bro,0
Haye itna overacting kyu karta hai bro,1
Aray great energy! bro bro,0
Yaar bhaiii bohot accha video hai,0
Bhai tuu samjhta keaa hey apne aap ko bhai,1
Aray faltu video banai hai bhai,1
Yaar tuu kitna ghatiya insan hai,1
Yaar zyada smart mat ban :),1
Mashallah koi sense nahi hey video :) mein bhai lol,1
Yaar bakwas vidiyo bro,1
Bhai good information di bro,0
Aray lajawab explanation :),0
EXCELLENT WORK BRO,0
Bhai tumhara sense of humor beeeest!! hai,0
Haye pagal sa :) behaviour dikha raha hai yaar,1
Yaar tumhara sense of humor best hai,0
Haye itna overacting kyu karta hai!!! yaar,1
acha! laga dekh :P kar :P :),0
tumhara content inspire karta haii yaar,0
Mashallah tumhara content inspire :) karta hey,0
Yaar kcuh :) seekh!! le pehle bro,1
YAAR TU PAGAL HEY!! KYA,1
Yaar nais tutorial bhai,0
kamal ka effort hai bhai,0
Aray tumhara reply!! acha laga! yaar,0
Aray koi sense nahin hey vidiyo :) mein yaar nice,1
shukriya share karne!! ke liye bhai,0
Haye entertaining viedo bhai bro,0
Yaar tujhe!!! sharam nhi :) aati!!! :),1
Aray zabardast editing yaar,0
Aray proud of you bro bhai,0
Haye itna overacting :P kyu karta haii yaar,1
MASHALLAH KOI!! SENSE NHI HEY!!! VIDIO!! MEIN BHAI,1
Mashallah positive vibes only,0
Aray very helpful :),0
Bhai kuch bhi bol deta hai!!! tu,1
Mashallah mashallah nice work!!! yaar,0
Yaar tu pagal hey keaa :) nice,1
Bhai ye sab nafrat failata hai bhai,1
Yaar gandya jokes mat maar yaar,1
Yaar ye keaa bakwas! logic hai bro,1
Aray jhoot bolta haii tu,1
ye :P sab jhoot hai,1
Mashallah ajeeb bekaar banda hai bhai,1
Mashallah faltu harkatein band kar! bro,1
Aray lajawab explanation bro,0
Haye bohat mehnat ki hai yaar,0
Haye tera accent ajeeb haii :),1
Yaar nice presentation!! bhai,0
Haye jhoot bolta hy tum :),1
Mashallah boht acha :) kontent hai yaar,0
Haye boht accha content hai bro,0
Haye excellent!!! wooork bro bhai,0
Haye well!!! explained bhai,0
Mashallah jhoot bolta :) haii tu yaar,1
Mashallah zyada smart mat ban bro nice,1
Haye tu! sirf ivews ke liye!!! kar raha :P hai yaar bro,1
Mashallah samajh nahi! aaaaata kya!!! kar raha hai :),1
Yaar nice tutorial haha,0
Bhai itna overacting kyu karta haii!! bro,1
Mashallah gr8 job bro,0
Haye opsitive vibes only yaar ok,0
faltu time waste bro,1
Bhai bilkul useless vidio :),1
Bhai tumhara content unique hai :) yaar,0
Mashallah faltu kontent upload karte rehta hai,1
Yaar yaar tuu boht funny hey yaar,0
Bhai nalayak banda bhai,1
Mashallah excellent work bro :) bro lol,0
HAYE POSITIVE VIBES ONLY :),0
bohat mehnat ki :) hai!!! bhai,0
Mashallah dimagh ka pressure badha :) diya video ne :),1
Bhai bakwas video bro,1
Aray pagal sa!!! behaviour dikha raha hy bro,1
Yaar naiis try bhai,0
Aray badtameez aadmi yaar,1
Haye ajeeb bekaar banda haii bro,1
Mashallah shurkiya share kanre ke liye bro,0
Mashallah nice! presentation bro,0
Mashallah veri clean editing yaar,0
Aray boht useful tips di bro,0
Mashallah maza aagaya dekh!!! kar bro,0
positive vibes only yaar,0
Bhai nice mesasge :) diya,0
best :) one on this topic bro,0
Haye tuu kitna ghatiya insan hai :) lol,1
pagal :) insaan :),1
Yaar helpful :P for beginners,0
Mashallah dimagh ka pressure badha! diya vidiyo ne :),1
Mashallah bro bahot achaa vidio hai yaar,0
Bhai jhoot bolta hai tu,1
Yaar mujhe ye video pasand aaya yaar,0
BHAI POSITIVE VIBES :) ONLY,0
Haye kamal ka effort hai bhai,0
Mashallah keep it up!! bhai haha,0
Aray tumhara reply acha lgaa yaar,0
Yaar awesome! creativity!! yaar,0
HAYE BAKWAS VIDIYO BHAI,1
Yaar tumhara!!! reply acha laga bhai,0
Haye tuu kitna ghatiya insan hai yaar,1
YAAR GANDAY! JOKES MAAT MAAR BRO lol,1
keep posting bhai,0
Bhai tuu kitna ghatiya insan haii,1
Aray tina :P overacting kyu karta hey :),1
Yaar koi sense!! nai hy vidiyo mein,1
tumeh jaise logon ki wajah se internet kharab hy bhai,1
Aray ye sab faltu :) kontent hai,1
Mashallah jhoot bolta hai tu :),1
Bhai ye sab jhoot hai,1
Haye simple aur samajhne layak vidiyo yaar,0
Mashallah kamal ka!! effort hai,0
faltu! harkatein band kar yaar,1
Bhai bohat mehnat ki hai :),0
Yaar maza aagaya dekh kar :) bro,0
Mashallah naiis message diya :P :),0
Aray ghatiya quality :) bhai,1
Bhai tum toh pure time waste hai bro,1
Haye tu kitna ghatiya isnan hey bro,1
Yaar accha laga dekh kar bro ok,0
Bhai itna irritating! content :) lol,1
Haye kuch bhi bol deta hai tu,1
BHAI MUJHE YE VIDIO PASAND AAYA YAAR,0
Bhai kamal ka effort hy bhai,0
Bhai zabardast editing bro,0
Haye naiis :) explanation yaar bro lol,0
Aray kamal ka effort hai bhai,0
YAAR KOI SENSE NAHI HY VIDEO MEIN :),1
Bhai dimagh ka dahi kar :) diya yaar,1
Aray gr8! energy bro bhai,0
Yaar tuu toh pure time waste hai :) bro,1
Mashallah tumh jaise log hamesha problem banate :P hain bro,1
Aray faltu harkatein band kar,1
Yaar tu kitna ghatiya!! insan hey bhai haha,1
Bhai jhoot bolta hy tuu bro,1
Aray nalayak banda yaar,1
Aray bhai bohot acha vidio hai :),0
Bhai awesome creativity bro,0
kamal ka effort hai yaar,0
Aray koi sense nai haii video mein :),1
ARAY YE KEAA BAKWAS LOGIC HAI,1
YAAR TUM PAGAL HAII KIA :),1
Yaar yaar tum talented ho bhai,0
cool video bro,0
YAAR KEAA FALTU INSAN!! HAI BRO,1
Bhai bohat informative video :P hai yaar,0
Mashallah acha laga dekh kar bro,0
good information :) di yaar,0
faltu time waste bro,1
Aray well done yaar,0
YAAR LAJAWAB EXPLANATION BHAI,0
Haye pagal insaan yaar,1
Bhai samajh nahi aata kya kar raha hey,1
Aray itna overacting kyu karta hai :),1
BHAI TUMHARA SENSE OF :) HUMOR BEST HEY YAAR,0
Mashallah tu samjhta kya haii apne aap :) ko!!,1
Yaar excellent work bro bhai,0
PAGAL SA BEHAVIOUR DIKHA RAHA HAI YAAR,1
Aray tu toh pure time waste hai :),1
Haye faltu harkatein band :P kar yaar haha,1
Mashallah perfect explanation bhai,0
Aray tu samjhta kya :) hy apnee aap ko yaar,1
Yaar kamal ka effort haii bro,0
Yaar tumhara attitude pasand :) nhi aaya yaar,1
Yaar gud initiative bro,0
Mashallah maza aagaya!! dekh kar yaar,0
dimagh ka pressure badha diya vidiyo ne bro,1
Yaar nais try bro,0
well explained bro,0
Mashallah keep it :) up bhai,0
Aray mujhe ye video pasand aaya :),0
Yaar bilkul useless video bhai,1
Yaar tere jaise log :P sab bigad dete hain yaar,1
MASHALLAH MUJHE YE VIDEO PASAND AAYA BHAI,0
Yaar good information di,0
YAAR TUMHARA!! CONTENT UNIQUE HAI YAAR,0
Yaar tu toh drama queen nikla yaar,1
Mashallah veri helpful bro,0
Bhai perfect :P explanation,0
Haye keep it up bhai,0
Haye veri helpful bhai,0
Bhai pagal :) sa behaviour dikha raha hy yaar,1
Yaar bohat informative video hai bhai,0
Yaar dimagh ka!! dahi kar diya bhai nice,1
tu kitna ghatiya insan hai yaar,1
Haye helpful for beginners!! yaar,0
Haye well explained yaar,0
Haye tu! kitna ghatiya insan hai,1
Haye veri helpful :P :),0
Aray bakwaas baatein mat kar,1
Mashallah nice explanation yaar!!! bhai,0
Yaar tumhara content inspire karta hai :) bhai,0
koi sense nahi hai vidio mein haha,1
Bhai tumhara :) attitude pasand nahi aaya bro,1
Yaar tu pagal!! hy kya bhai,1
Aray ajeeeb bekaar banda hey bro,1
Mashallah mujhe!!! ye video pasand aaya bhai,0
Bhai jhoot bolta hey tu!! bro,1
Haye good initiative :) nice,0
Haye clear aur easy steps bhai,0
Mashallah ghatiya!! quality yaar bro,1
Aray keep posting!!!,0
Bhai tu toh pure time waste hai yaar,1
great energy!!! bro bro nice,0
Aray bakwas editing :) :),1
Bhai very clean editing bro,0
Bhai sahi kaha tumne :),0
Mashallah tumhara sense of :) humor best hy :),0
Yaar boht useful! tips di!!! bhai,0
ARAY TERE JAISE LOG :P SAB BIGAD DETE HAIN!! BHAI haha,1
Haye ajeeb bekaar banda hai yaar,1
Bhai tera :) accent ajeeb :) hai :P bhai,1
Aray teer comments irritate! karte hain :),1
Aray bakwaas baatein mat kar bhai,1
zyada :) smart mat ban bhai,1
Bhai well explained bro nice,0
Yaar bohat informative video!! hai,0
Bhai bohat mehnat ki hey :),0
Haye good information di bhai,0
ghatiya quality :),1
wow :) kya baat haii bhai,0
Aray dimagh kharab kar dia bro,1
Mashallah wow kyaa baat hy :) bro,0
Bhai ganday jokes! mat maar :P,1
Mashallah tumeh jaise logon ki wajah se internet kharab hey :P bhai lol,1
ARAY BAKWAS VIDEO! :),1
tree comments irritate karte hain :) yaar,1
Yaar entertaining vidiyo :),0
Mashallah superb yaar :),0
Mashallah ye sab faltu kontent!! hy yaar lol,1
Bhai very clean editing bro,0
tumhara sense of humor best hai :),0
Mashallah tuu! pagal hey kyaa :),1
Yaar boht accha kontent :) hey :),0
best one on this topic!! bro,0
HAYE INFORMATIVE CONTENT BRO,0
mujheee ye video pasand aaya bro,0
Haye tu toh drama! queen nikla bhai,1
Mashallah keep it up,0
Aray bohat mehnat ki hai bhai,0
Bhai tumhraa kontent unique hy yaar,0
samajh nahi aata :) keaa kar :) raha! hai,1
faltu kontent!!! upload karte rehta hey :),1
nice explanation yaar bro,0
Yaar cool video yaar,0
DIL KHUSH KAR DIYA YAAR,0
MASHALLAH TUMHARA SENSE OF HUMOR BEST HY YAAR,0
Haye cool vidio yaar,0
kuch bhi :P bol deta hai tu :),1
Aray clear aur easy steps bhai,0
Yaar tere :) comemnts irritate karte hain yaar bro,1
tuu pagal haii kyaa :),1
Mashallah tera accent ajeeb haii bro,1
Mashallah ye sab! jhoot hy bhai,1
Mashallah tum kitnaa ghatiya insan hai,1
Haye nice try :),0
Haye tera accetn ajeeb!! hey yaar,1
Yaar keep it up,0
Aray kuch bhi bol deta hai tu yaar,1
tumhara content inspire karta hai bro haha,0
MASHALLAH SUPERB YARA BRO,0
Haye faltu time waste yaar,1
YAAR GRETA ENERGY BRO BHAI,0
Yaar good initiative bro,0
Bhai awesome creativity bro,0
falut content!! upload karte rehta haii :) ok,1
proud of you bro yaar nice,0
superb!!! yaar bro,0
Haye good infomration di yaar,0
Bhai kuch bhi bol deta hai tum :) ok,1
Haye tumh jaise! log hamesha problem banate hain bhai,1
BHAI APPRECIATE YOUR EFFORT YAAR bro,0
Aray tu toh drama queen nikla yaar,1
tumhara attitude! pasand nahin aaya bro,1
Mashallah itna overacting!! kyu karta haii bhai,1
Bhai koi sense nahi hai vidiyo mein,1
faltu video banai haii yaar,1
Aray tu samjhta kya hai apne aap ko bro,1
Aray bakwas editing :),1
Haye bakwas editing bro,1
tumhara! sense of humor best hai bro,0
Aray bohat mehnat ki hai bro haha,0
Mashallah ye sab nafrat failata hai,1
good information di :) :),0
Mashallah gud initiative bhai,0
Yaar bakwaas baatein mat kar yaar,1
Bhai bakwas editing yaar ok,1
cool!!! video :),0
Bhai tera content bakwas hey bhai ok,1
tera content bakwas :) hai haha,1
Mashallah tu toh!!! drama queen nikla,1
Bhai bohat mehnat ki hai yaar,0
Aray tumhara sense of humor best hai yaar,0
Mashallah shukriya share :P karne ke liye bhai,0
Haye aise kaam se kuch nai!! hota bhai,1
Aray tera content bakwas haii :),1
Aray tumhara content inspire karta haii :),0
keep it up! bro,0
MASHALLAH NICE EXPLANATION! YAAR,0
yaar tu bohot funny hy :),0
Haye gr8 job bro :P :),0
Aray bakwaas :) baatein mat kar :) yaar,1
Bhai cool video bhai,0
Yaar tumh jaiise log hamesha problem banate hain bhai,1
Mashallah gussa aa :) gaya!! video dekh kar bro,1
Yaar ye sab jhoot hai ok,1
Aray respect for your hard work :) yaar ok,0
Mashallah gussa aa gaya video dehk kar bhai,1
Aray dil khush kar diya bro,0
Aray achaah laga :P dekh kar bhai,0
Mashallah sahi kaha tumne :) haha,0
Haye tum pagal hy :) kya!!! :),1
pagal sa behaviour dikha raha hai :),1
Haye ye sab jhoot!! hai,1
Bhai bhai bohot accha video hai bro,0
tuu!! toh pure time waste hai :),1
Yaar very helpful yaar,0
Mashallah nais presentation bhai,0
Bhai zabardast editing bhai,0
Aray awesome creativity yaar,0
koi sense nahi hai video mein bro,1
