Tweet,Class
کسان کی بدسلوکی نے پورے محلے کا امن و سکون برباد کر دیا,N
انتظامیہ کی ناقص کارکردگی کے باعث شہریوں کا اعتماد مکمل طور پر متزلزل ہو گیا,N
شدید گرمی اور لوڈشیڈنگ نے لاہور کے باسیوں کی زندگی اجیرن کر دی ہے,N
بارش کے بعد گلگت کا موسم انتہائی خوشگوار ہو گیا اور بجٹ کے بعد لوگ گھروں سے باہر نکل آئے,P
کسان خاتون کی رہنمائی میں نوجوان ٹیم نے قابل ستائش کارکردگی کا مظاہرہ کیا,P
بچوں سے مشقت لینے والے کارخانہ داروں کے خلاف عید کے موقع پر کوئی سخت قانون موجود نہیں,N
پیٹرول اور بجلی کی قیمتوں میں مسلسل اضافے نے متوسط طبقے کی کمر توڑ دی ہے,N
پیر کے روز کی برکتوں سے دل کو عجیب سکون اور طمانیت میسر آتی ہے,P
کتاب پڑھنے کی عادت نے رمضان میں میری سوچ کے دائرے کو بہت وسیع کر دیا,P
دکاندار پر لگے کرپشن کے الزامات چھٹی کے دن ثابت ہونے کے باوجود کوئی کارروائی نہیں ہوئی,N
محلے دار کی سچائی اور دیانتداری صبح سویرے آج بھی معاشرے کے لیے مثال ہے,P
طالب علم کا عاجزانہ رویہ اور دوسروں کی مدد کا جذبہ انتخابات کے قریب قابل تقلید ہے,P
شور شرابے اور آلودگی نے سالانہ تقریب میں لاہور کی رہائشی زندگی کو غیر معیاری بنا دیا ہے,N
استانی کی سچائی اور دیانتداری آج بھی معاشرے کے لیے مثال ہے,P
نوجوانوں کی نئی ایجاد نے عالمی مقابلے میں پہلی پوزیشن حاصل کر کے ملک کا نام روشن کیا,P
یونیورسٹی کی سست روی کی وجہ سے رمضان میں فائل مہینوں دفتروں میں پڑی رہی,N
پاکستانی ٹیم نے زبردست کارکردگی دکھاتے ہوئے میچ جیت لیا، شائقین جھوم اٹھے,P
ڈاکٹر کا عاجزانہ رویہ اور دوسروں کی مدد کا جذبہ قابل تقلید ہے,P
اوکاڑہ کے نوجوانوں نے مل کر ماحول دوست منصوبہ شروع کیا جس کی ہر طرف تعریف ہو رہی ہے,P
مقامی فنکار کی پینٹنگ نے انتخابات کے قریب بین الاقوامی نمائش میں خصوصی پذیرائی حاصل کی,P
طلاق کی شرح میں رات گئے اضافے نے خاندانی نظام کو شدید نقصان پہنچایا ہے,N
پیر کے روز کی برکتوں سے دل کو عجیب سکون اور طمانیت میسر آتی ہے,P
تھر کی گلیوں میں کوڑے کے ڈھیر صبح سویرے بیماریاں پھیلانے کا باعث بن رہے ہیں,N
نوشہرہ میں نئے ہسپتال کے قیام سے دیہی علاقے کے مریضوں کو بروقت علاج میسر آ گیا,P
صبح سویرے پرندوں کی چہچہاہٹ اور تازہ ہوا دل کو ایک عجیب سکون دیتی ہے,P
حکومت نے رمضان میں نئی پالیسی متعارف کروائی جس سے عام آدمی کو کافی ریلیف ملنے کی توقع ہے,P
طویل انتظار کے بعد بالآخر بارش نے شہر کی گرمی سے نجات دلا دی,P
پشاور کی گلیوں میں کوڑے کے ڈھیر بیماریاں پھیلانے کا باعث بن رہے ہیں,N
کسان خاتون نے مشکل حالات میں بھی مسکراہٹ نہیں کھوئی اور دوسروں کے لیے حوصلے کا باعث بنے,P
امتحان میں ناکامی کے بعد طالب علم شدید ذہنی دباؤ کا شکار ہو گیا,N
امسال گلگت کی گلیاں روشنیوں اور رونق سے جگمگا اٹھیں,P
کسان خاتون کی ہٹ دھرمی نے صبح سویرے مذاکرات کی تمام کوششوں کو ناکام بنا دیا,N
امتحان میں ناکامی کے بعد رمضان میں طالب علم شدید ذہنی دباؤ کا شکار ہو گیا,N
گوجرانوالہ کی سڑکوں پر بنے گڑھوں کی وجہ سے چھٹی کے دن روزانہ نئے حادثات جنم لے رہے ہیں,N
چھٹی کے دن کے دوران تھر میں پیش آنے والے واقعے نے سب کو صدمے میں ڈال دیا,N
بلدیہ کے افسران کی من مانیوں نے انتخابات کے قریب عام شہری کو ذلیل و خوار کر دیا,N
بینک نے نئی پالیسی متعارف کروائی جس سے عام آدمی کو کافی ریلیف ملنے کی توقع ہے,P
یونیورسٹی کی بروقت مدد سے اس ہفتے سیلاب متاثرین کی زندگی دوبارہ پٹری پر آ گئی,P
سکھر میں نئے ہسپتال کے قیام سے رات گئے دیہی علاقے کے مریضوں کو بروقت علاج میسر آ گیا,P
وزیر اعلیٰ نے اوکاڑہ میں واپڈا کے تعاون سے ایک شاندار منصوبہ مکمل کر لیا جس سے ہزاروں افراد مستفید ہوں گے,P
کارخانے کی آلودگی نے قریبی آبادی کو سانس کی بیماریوں میں مبتلا کر دیا ہے,N
انتظامیہ کے وعدے بجٹ کے بعد صرف کاغذوں تک محدود رہے، عملی طور پر کچھ نہ ہو سکا,N
پاکستانی ٹیم نے رات گئے زبردست کارکردگی دکھاتے ہوئے میچ جیت لیا، شائقین جھوم اٹھے,P
بہاولپور کے شہریوں کی اجتماعی کوششوں سے موسم سرما میں محلے کی صفائی مہم کامیابی سے مکمل ہوئی,P
سوات کے رات گئے میں نمایاں بہتری نے شہریوں کے چہروں پر مسکراہٹ بکھیر دی,P
کراچی کی گلیوں میں کوڑے کے ڈھیر بجٹ کے بعد بیماریاں پھیلانے کا باعث بن رہے ہیں,N
دوران جہلم میں منعقدہ ثقافتی میلے نے تمام شہریوں کا دل موہ لیا,P
مری میں پانی کی قلت نے شہریوں کا جینا محال کر دیا ہے,N
تاجر کی انتھک محنت رنگ لائی اور گزشتہ ماہ انہیں وہ مقام مل گیا جس کے وہ حقدار تھے,P
انتظامیہ کی ناقص کارکردگی کے باعث شہریوں کا اعتماد مکمل طور پر متزلزل ہو گیا,N
حیدرآباد میں پانی کی قلت نے شہریوں کا جینا محال کر دیا ہے,N
محبت اور خلوص سے بھرا یہ رشتہ رمضان میں بھی اتنا ہی مضبوط ہے جتنا پہلے دن تھا,P
محکمہ صحت نے صبح سویرے نئی پالیسی متعارف کروائی جس سے عام آدمی کو کافی ریلیف ملنے کی توقع ہے,P
غیر ذمہ دارانہ ڈرائیونگ کے باعث چھٹی کے دن سڑک حادثے میں معصوم بچہ جاں بحق ہو گیا,N
