text,label
Quality bht achii hy is price mea ye pendent nice â¤ðŸ¥³ðŸ¥³ðŸ¥³ðŸ¤©ðŸ¤©ðŸ¤©,Positive
GREAT GREAT GREAT 😍,Positive
After 2 days of usage jacket goes out of shape. Overall excellent experience but material is very much soft may be just for 1 season,Negative
"very fast delivery, probably the best purchase on Daraz",Positive
The product was awesome. It was excellently packaged. Thank you seller for sending the genuine product.,Positive
"This fragrance had a very short shelf life. After a few months, it started to develop an unpleasant, rancid smell. It was disappointing to invest in a fragrance only to have it go bad so quickly. I expected better quality and longevity.",Negative
same product as shown and does its job well.,Positive
Satisfied!!,Positive
quality is good and fresh and get discounted price,Positive
"Excellent quality, fresh product",Positive
beautiful,Positive
Normal but not of good quality,Negative
cheap!,Negative
The quality is mediocre you can get better quality in the market in the same price range furthermore the seller sent the wrong size,Negative
wow... original rivaj products ... amazing hand and foot mask.. received in good packaging,Positive
Good product 👍👍👍👍👍 💯 real product,Positive
they worked but not properly,Neutral
It was good experience. Nice shoes in such a low price.,Positive
First time online order. . brilliant product received thanks to seller😊,Positive
Quality is amazing. Delivered on time. Reasonable price and I will suggest everyone to buy from you,Positive
Just tasted it and there a rotten smell this time,Negative
Quality is fine. Received in time.,Positive
Same as it is 😊,Positive
this is useless product. there is no battery,Negative
Good Hai,Positive
such good quality and Fresh,Positive
stunning product Good job brother,Positive
hadfone both acha tha,Positive
Bohot hi kmaal hain kmaal ki awaaz hi,Positive
It was fresh,Positive
good product in this price. but no rechargable 1.5v battery.,Neutral
"Nice product, delivered on time, Received in good and secured packing.",Positive
I am really satisfied form this dress I really like it very much. 100 percent recommended 💯Thankyou daraz. Thank you honest seller,Positive
gally sarry alo very bad😡😡😡😡,Negative
light ok remote not working,Neutral
Very good experience that I have. It's a wonderful storage bag You can store 10 to 11 suits in this bag.,Positive
it is a fake one it's sticking like glue on lips not recommended at all,Negative
it's nice product good quality good packing and fresh item 👍,Positive
"Superb!!! Good product according to price
Happy customer :)",Positive
just like originl,Positive
Clean no fault good n fresh,Positive
application is recommended,Negative
service is quite slow but the product I received I'm satisfied with,Neutral
This is best movies 3d screen .I'm watch the movie is very good device,Positive
best quality and  affordable price,Positive
bags are too good thank you seller,Positive
Charge hi Nhi ho raha ye mujh psnd Nhi aya,Negative
Nice achi hy,Positive
"Es bar alu bekar or choty bheje Hain 
Ye Sahi nahi hy buhat afsos hua hy",Neutral
"Nice Product, Well Packed, Timely Delivered. Thanks Daraz and RHS International 🙂",Positive
the button is not gripped and it's not working...,Negative
Highly disappointed,Negative
acha hai kafiii aour 6 ke 6 hain but qualitythori low hai but itme kam ma hai to ok hai,Neutral
The Product is same as per shown in the picture. Delivery time was good. Product is of normal quality,Positive
The Product Is Not Good.I Dislike it.,Negative
Same as shown in pic â¤ï¸,Positive
Very bad dont waste money on this,Negative
"bad product, quality is so cheap",Negative
jese hmny daraz py dekha aesa hi same mila lighting k sath,Positive
Top class with this price,Positive
very good quality thnks to seller and thanks to daraz,Positive
It's cute and the quality is very good satisfied and loved the quality.,Neutral
so bad quality mouse pad dont buy,Negative
It’s a little light in color but great quality!,Positive
thank you daraz its really nice and beatiful,Positive
"There seems to be no after sales services. As advertised free installation. No one installed, I called their support several times they just keep on hi lighting my request. Very unprofessional and immature behaviour. Changhong should automatically call the customer whom they delivered the ac for installation.",Negative
"Quality is good, works fine, delivered on time.",Positive
Excellent product; exactly as shown by the seller. Would love to by it again from the same seller once these get worn out.,Positive
As described however the sticker is weak and it keeps falling,Neutral
besttt productt❤🌸,Positive
"i m not satisfy , bcz low quality of these bags ,3 times more i check but always use ,these bags are like paper bags ,in few days these bags were brusted,not recomend to others ,rek improve quality",Negative
Bht hi achy Bluetooth hn,Positive
recommended,Positive
This was our first experience and we found it very good 👍,Positive
"It is same as it look like. But im using it ,its not good",Negative
"Fresh Vegetables 100% 
10/10",Positive
Nice..,Positive
Excellent product. loved it. Will definitely recommend it,Positive
Quality low,Negative
The quality is unbelievable. Looks super cool its a awesome product.,Positive
How this will correct my thumb? This is of Silicone and not getting grip..,Neutral
very good quality product. value for money. very fast deliver,Positive
Received my parcel today. Quality is great. Thank you seller for the gift and wish card. I'm very happy with my purchase. Highly recommended.,Positive
"i always love this handfree. base best and very long lasting , my last handfree work about 7.so i recommend you to all",Positive
Dalivery on time and good quality,Positive
Not Working,Negative
wire is damage lol quality .Not working device,Negative
delivered on time behtreen product☺️ I ordered this for my niece and she loved it thank you so much draz😍 will shop again recommend 😍,Positive
👍🏻,Negative
I have ordered massager but seller sent me this.,Negative
good product in low price. Cant wear in summer its only winter use shoes,Positive
Ma Shah Allah nice and fresh item thanks daraz..,Positive
bohat achy stars bachy  bohat happy h thanks draz and selar  good,Positive
Not the same product as i have ordered also different from reviews,Negative
"easy to carry and beat coffee but sometimes it stops in middle, I don't know why.",Neutral
reviewing after month black color fades with time overall works fine,Neutral
it is cheap product it doesn't work,Neutral
"Order arrived on time and all products were fresh except potatoes. 
Additional review: The potatoes I bought were on sale for Rs. 9 but they were all rotten from inside only two potatoes were good, I request Daraz not play such game if they can't afford.",Positive
same as shown in the picture,Neutral
"Everything is fresh and good, timely delivered, highly recommended.",Positive
Bad quality and it not same show in pics even the case is copy... no bass no sound quality... totally not satisfied...,Negative
Good product with a reasonable price. The quality us as you would expect with that price. Thanks seller.,Positive
"Thanks seller for your good services and fulfil my expectations ,product is perfectly working and effective for lite massage.",Positive
