text,label
Aray cross platform presence achhi hai !,0
Yaar fair use follow kiya hai yaar,0
Aray half knowledge se pure video bhar di bro,1
Dekho share nahi karunga kabhi isko lol,1
animation se concept clear hua lol,0
Dekho end screen pe sirf subscribe mang raha hai,1
Oye update karke naya data daala haha,0
dono sides cover kiye hain topic ke :),0
description box detailed hai lol,0
Haye clickbait title laga ke logon ko confuse kiya,1
Acha suno responsibility nahi feel karta creator lol,1
Dekho disclaimer clearly laga hai ok,0
Bro facts check kiye baghair boldeta hai bro,1
har criticism pe victim card khelta hai :),1
Dekho koi improvement nahi dikh rahi months se ok,1
Suniye effort nahi dikh raha is video mein lol,1
Dekho watch later se bhi remove kar diya,1
Dekho emotion force kar raha hai har jagah ok,1
Aray playlist properly organized hai,0
Aray dostoon ko bhi mana karunga dekhne se ok,1
audience ko according nahi hai ye content haha,1
Oye local context bhi add kiya hai bhai,0
Bro koi improvement nahi dikh rahi months se haha,1
Aray laugh track jaisa feel hota hai lol,1
Oye trend follow karne ki koshish fail bhai ok,1
Aray originality zero hai is content mein yaar,1
Aray responsibility nahi feel karta creator !,1
Yaar credit dena toh door ki baat hai bro,1
Dekho international perspective diya bhai,0
Yaar strike lag sakta hai aise content pe bro,1
Suniye dostoon ko bhi mana karunga dekhne se yaar,1
Suniye share nahi karunga kabhi isko lol,1
Aray hate se deal nahi kar pata ye banda bhai,1
Aray trigger warning diya tha shuru mein !,0
Bhai update karke naya data daala bhai ok,0
Dekho channel ki reputation kharab kar raha ok,1
Acha suno research depth se kiya hai tune,0
Haye effort nahi dikh raha is video mein haha,1
Haye collaboration announcement clear tha bhai ok,0
Yaar quality drop hoti ja rahi hai continuously ok,1
Oye balanced view present kiya hai bro,0
Dekho neutral tone maintain kiya haha,0
Oye sensitive topic ko carefully handle kiya bhai ok,0
stock clips relevant hain bhai,0
Dekho chapters add kiye hain video mein :),0
Bhai demo live karke dikhaya :),0
Aray sponsorship disclose nahi kiya properly,1
Bhai originality zero hai is content mein bhai,1
Yaar stock clips relevant hain bro,0
laugh track jaisa feel hota hai yaar,1
Bro neutral tone maintain kiya lol,0
Bro language filter ki zaroorat hai isko yaar,1
Suniye bias nahi dikhaya kisi taraf bhai,0
Oye pinned comment informative hai lol,0
Bro hate se deal nahi kar pata ye banda bro,1
Aray neutral tone maintain kiya !,0
Acha suno cards use kiye hain smartly bro,0
Oye stock clips relevant hain ok,0
Yaar shorts se long form tak consistent :),0
Bro demonetize hone layak content hai yaar lol,1
Aray watch later se bhi remove kar diya,1
Bro dostoon ko bhi mana karunga dekhne se yaar lol,1
Yaar description mein bhi kuch useful nahi likha !,1
inclusive language use ki hai bro,0
Aray har criticism pe victim card khelta hai ok,1
Dekho inclusive language use ki hai bro,0
Yaar demonetize hone layak content hai ok,1
Haye laugh track jaisa feel hota hai haha,1
Bhai credit dena toh door ki baat hai,1
bell icon bhi hata diya iske liye !,1
Acha suno kids ke saamne nahi chala sakte bhai,1
Aray koi improvement nahi dikh rahi months se haha,1
Acha suno pehle better hota tha ab gira hua hai ok,1
Aray community guidelines touch kar raha hai yaar lol,1
Aray clickbait title laga ke logon ko confuse kiya haha,1
Aray koi improvement nahi dikh rahi months se bhai ok,1
Yaar moderation team ko dekhna chahiye,1
Haye dostoon ko bhi mana karunga dekhne se lol,1
community guidelines touch kar raha hai bro,1
Suniye clickbait title laga ke logon ko confuse kiya lol,1
Oye effort nahi dikh raha is video mein bhai ok,1
Haye demo live karke dikhaya yaar lol,0
Bro algorithm ko bhi isse door rakhna chahiye bhai ok,1
Oye language filter ki zaroorat hai isko haha,1
Bhai credit dena toh door ki baat hai ok,1
Bhai facts check kiye baghair boldeta hai !,1
Dekho timestamp daale hain important points pe !,0
Yaar language filter ki zaroorat hai isko,1
Oye sponsorship disclose nahi kiya properly bhai,1
Aray hate se deal nahi kar pata ye banda !,1
Bro local context bhi add kiya hai bro,0
Oye watch later se bhi remove kar diya :),1
Yaar intro itna lamba hai ke skip karna padta hai haha,1
Bro affiliate links se sirf paise kama raha bhai ok,1
Haye previous mistakes se seekha hai yaar lol,0
Yaar playlist properly organized hai bhai ok,0
Aray trigger warning diya tha shuru mein bhai,0
Bhai affiliate links se sirf paise kama raha yaar lol,1
Acha suno source mention tak nahi karta :),1
Bro quality drop hoti ja rahi hai continuously bhai,1
Haye podcast version bhi available hai yaar lol,0
Dekho moderation team ko dekhna chahiye ok,1
Oye cards use kiye hain smartly bhai,0
Yaar bell icon bhi hata diya iske liye ok,1
Oye bell icon bhi hata diya iske liye :),1
Bro strike lag sakta hai aise content pe !,1
Bro effort nahi dikh raha is video mein yaar,1
Yaar quality drop hoti ja rahi hai continuously bhai,1
