text,label
Sahi price drop ek hafta baad ho gaya ab regret ho raha bhai,neg
Suna delivery window wide tha usi range mein aaya bro,neu
Aray headphones comfort theek hai long use pe pressure lol,neu
Suna game lag karta hai medium settings pe bhi bhai ok,neg
Yaar product average hai price ke hisab se theek bhai ok,neu
Acha headphones comfort theek hai long use pe pressure hai na,neu
Suna headphones ek taraf se awaz nahi aa rahi,neg
Honestly game lag karta hai medium settings pe bhi :),neg
Acha order cancel karne mein itni der laga di customer care ne hai na,neg
camera daylight mein theek low light mein average bhai ok,neu
Acha update optional hai abhi force nahi kiya bhai ok,neu
Bhai product packaging kharab thi item scratch ho gaya lol,neg
Suna camera samples dekh ke impress ho gaya yaar lol,pos
Acha size chart se bilkul match nahi kiya jo size aaya yaar,neg
Suna tracking kabhi delay show karta hai actual nahi !,neu
Yaar charger heat bohot karta hai use karte waqt bhai,neg
app login bar bar fail ho raha hai otp nahi aa raha hai na,neg
Bhai software update ke baad phone slow ho gaya bro,neg
Matlab customer review fake lag rahe hain bohot zyada positive yaar lol,neg
Suna sound quality balanced hai bass bhi theek bhai,pos
Acha storage management tools useful hain hai na,pos
Bro color screen pe alag tha real mein alag aa gaya bhai ok,neg
Actually warranty claim process itna complicated hai ke time waste bro,neg
Matlab camera samples dekh ke impress ho gaya :),pos
charger basic hai fast charge alag se lena padta hai na,neu
Yaar warranty claim process itna complicated hai ke time waste bhai ok,neg
live agent ne turant issue resolve kar diya bhai ok,pos
Bro reviews padh ke decision lena better rehta !,neu
Aray headphones ek taraf se awaz nahi aa rahi bro,neg
Aray charger fast charge support karta hai,pos
Aray update ke baad performance improve hui hai yaar lol,pos
Honestly size perfect fit aaya chart reliable hai !,pos
Actually price competitive hai features ke hisab se,pos
Matlab tracking kabhi delay show karta hai actual nahi bhai,neu
Actually camera daylight mein theek low light mein average,neu
Yaar battery normal use pe theek heavy use pe kam hai na,neu
Sahi app mein kuch bugs hain lekin usable hai bhai ok,neu
Dekho delivery tracking accurate tha har step pe update,pos
Suna update ke baad performance improve hui hai lol,pos
camera low light mein bilkul bekar result de raha :),neg
Bro storage management tools useful hain lol,pos
Bro battery normal use pe theek heavy use pe kam ok,neu
Dekho camera low light mein bilkul bekar result de raha hai na,neg
Actually return process simple tha refund jaldi mil gaya yaar lol,pos
Aray storage full hone pe phone hang karne lagta hai bhai,neg
Aray return process simple tha refund jaldi mil gaya bhai,pos
price fluctuate karta rehta hai wait karna padta bro,neu
Dekho size chart follow kiya to fit chance barh jata lol,neu
Acha return process simple tha refund jaldi mil gaya bhai ok,pos
Acha product average hai price ke hisab se theek !,neu
Suna headphones ek taraf se awaz nahi aa rahi :),neg
Matlab price competitive hai features ke hisab se bro,pos
battery poora din comfortably chal jati hai lol,pos
Suna filter itne zyada hain ke original photo hi nahi dikhti yaar,neg
Bro game smooth chal raha hai high settings pe bro,pos
packaging standard thi koi special nahi bhai ok,neu
Bhai color bilkul waisa hi hai jaisa website pe dikhaya ok,pos
night mode bohot clear shots de raha hai !,pos
color screen pe alag tha real mein alag aa gaya,neg
Actually price fluctuate karta rehta hai wait karna padta,neu
Yaar live agent ne turant issue resolve kar diya bhai ok,pos
Yaar packaging standard thi koi special nahi hai na,neu
Bhai color bilkul waisa hi hai jaisa website pe dikhaya bhai,pos
Bro size chart se bilkul match nahi kiya jo size aaya,neg
Suna app mein kuch bugs hain lekin usable hai lol,neu
Aray charger heat bohot karta hai use karte waqt ok,neg
Sahi charger heat bohot karta hai use karte waqt !,neg
Yaar product quality expectation se behtar nikli lol,pos
Honestly game smooth chal raha hai high settings pe yaar,pos
Sahi camera low light mein bilkul bekar result de raha bhai,neg
Acha warranty claim process itna complicated hai ke time waste :),neg
Sahi storage full hone pe phone hang karne lagta hai !,neg
Bro camera daylight mein theek low light mein average lol,neu
Acha filter itne zyada hain ke original photo hi nahi dikhti bro,neg
Aray app login bar bar fail ho raha hai otp nahi aa raha lol,neg
Aray return window 7 days ka hai uske baad nahi bhai ok,neu
Bhai battery drain fast ho raha hai naya phone hone ke bawajood :),neg
Bro order time pe deliver ho gaya packaging safe thi,pos
Suna update optional hai abhi force nahi kiya yaar lol,neu
Dekho software update ke baad phone slow ho gaya :),neg
Actually price fluctuate karta rehta hai wait karna padta !,neu
Suna filter itne zyada hain ke original photo hi nahi dikhti bro,neg
Acha app mein kuch bugs hain lekin usable hai bhai ok,neu
Matlab storage expandable hai lekin pehle se plan karo yaar,neu
Sahi filter itne zyada hain ke original photo hi nahi dikhti bro,neg
storage management tools useful hain yaar lol,pos
Bro delivery window wide tha usi range mein aaya,neu
Sahi genuine reviews se help mili sahi decision liya lol,pos
return process simple tha refund jaldi mil gaya yaar,pos
Acha battery poora din comfortably chal jati hai yaar lol,pos
Bro price drop ek hafta baad ho gaya ab regret ho raha,neg
Matlab battery poora din comfortably chal jati hai,pos
Bro game settings adjust karke playable banaya ja sakta yaar lol,neu
Acha headphones ek taraf se awaz nahi aa rahi bro,neg
camera daylight mein theek low light mein average hai na,neu
Bro subscription cancel karna one click mein ho gaya hai na,pos
Sahi delivery window wide tha usi range mein aaya,neu
Honestly color screen pe alag tha real mein alag aa gaya,neg
Honestly size perfect fit aaya chart reliable hai hai na,pos
Bro delivery window wide tha usi range mein aaya yaar,neu
Honestly app interface clean hai navigation asaan hai,pos
Suna price competitive hai features ke hisab se !,pos
Yaar order cancel karne mein itni der laga di customer care ne hai na,neg
Bhai packaging standard thi koi special nahi bhai ok,neu
Suna charger basic hai fast charge alag se lena padta bhai ok,neu
Dekho app login bar bar fail ho raha hai otp nahi aa raha hai na,neg
Acha size chart se bilkul match nahi kiya jo size aaya bhai,neg
Suna game lag karta hai medium settings pe bhi,neg
Bhai customer review fake lag rahe hain bohot zyada positive bro,neg
Actually update ke baad performance improve hui hai,pos
Dekho live agent ne turant issue resolve kar diya lol,pos
Honestly live agent ne turant issue resolve kar diya hai na,pos
Dekho product average hai price ke hisab se theek lol,neu
Bro headphones comfort theek hai long use pe pressure bro,neu
Aray delivery tracking accurate tha har step pe update bhai,pos
Honestly filter itne zyada hain ke original photo hi nahi dikhti lol,neg
Aray warranty terms carefully padh lene chahiye ok,neu
Matlab delivery tracking accurate tha har step pe update :),pos
Bhai game lag karta hai medium settings pe bhi yaar lol,neg
Acha warranty claim process itna complicated hai ke time waste yaar lol,neg
Sahi headphones ek taraf se awaz nahi aa rahi bro,neg
Matlab battery normal use pe theek heavy use pe kam bhai,neu
Aray size perfect fit aaya chart reliable hai yaar lol,pos
Matlab delivery boy ne call nahi uthaya location galat thi bhai,neg
Bhai price competitive hai features ke hisab se bhai,pos
Bhai warranty claim easily process ho gaya without hassle bro,pos
game lag karta hai medium settings pe bhi bro,neg
Yaar camera low light mein bilkul bekar result de raha ok,neg
Matlab app mein kuch bugs hain lekin usable hai yaar,neu
Aray order time pe deliver ho gaya packaging safe thi hai na,pos
Acha game smooth chal raha hai high settings pe bro,pos
Aray filter itne zyada hain ke original photo hi nahi dikhti,neg
Yaar return policy clear nahi hai hidden conditions hain hai na,neg
Suna headphones ek taraf se awaz nahi aa rahi yaar,neg
Sahi price drop ek hafta baad ho gaya ab regret ho raha bhai ok,neg
Matlab app interface clean hai navigation asaan hai !,pos
Honestly live agent ne turant issue resolve kar diya,pos
Aray support response time 24 hours ka hai bhai ok,neu
Bhai camera low light mein bilkul bekar result de raha yaar,neg
Acha storage full hone pe phone hang karne lagta hai bro,neg
Dekho product packaging kharab thi item scratch ho gaya :),neg
Matlab return window 7 days ka hai uske baad nahi,neu
Bhai sound quality balanced hai bass bhi theek lol,pos
Suna battery drain fast ho raha hai naya phone hone ke bawajood yaar,neg
Bhai reviews padh ke decision lena better rehta !,neu
Suna delivery boy ne call nahi uthaya location galat thi ok,neg
Honestly app interface clean hai navigation asaan hai bhai,pos
Bhai charger fast charge support karta hai ok,pos
Dekho camera daylight mein theek low light mein average hai na,neu
Bhai order cancel karne mein itni der laga di customer care ne hai na,neg
Sahi return process simple tha refund jaldi mil gaya,pos
Sahi storage management tools useful hain ok,pos
Bro storage full hone pe phone hang karne lagta hai !,neg
Suna return policy clear nahi hai hidden conditions hain !,neg
Bro filter itne zyada hain ke original photo hi nahi dikhti yaar lol,neg
Actually sound quality balanced hai bass bhi theek yaar lol,pos
charger basic hai fast charge alag se lena padta yaar,neu
Bro size perfect fit aaya chart reliable hai ok,pos
size chart follow kiya to fit chance barh jata lol,neu
Yaar camera low light mein bilkul bekar result de raha,neg
Honestly order cancel karne mein itni der laga di customer care ne yaar,neg
charger fast charge support karta hai bhai ok,pos
Dekho camera samples dekh ke impress ho gaya :),pos
Acha warranty terms carefully padh lene chahiye bhai,neu
Acha product average hai price ke hisab se theek yaar,neu
Yaar delivery boy ne call nahi uthaya location galat thi :),neg
Sahi game smooth chal raha hai high settings pe yaar,pos
order time pe deliver ho gaya packaging safe thi lol,pos
Acha price competitive hai features ke hisab se lol,pos
Sahi camera daylight mein theek low light mein average,neu
Bro order cancel karne mein itni der laga di customer care ne yaar,neg
Matlab update ke baad performance improve hui hai !,pos
Sahi update ke baad performance improve hui hai bhai,pos
Dekho size chart follow kiya to fit chance barh jata ok,neu
Matlab delivery boy ne call nahi uthaya location galat thi !,neg
Matlab headphones comfort theek hai long use pe pressure lol,neu
Aray price fluctuate karta rehta hai wait karna padta bhai,neu
Aray camera daylight mein theek low light mein average,neu
Aray app interface clean hai navigation asaan hai bro,pos
Yaar warranty terms carefully padh lene chahiye bhai ok,neu
Acha headphones ek taraf se awaz nahi aa rahi,neg
Honestly delivery window wide tha usi range mein aaya bhai ok,neu
Aray refund method original payment pe depend karta !,neu
Actually storage management tools useful hain bhai ok,pos
Suna battery normal use pe theek heavy use pe kam hai na,neu
Honestly app mein kuch bugs hain lekin usable hai,neu
price fluctuate karta rehta hai wait karna padta yaar lol,neu
Bro product packaging kharab thi item scratch ho gaya ok,neg
Bro game settings adjust karke playable banaya ja sakta ok,neu
Actually product packaging kharab thi item scratch ho gaya yaar,neg
Acha charger basic hai fast charge alag se lena padta bhai ok,neu
Acha packaging standard thi koi special nahi !,neu
Matlab order time pe deliver ho gaya packaging safe thi bhai,pos
Bhai size perfect fit aaya chart reliable hai hai na,pos
Bhai product packaging kharab thi item scratch ho gaya yaar,neg
Matlab headphones ek taraf se awaz nahi aa rahi bro,neg
Honestly headphones comfort theek hai long use pe pressure yaar,neu
Bhai order time pe deliver ho gaya packaging safe thi lol,pos
Matlab warranty terms carefully padh lene chahiye :),neu
Bro filter itne zyada hain ke original photo hi nahi dikhti lol,neg
Bhai product average hai price ke hisab se theek ok,neu
Matlab game lag karta hai medium settings pe bhi !,neg
size perfect fit aaya chart reliable hai ok,pos
Aray price fluctuate karta rehta hai wait karna padta !,neu
Bro genuine reviews se help mili sahi decision liya !,pos
Sahi storage management tools useful hain yaar lol,pos
Bro filter itne zyada hain ke original photo hi nahi dikhti yaar,neg
Yaar product packaging kharab thi item scratch ho gaya bhai,neg
Acha delivery window wide tha usi range mein aaya hai na,neu
Yaar size chart follow kiya to fit chance barh jata yaar,neu
Matlab price fluctuate karta rehta hai wait karna padta lol,neu
Aray warranty terms carefully padh lene chahiye hai na,neu
Dekho return window 7 days ka hai uske baad nahi bhai ok,neu
Aray game smooth chal raha hai high settings pe ok,pos
night mode bohot clear shots de raha hai yaar,pos
Aray return policy clear nahi hai hidden conditions hain ok,neg
Yaar delivery boy ne call nahi uthaya location galat thi bro,neg
Acha delivery boy ne call nahi uthaya location galat thi lol,neg
Honestly delivery tracking accurate tha har step pe update ok,pos
Dekho night mode bohot clear shots de raha hai hai na,pos
Aray delivery tracking accurate tha har step pe update hai na,pos
Bro camera samples dekh ke impress ho gaya bhai,pos
Bro refund method original payment pe depend karta !,neu
Yaar storage full hone pe phone hang karne lagta hai bhai,neg
Sahi charger fast charge support karta hai hai na,pos
Honestly warranty claim easily process ho gaya without hassle bhai ok,pos
Actually return policy clear nahi hai hidden conditions hain bhai ok,neg
Actually camera daylight mein theek low light mein average bhai ok,neu
price competitive hai features ke hisab se bhai,pos
