Comment,Label
trophy chor bhikhariyo,Negative
beauty nature gift god,Positive
proud hope apne jo decision liya wo successful hojaye ntake love nall best,Positive
sohni mahiwal true love,Positive
dhanan sonipat district now,Normal
hu bhaii g,Positive
learn stock,Positive
always welcome anytime,Positive
bahi last bala epic dekhna charjer chura leta,Negative
was always meant long live zindabad,Positive
salman syed,Positive
bigg boss bigg boss btt,Normal
gaam guhaand aalya shaan badha di bhai tanne,Positive
guitarist long hair was vibing,Positive
bap beta,Negative
listening song,Positive
chutiyon,Negative
jis mulk aata kami woh mulk bharat aankh dikhata,Negative
love love love,Positive
thank arre great inspiration many thousands people,Positive
baap samne itna boakha krte baad kutta bna marte,Negative
sericulture there,Normal
bap bap hotahe,Negative
she an artist not our enemy take chill pill,Positive
save woter save earth,Positive
men lie,Normal
abhe chuttiya logo match jeeta jata jang keha jeet laoge abhe hum apna punjab vapas laina,Negative
great voice,Positive
infinity,Normal
nice,Positive
raat bhar party toh kiya hoga,Negative
one legendary,Positive
pada last jor thappad bhokna band kar abhi kate lu,Negative
wow,Positive
soulful performance,Positive
nsti ak video please,Normal
foreigner ok,Normal
insta kown yaha hy,Positive
one most favorite,Positive
hello guys,Normal
she perfect song,Positive
pakistani ladki bhej de raat bhar party karenge,Negative
itna chilaa rahe aab huaa brahmos ghuss gaya,Negative
sahi bola baap baap hota hy,Negative
but left,Normal
apke mission judna chahta hu,Positive
very nice,Positive
big boss bhai wrna nbaki tu samjh ja,Normal
tumhara kala jadu safed gya,Negative
hindu but listening song daily song vibe like waheguru song,Normal
paijaan aapke bambu dal diye,Negative
ali hamza cute,Positive
hahaha,Positive
said ancestral city lots international brands multiple educational institutes many other infra modernizations dhruvrathee,Normal
school made brahmos place terrsits will trashed like donkeys heads,Negative
sahi bola tune baap baap hota indian baap tum logo,Negative
cool,Positive
dear dhurv ghairat wali guts your personality like pakhtuun ndon t shear your personal things world,Positive
uv,Normal
never disappoints us singing,Positive
cokestudiomtv,Positive
bhensh saying v rathi hoti,Normal
final someone said,Normal
mtlb bigboss wild card entry,Normal
kitna tum log dimag wala,Negative
manipur wala video kab banayoge,Negative
after understanding its meaning ' here,Positive
moye moye,Negative
burai kyu nahi kar pollution bahut,Negative
these people video should watched not abhishek elvis,Positive
skill issuenn,Normal
mam your rocked your voice just wow,Positive
tumhari khud public thik bol rahi kuch nahi hoga nwahi ma c d,Negative
bhai kyu pagal bana rha tera district sonepat,Negative
sahi kaha tumlogo baap baap hota,Negative
dictator then freely roaming,Negative
lovely,Positive
mehbooba,Positive
tum log intene bhikhari bik jate,Negative
sahi sare jahil bhare pade jahil kom,Negative
oh gujrat love,Positive
anyone here,Normal
cricket njaadu duaa nyahi kaam kar sakte tum log,Negative
sadar flix,Normal
rafale andar gusa diya bhaijan,Negative
papa abhishek dusra papa wale bar mere baap,Negative
onwards legendary,Positive
navratri tmhara allah chalta,Negative
rafale aya bhagoo chorro,Negative
bhai dusro galat bolta sab dikhane liye khud vahi kam kr,Normal
chor des pk vikhari,Negative
y dono muliya itna ucchal rahi last inka baap nikla,Negative
gya sawed,Negative
bhai abhishek bhul gaye,Negative
saket kumar live foreign country,Normal
more than beauty,Positive
logo kai samani kapil sharma show v feeka bhai,Negative
music without borders,Positive
sohni mahiwal story,Positive
gana gaa rahe nparty night,Negative
fantastic song music,Positive
love song,Positive
true they give chance true talents,Positive
coming msit college,Positive
careful happy enjoy your life,Positive
loves song,Positive
love,Positive
maal,Negative
lanka laga di nkash democracy bach jaye criminals jail,Negative
salam,Normal
isliye aye bcus bigg boss,Normal
disown,Normal
taja ji,Normal
noori brothers always best,Positive
trophy chor chor pakistani,Negative
samne match khtm saant baitho lose lun,Negative
delusion peak inki country google search kr lete inhone history koyi war jeeta jeetenge,Negative
kithna uneducated people duva duva mdm inshallaha apka duva reject kiyaaaaa,Negative
heard song,Positive
anyone september listening,Normal
well explain hats off,Positive
song really lovable,Positive
proud babar azam,Positive
shame less peoples,Negative
addicted song yar,Positive
jahar pir gogaji,Normal
itni achi video zero hero ndislike mat kro,Positive
song,Positive
pata chala baap kaun,Negative
kacha mere name ni,Positive
di,Positive
par chana desi koli,Positive
your papa always dont cry,Negative
love too,Positive
ha baap bap hota bete dekh liya tumhara baap varma,Negative
love noori their big fan,Positive
th october loneliness enjoying,Normal
nation needs person likes works society rather than himself best luck your new journey,Positive
baap baap hota hey wait next years,Negative
salute,Positive
پرامن سٹوڈیو پاکستان جیندے رaho لاو فیئر انڈیا,Normal
placing love best companies microsoft,Positive
amazing connection,Positive
tom log pagla choda,Negative
aisa decision bhut himmatvaale log le sakte powerful,Positive
teja ji mahraj,Normal
yashvant but ancer not spreading like your kerala,Normal
really like uh shradha di as person,Positive
if r can meet once want meet pls,Normal
shukriya,Positive
preeit anjum yeah thats fact but punjabians can understand,Positive
kuch hojaye kam kam padana mat chodiyega please,Positive
abb hum karachi bramhose fodege,Negative
bht taez nikly bhai,Positive
artists,Normal
rachel viccaji,Positive
wakh shalla pandea shadi dil wey,Positive
was murrah breed buffalo which touched at your video they commonly found worlds best buffalo breed can google about best buffalo breed world,Positive
jaise jahilo reaction dekhne maja aata jab pkmkb haarta,Negative
rizwanvlogs baap baap hota nor konse rafel giraii apna airbase bacha paii,Negative
baap aisa mara beta hug kar chala gaya isliye kehte baap samne hamesha jhuka kar chalo,Negative
awesome song one can,Positive
thumbs up bro also looking forward peace,Positive
divya tawde pakistani punjab follows tradition culture then eastern punjab,Normal
genuinely loved arrangement play,Positive
overall beautiful music,Positive
br shah privacy bhai,Normal
abe aatankiyon tumse payega kabhi,Negative
haarna tumhare naseeb,Negative
kok kon bol aa sakta gyi aa gye maze,Normal
kuli matlab hota,Normal
tumahara baap bhai suno kabhi pongo mot lo,Negative
motivater,Positive
surrender surrender surrender barmos,Negative
very near,Normal
harne adat chuki pakishaniyo tumse payega beta,Negative
jai jhaarveer goga jii,Positive
usa really like ur videos post social media blessed,Positive
national anthem bhikharistan jalebi baby,Negative
nice see your vlogs always,Positive
those think video july late june nit april ni get know grain crop nmy intelligence,Positive
line,Positive
both vegan bro,Normal
pls make video j p morgan code good,Positive
welcome,Normal
bhikhari hamesha car walo gali dete yahi haal pak,Negative
coldplayfan cutiya doesn t know anything about,Positive
sahi bola baap baap hota beton tumhare baap hami,Negative
jo log nehar gandh pa rehe han o pandit ji kehne par kar rehe han pandit samjana chahida,Normal
proud dii,Positive
such smart person but following stupid culture,Positive
one like doesn't justice,Positive
god bless thankyou,Positive
abe rd nov aaj,Normal
back your roots,Normal
phir haro hamesha tarha,Negative
karachi after rain,Positive
charger chori hogaya,Negative
baaap baapi hotha bache,Negative
prabhjyot kaur ji,Positive
why song became hit year,Normal
believe people like hopefully would great visiting but safe want hear more your side,Negative
song hits different,Positive
leader trophy chor trophy sell karke aata chawal kharide ga lekin use nahi pta aapna trophy ueke ghar lekar aa jai ga,Negative
bhusriwalu bhag nikal khelna belna nahe ata bate bare bare boll lete,Negative
love hindostan,Positive
thanks being part,Positive
may god bless di can any thing,Positive
love,Positive
ya koi devta bhagwan sati satpurush chutra banao agar banao chutrre paas chaya liye ped lagao ped par humesh parindha bandho pakshi liye pani peene,Normal
north indian villages such messy dirty unlike south indian villages,Negative
anyone oct,Normal
kitna chillao tum har gaye,Negative
chuto hum indian team har player champions koi player tumhari ekele maar sakta,Negative
october waiting time travel,Normal
just look at her,Positive
being seeing through cam,Normal
anad forces,Negative
panipat,Normal
samje baap baap hota,Negative
very nice song like very much,Positive
baap varma,Negative
can apni kaksha came up new course communication skills like english speaking,Normal
khoushall raky,Positive
season sab gane gazab hain,Positive
separaate,Normal
choti tv pr itne loggg garibo,Negative
but china road sehr jeisa,Normal
mara bala mu may lay balo,Negative
think dont,Normal
august malaysia independence day,Normal
operation sindoor yad mdcd,Negative
match match tarah dekho nafrat kyon failta,Negative
welcome hr,Normal
love sound noori,Positive
she left her microsoft job teaching,Normal
god bless shraddha di lot love respect always,Positive
an inspiration youth,Positive
thank amazing story,Positive
fukra bhai week winner button,Normal
sab meetha sath,Negative
raffle giradiya soch pakistani chutiyalog local news dektha thoda international news deko pathachelega,Negative
pura admi pagol kiya,Negative
sasnad she razas daughter owner sajan nagar,Normal
listening bharat,Normal
jaat baalak kha pahuch gya bhai proud,Positive
bap bap hota,Negative
yaar yaar lga rakha zahilo,Negative
tumari yahi aukat bhikaristan,Negative
inspiring step,Positive
thum log gand mardiyana,Negative
heartfelt song,Positive
right bro,Positive
surgery kar kar puri team koh maar dala,Negative
love respect,Positive
vlog thoda bda bnaya karo,Normal
anyone july,Normal
love sirsa,Positive
bhikhari sthan aukat raho,Negative
apni aokat pr rha kro tumhare baski baat nahi,Negative
greatest song ever made,Positive
rao here,Positive
atulmalhotra too,Normal
life peaceful,Positive
wish bright future,Positive
obsessed song,Positive
where should learn web development part order become full stack web developer,Normal
tum dua karte par team practice nahi karti,Negative
now days,Normal
someone special,Positive
paar chanaa den,Normal
music amazing,Positive
music good way,Positive
shuru bade chilla rahe bhilmange akhir matam manao bhikario,Negative
anyone watching video,Normal
lo fir chod diya,Negative
such soothing song,Positive
gracias,Normal
remaxed songs,Positive
indian music,Positive
podcaste ramayan pr ungli uthane wala yha,Normal
noori amazing,Positive
what gem such small really respect brother nlove,Positive
matlab,Positive
watching reels tiktok,Positive
aapke th kitne percentage aaye,Normal
kachaa ghadaa,Positive
big fan,Positive
expressive,Positive
mann,Normal
charger bi paki lake gaya,Negative
still favorite song,Positive
good ideology towards society,Positive
video should more long any way good video,Positive
she nailed,Positive
why always wear same t shirt,Normal
watching video th september,Positive
bap bap hota beta dek liya tum yrr kitni bar haraya saram nai ati besaram log,Negative
jis highway tu jaa rha vo bjp bnwa rkha,Normal
charger chodh trophy kaha trophy chor,Negative
aana,Normal
completely jokar nation,Negative
im feeling sorry them after seeing their mental health,Negative
love bhai educated youtuber,Positive
bhai charger kaha koi chudaake le gaya,Negative
thank very much,Positive
blown mind,Positive
soul penetrators just love,Positive
really impressive always wanted something society got way how can really impressive guys keep going,Positive
teri aukaat bhar de,Positive
shafqat amanat ali,Positive
pakisan sare chor,Negative
rohtaki,Normal
rsk thanks,Normal
charger gayab gaya,Negative
verma new father roo salo tum maja agya tumara roj,Negative
chal nikal bhadave,Negative
thursday,Normal
simply awesome,Positive
youtubeber channel name tope games channel gaming nice video,Positive
ghiraya ghar,Positive
haseeb hassan did,Normal
jao beta dudh pi jao tum payega bdsk,Negative
they giving new goals youth,Positive
vlog banaya,Normal
rafel ghus gya tabahi macha diya aaj rafel verma,Negative
any one st september,Normal
pakistani always found new abbu every match against,Negative
jermun shepherd,Normal
nothing has changed since independence female infanticide,Positive
one best video song ever grace internet,Positive
suruat mendhak tarah uchal rahe hua habibi,Negative
kamal song,Normal
no hariyana,Normal
bappe,Positive
' there,Normal
beta pata chal gaya kaun bap,Negative
waoooo excellent every one superb voice,Positive
jhukisthan sabke samne jhuk jate,Negative
naya bap suryavanshi jaiswal abhi field pe aaye nahi vo bache pure team nanga kardeengee unka match dekho jake,Negative
ap odidha puri jaganath temple ghumne ayenge aye date batana ham jayenge apko dekhane,Normal
heard song trending,Normal
baap baap hota hein beta beta hota hein tum bete geye gujre mulle,Negative
its year old song,Normal
yaar te,Positive
beta tum nehi payega,Negative
very rich music heavenly voices,Positive
javed bashir,Normal
really ' emotional,Positive
sahi kaha baap baap hota match jeet jate noorkhan kahani tumko pata,Negative
tum khel jung samajhte,Negative
these guys,Positive
baap koun samjh aaya,Negative
dear,Normal
baap baap rahe only,Negative
bird name nwildhen nvan murgi bolte hain,Normal
not judging but wish every jaat was like polite smart sensible nyou actually making entire proud god bless bro,Positive
gujjar khan,Positive
very nice bhai since came,Positive
thank coke calling rao lots love,Positive
third class country world,Negative
syed ali,Positive
bro too hmare pass padta,Normal
charger chor trophy chor sabhi hain,Negative
make separate video how join nsit by what ways can get best tech college,Normal
lucknow aaiye janab,Normal
pakistani shayad aisa jhooti duniya banake rakte,Negative
no one can beat music,Positive
bhai barshat mausham gehu ji katai kaha hoti,Positive
three years down lane song still beautiful,Positive
pakistanis always overconfident nand led lose match,Negative
tm log,Negative
bhaiya jo badrinath budhdeo principal rathi vo aapke tau ji nhai,Normal
archerd,Positive
they both first cousins not brothers,Normal
what song,Normal
dheerendrakushwah j,Positive
w,Positive
maza aa gya,Positive
tumhari aukat rafel kharidne girane,Negative
bro bird name nilkanth,Normal
ali noor part took song next level,Positive
love,Positive
very inspiring stories nbecause want learn,Positive
wow nice,Positive
song deserves million views,Positive
tumhara naya abu,Negative
kyaa baat bolaaa ji,Negative
has full package entertainer lol,Negative
khud nahi pata uske kitne baap,Negative
anyone november,Normal
really good,Positive
iss bande apne kamiyan bta di chaogey modi fans nkam kam agr kuch nahi hota toh paani toh saaf rkhlo logon,Positive
like small,Normal
sach bato vlog month pehle record kiya gyea nprof kheto kanak jiri,Normal
just thinking how someone youth like can think people by resigning reputed mnc job may god give strength each every stages your life,Positive
what should take niit bombay civil engineering nor nnsut cse,Normal
noori awesome,Positive
wish could even daring attitude girl has nbig decision ni hope pray your vision goal ahead fulfilled at its best,Positive
chomu jadha ur mat,Negative
uski aukat dikhadi,Negative
actually an amazing masterpiece,Positive
rao awesome,Positive
aman bhaiya legend no words him give him lots love,Positive
love toot indian mulberry,Positive
right,Normal
itne bhikari charger lehke chale gaye iska,Negative
kids wondering kamayengi kaise nlegends tumse,Normal
there many international universities which offering online classes working professionals can prefer instead quitting job,Positive
o abhi tum log bol rahe tu aa dikha aa gaya fat char gayi,Normal
jo ap find kar rahe,Normal
winistan not brother its simply gorgeously sexy amazing,Positive
take love bangladesh,Positive
ghumne vishwash krne andar hota bacho smjh ni aega,Normal
pehle ham ummid dilate hain bad ham tumko maar leti baap baap,Negative
song has strongest addicition,Positive
bahot achha laga bhai bhabhi bahot beautiful lag rahi luv both,Positive
iam also,Normal
love coke,Positive
allah tumhara saath nehi hei bhai,Negative
love indian masterpiece,Positive
also nit good see came here,Normal
tukdo liye imaan bech diyaa,Negative
aaj rula diya aapne,Positive
want wait video few days sit,Normal
new abba bangladesh ie kangladesh dependent allah winning cricket other game,Negative
mc soldiers patloon jis desh utri woh itna kaise bol skte mc kuch toh sharm karo,Negative
literally,Normal
bkl tum log zaahil rahoge,Negative
vese isne sahi kaha baap baap hota badi dinge mar shuru sari henkdi nikal gai last,Negative
absolute brilliant performance appreciations cheers everyone,Positive
cannot get over song ever,Positive
ive been big fan noori,Positive
legend just makes feel proud moment,Positive
life kuch big karna hain sacrifice did,Positive
travel vlogs,Normal
