text,label
عام حالات میں پودے گھر میں کیوں؟,ہوا صاف رہتی ہے
اکثر آئرن کی کمی سے کیا ہوتا ہے؟,خون کی کمی ہو سکتی ہے
حقیقت میں ہاتھ دھونا کیوں ضروری ہے؟,جراثیم ختم ہوتے ہیں
عملاً وقت کا انتظام کیسے؟,ترجیحات اور شیڈول سے
حقیقت میں کتاب پڑھنے کا فائدہ؟,علم اور تخیل بڑھتا ہے
اکثر مدد کرنے کا فائدہ؟,خوشی اور اچھے رشتے
ہوا کیسے چلتی ہے؟,درجہ حرارت کے فرق سے
حقیقت میں بورڈ پر لکھنے کا فائدہ؟,دوسروں کو دکھانے میں آسان
غصے پر قابو کیسے؟,گہری سانس اور سکون سے
وزن کنٹرول کرنے کا طریقہ؟,صحت مند غذا اور ورزش
زیادہ تر تحقیق کیا ہے؟,نئی معلومات حاصل کرنے کا عمل
عام حالات میں ماحول صاف رکھنا کیوں؟,سب کی ذمہ داری
حقیقت میں ایمانداری کا فائدہ؟,اعتماد اور عزت ملتی ہے
جوتوں کی ریک کیوں؟,ترتیب اور جگہ کی بچت
عام طور پر سولر پینل کیا کرتا ہے؟,سورج کی روشنی سے بجلی بناتا ہے
عام حالات میں گھر کے کام میں مدد کیوں؟,ذمہ داری اور تعاون بڑھتا ہے
یادداشت کیسے بہتر کریں؟,دہرائی اور اچھی نیند سے
زیادہ تر سمندر کی حفاظت کیوں؟,ماحولیاتی توازن کے لیے
عام طور پر گھر میں پودے کیوں لگائیں؟,ماحول صاف اور خوبصورت ہوتا ہے
انٹرنیٹ کسے کہتے ہیں؟,دنیا بھر کے کمپیوٹرز کا نیٹ ورک
عام حالات میں وقت کی پابندی کیوں اہم؟,کام بروقت ہوتا ہے
عمومی طور پر گھر کی صفائی کیوں؟,صحت اور خوشگوار ماحول
عمومی طور پر چارجنگ کیا ہے؟,بیٹری میں بجلی بھرنا
زیادہ تر مقناطیس کیا کرتا ہے؟,لوہے کو کھینچتا ہے
عام حالات میں مثبت کردار کیسے؟,اچھے اخلاق اور ذمہ داری سے
حقیقت میں نظر کی کمزوری کی علامات؟,دھندلا نظر آنا
زیادہ تر خریداری میں کیا خیال؟,معیار اور قیمت کا
حقیقت میں بجلی کیسے بچائیں؟,غیر ضروری آلات بند کر کے
توقع سے زیادہ نمک کھانا کیسا؟,صحت کے لیے نقصان دہ
وقت کا انتظام کیسے؟,ترجیحات اور شیڈول سے
عملاً آئینہ کیسے کام کرتا ہے؟,روشنی کی عکاسی سے تصویر دکھاتا ہے
زیادہ تر آئرن کی کمی سے کیا ہوتا ہے؟,خون کی کمی ہو سکتی ہے
زیادہ تر ذہنی دباؤ کم کرنے کا طریقہ؟,گہری سانس اور سیر
عام حالات میں سائنس پڑھنے کا فائدہ؟,دنیا کو سمجھنے میں مدد ملتی ہے
عمومی طور پر گاڑی کا ہارن زیادہ بجانا کیسا؟,شور کی آلودگی
عملاً چاند زمین کے گرد کتنی دیر میں چکر لگاتا ہے؟,تقریباً 27 دن میں
عمومی طور پر کتاب کیسے سنبھالیں؟,صفحات موڑنے سے گریز
وقت کی قدر کیوں؟,وقت واپس نہیں آتا
زیادہ تر پڑھائی کا بہترین وقت کون سا؟,صبح کا وقت عام طور پر بہتر ہوتا ہے
زخم پر کیا لگانا چاہیے؟,صاف پٹی اور اینٹی سیپٹک
ویب سائٹ کیا ہے؟,انٹرنیٹ پر معلومات کا صفحہ
حقیقت میں وقت کی پابندی کیوں اہم؟,کام بروقت ہوتا ہے
زیادہ تر روبوٹ کیا ہے؟,خودکار مشین جو کام انجام دیتی ہے
عمومی طور پر نوٹس بنانا کیوں مفید؟,یادداشت بہتر ہوتی ہے
عمومی طور پر بارش کا پانی جمع کرنے کا فائدہ؟,پانی کی بچت
عمومی طور پر صبر کیوں ضروری؟,بہتر فیصلے ہوتے ہیں
آنکھوں کی حفاظت کیسے؟,زیادہ سکرین سے پرہیز اور روشنی کا خیال
اکثر سمارٹ فون کیا کرتا ہے؟,بات چیت، انٹرنیٹ اور ایپس چلانے کا آلہ
کپڑوں کی الماری ترتیب کیوں؟,آسانی اور صفائی
حقیقت میں بخار آنے پر کیا کریں؟,آرام اور ڈاکٹر سے مشورہ
اکثر ورزش کے بعد کیا کریں؟,کچھ دیر آرام اور پانی
عام طور پر گھر کا بجٹ کیسے بنائیں؟,آمدن اور اخراجات لکھیے
عملاً سوشل میڈیا کیا ہے؟,آن لائن معلومات شیئر کرنے کے پلیٹ فارم
اکثر پریزنٹیشن کیسے بنائیں؟,نقاط مرتب کر کے اور مشق کر کے
سمندر میں کچرا پھینکنے کا نقصان؟,سمندری حیات متاثر ہوتی ہے
عام حالات میں احترام کیوں ضروری؟,رشتے بہتر بنتے ہیں
عام طور پر آن لائن تعلیم کا فائدہ؟,گھر بیٹھے سیکھنے کی سہولت
زیادہ تر دن رات کیسے بنتے ہیں؟,زمین کے گھومنے سے
بزرگوں کا احترام کیوں؟,تجربے کی قدر
نقشہ خوانی کیوں سیکھیں؟,سمت اور مقام معلوم کرنے کے لیے
عام حالات میں موبائل کا زیادہ استعمال کیسا؟,حد میں رکھنا بہتر ہے
