text,label
Yaar transitions natural lag rahe hain ok,O
Dekho real life examples se connect ho gaya yaar lol,O
Haye block karne layak insan hai tu lol,H
Bro potential dikh raha hai isme,O
Bhai consistency dikh rahi hai teri yaar,O
Sahi banter achha chal raha hai haha,O
Acha community bhi is content se khush nahi :),H
recommend nahi karunga kisi ko bhai,H
Bhai positive baat bhi negative bana deta hai lol,H
follow up video bhi bana dena yaar,O
Bro feed mein ye dikhna band ho jaye :),H
Bhai positive energy transfer hoti hai lol,O
Oye angle naya tha is baar bhai haha,O
Aray positive energy transfer hoti hai bhai haha,O
Aray transitions natural lag rahe hain bhai haha,O
Aray pagalpan faila raha hai comments mein bro,H
Bro step by step guide really helpful yaar lol,O
Sahi friends ko recommend karunga yaar,O
Oye ye level toh average creators se bhi kam hai ok,H
Dekho mute kar diya maine isko lol,H
Sahi criticism sehn nahi hota isko yaar,H
Dekho ye video dekh ke time waste ho gaya yaar,H
Acha background noise se dimagh kharab ho gaya yaar lol,H
Bro bookmark kar liya important points !,O
Bhai diagrams se concept clear ho gaya bro,O
Acha baat baat pe personal attack karta hai bhai haha,H
Haye memes se mood ban gaya yaar lol,O
Dekho examples se samajhna asaan ho gaya,O
Dekho subscribers isliye nahi badh rahe yaar lol,H
Acha sarcasm achhe se handle kiya bhai,O
Bro content mein koi baat hi nahi hai bhai,H
Yaar beginners ke liye perfect video yaar lol,O
Bro script hi nahi likhi tune lagta hai bhai haha,H
Haye pacing of video bilkul theek hai bhai,O
Acha background music balanced hai yaar,O
Bro bookmark kar liya important points lol,O
Dekho mehnat rang la rahi hai,O
Haye expertise dikhane ki koshish fail ho gai bhai,H
Haye lighting setup professional lag raha bhai haha,O
Oye validation ke liye kuch bhi kar lega bhai,H
Acha reply dekh ke gussa aa gaya !,H
Bhai body language se confidence nahi dikhta yaar lol,H
Yaar pacing of video bilkul theek hai,O
Dekho hate comments isliye aa rahe hain ok,H
Acha comments section active ho gaya haha,O
Haye bookmark kar liya important points bro,O
Yaar bookmark kar liya important points :),O
Bro competition mein toot jaega ye content :),H
Acha practical tips diye hain tune bhai,O
Sahi next video ka wait rahega,O
Bhai follow up video bhi bana dena haha,O
Aray script hi nahi likhi tune lagta hai ok,H
Oye positive baat bhi negative bana deta hai bro,H
Sahi inspiration milta hai tere se ok,O
Aray content mein koi baat hi nahi hai haha,H
Acha banter achha chal raha hai,O
Oye script hi nahi likhi tune lagta hai bro,H
Dekho practical tips diye hain tune,O
Yaar friends ko recommend karunga,O
Oye dosre creators se seekh le pehle :),H
Haye follow up video bhi bana dena,O
Aray reply dekh ke gussa aa gaya bhai haha,H
Yaar relatable bohot tha ye wala bro,O
Acha speed itni tez hai ke kuch samajh nahi aa raha,H
Aray wikipedia se copy paste lag raha hai :),H
Aray report karne ka mann kar raha hai,H
Oye expertise dikhane ki koshish fail ho gai yaar,H
Bhai transitions natural lag rahe hain yaar lol,O
angle naya tha is baar bro,O
reply dekh ke gussa aa gaya,H
Acha validation ke liye kuch bhi kar lega yaar,H
Dekho mute kar diya maine isko yaar lol,H
Aray positive baat bhi negative bana deta hai yaar lol,H
Aray body language se confidence nahi dikhta lol,H
Dekho step by step guide really helpful,O
Haye algorithm bhi isko support nahi karega bro,H
Bro tumhe topic ki basic knowledge bhi nahi bhai haha,H
Sahi block karne layak insan hai tu !,H
Oye voice modulation achhi thi bhai,O
Yaar beginners ke liye perfect video :),O
real life examples se connect ho gaya lol,O
Bhai summary end mein bohot useful thi bro,O
real life examples se connect ho gaya bhai haha,O
Oye mute kar diya maine isko bhai haha,H
Bro beginners ke liye perfect video,O
Bro comments mein bhi drama karta hai lol,H
Sahi positive energy transfer hoti hai bro,O
Oye feed mein ye dikhna band ho jaye bhai,H
Haye khud kuch nahi jaanta bas suni sunai baatein bhai,H
Dekho reply dekh ke gussa aa gaya bhai,H
Bro friends ko recommend karunga yaar,O
Dekho thumbnail se video bilkul match nahi karti bhai haha,H
Yaar camera quality itni kharab kyun hai,H
Sahi share karne layak content hai ok,O
Acha examples se samajhna asaan ho gaya bro,O
Yaar growth mindset clear dikhta hai yaar,O
Yaar khud kuch nahi jaanta bas suni sunai baatein lol,H
Bhai beginners ke liye perfect video :),O
Sahi acha try hai overall lol,O
Sahi acha try hai overall,O
Oye validation ke liye kuch bhi kar lega lol,H
inspiration milta hai tere se bhai haha,O
Sahi positive baat bhi negative bana deta hai bhai haha,H
Aray discussion start kar di isne bro,O
Bhai share karne layak content hai haha,O
Dekho validation ke liye kuch bhi kar lega bro,H
Bro face expressions overacting lag rahe hain lol,H
Oye ye tutorial bilkul confuse kar deta hai bro,H
Aray acha try hai overall yaar,O
Dekho pagalpan faila raha hai comments mein haha,H
Aray follow up video bhi bana dena bhai haha,O
Oye attention seeking behaviour hai ye,H
Aray mute kar diya maine isko,H
memes se mood ban gaya bhai,O
Yaar views kam hain toh soch samajh le :),H
Yaar itna simple cheez bhi nahi samajh paya !,H
Haye voice modulation achhi thi,O
Yaar energy fake lag rahi hai poori bhai,H
Sahi voice modulation achhi thi ok,O
