text,label
Haye mazza aa gaya dekh kar :),O
Yaar positive vibes only bro,O
Haye simple aur samajhne layak video,O
Haye positive vibes only bro,O
Aray badtameez aadmi lagta hai lol,H
Bhai tumhara style alag hai :),O
Mashallah keep it up bhai yaar,O
Haye appreciate your effort :),O
Bhai tu kitna pagal insan hai yaar bhai,H
Aray very helpful video yaar ok,O
Mashallah ye sab badtameez content hai yaar haha,H
Haye respect for your hard work ok,O
Yaar tu pagal hai kya bhai lol,H
Aray very helpful video yaar nice,O
Mashallah nice message diya tune yaar,O
Aray tu toh pure time waste hai bro ok,H
Yaar tum samajhta kya hai apne aap ko bro,H
Aray koi sense nahi hai is video mein yaar,H
itna faltu content kyun upload karta hai ok,H
Mashallah tu kitna bakwas insan hai yaar,H
Mashallah tera content bilkul ghatiya hai bhai bro,H
Haye tu kitna ghatiya insan hai yaar ok,H
Bhai itna overacting content kyun upload karta hai lol,H
Mashallah nice tutorial hai :),O
Aray aray faltu baatein mat kar lol haha,H
Mashallah itna faltu content kyun upload karta hai bro,H
samajh nahi aata kya kar raha hai bro,H
ye sab nalayak content hai yaar lol,H
Haye aray overacting baatein mat kar lol ok,H
Aray aray pagal baatein mat kar lol bro,H
badtameez aadmi lagta hai bhai,H
Aray informative content hai nice,O
Mashallah zabardast editing hai yaar,O
Yaar aise kaam se kuch nahi hota haha,H
Aray nice tutorial hai :),O
tere jaise log sab bigad dete hain bhai,H
Yaar mazza aa gaya dekh kar ok,O
Mashallah good luck for next project ok,O
Yaar ye sab irritating content hai yaar yaar,H
Aray entertaining video hai ok,O
Haye aray irritating baatein mat kar lol ok,H
Yaar positive vibes only,O
Haye zyada smart mat ban yaar bro,H
Yaar nice explanation di hai tune bhai,O
Mashallah positive vibes only bhai,O
Haye shukriya share karne ke liye yaar,O
Yaar itna nalayak content kyun upload karta hai yaar,H
Bhai mashallah nice work bro,O
Aray great job bhai nice,O
Aray wow kya baat hai ok,O
Aray tu kuch nahi jaanta bhai,H
Mashallah tu kitna pagal insan hai yaar lol,H
Mashallah itna bekaar content kyun upload karta hai,H
entertaining video hai yaar,O
Aray perfect explanation hai bro,O
aray bakwas baatein mat kar lol ok,H
Mashallah ye sab ajeeb content hai yaar,H
Bhai tera content bilkul nalayak hai bhai bhai,H
Yaar tu drama queen nikla yaar haha,H
Haye itna bekaar content kyun upload karta hai yaar,H
Mashallah tumhara style alag hai nice,O
Bhai awesome creativity hai teri nice,O
Bhai tu kitna pagal insan hai yaar,H
Yaar aray useless baatein mat kar lol ok,H
badtameez aadmi lagta hai yaar,H
dil khush kar diya isne :),O
Aray tum talented ho yaar :),O
Haye bohot mehnat ki hai tune,O
Mashallah ye sab badtameez content hai yaar ok,H
Haye itna overacting content kyun upload karta hai ok,H
Haye nice explanation di hai tune nice,O
Bhai tera accent bilkul ajeeb hai lol,H
Aray appreciate your effort ok,O
Mashallah tu pagal hai kya bhai bhai,H
Bhai aray bekaar baatein mat kar lol yaar,H
Haye tu kitna pagal insan hai yaar bhai,H
Bhai good luck for next project nice,O
Haye keep it up bhai ok,O
Bhai respect for your hard work ok,O
Haye tera content bilkul badtameez hai bhai haha,H
Mashallah clear aur easy steps hain,O
Yaar helpful for beginners bhai,O
Mashallah tumhara style alag hai,O
Haye good luck for next project :),O
Aray superb yaar :),O
Bhai aise kaam se kuch nahi hota bro,H
Haye perfect explanation hai ok,O
Haye tu kitna useless insan hai yaar haha,H
lajawab explanation,O
Bhai great energy bro ok,O
tera content bilkul badtameez hai bhai yaar,H
Haye ye sab ajeeb content hai yaar,H
Haye wow kya baat hai :),O
