text,label
karobari admi karobar na kara bus berucracy ki jaib bharta raha every business face every day this kinda cheap tactics to malighn by berucracy sab ko paisa khilao tab ja ka kam hota hai or berucracy jan bujh ka bussiness waloon ko phasati hai paisa bana ka liya,Negative
"man mayal se zyada bakwas drama mai ne aj tak apni poori life mai nai dheka .  i a m huge fan of pakistani drama . but itni fazool direction , pathetic music , maya ali the manhoos aaala of the world .... kis angle se heroin lagti hai . app ne ye drama kar k apna career flop krdia hai hamza ali abbasi , hum tv aj k baad kabhi nai dekunga meri toba",Negative
wowwwwwwwwwww very nice allah ap ko jaza dain ilam philany ki thankssssssssssssss very much app nay jasy apna name likha hai wasa bana b sikain na,Positive
nice movie pehli dafa ma ny isy cinema ma dekha aur ab phr really good work good movie﻿,Positive
dramain dekh dekh k aap bhi writer ban gai ho ..,Positive
follow kro warna vote ni dayna ma ny,Negative
aho isa hi hua,Neutral
kunee larkiee battaassa ha ka naii,Neutral
walaikum assalam buhat acha raha ad pe oper ye ffa ka safar kafi kuch new karney ko mila sab se barh kar dosti ke rishtey mazboot huwe,Positive
jab neelam ne koi lift nahin karayee to ab bechara fawad budhi biwi per hi ishq bhari nigahon kay teer barsa raha hai . :) wesay hasb - e - mamool bohot slow aur boring episode tha . lambay lambay bekaar scenes ko forwad ker kay 8 minutes main dekh liya poora episode !!!!!,Negative
mohmand egency bannu takht bhai k haji shamil,Neutral
"tallaqi khan ko koi sharm nhe aate , beghirat hi jhoota hi . hr waqat cocaine main rehta hi .",Negative
kyun aap ko koi lift nai kra ra originally posted by cefspan please post comments,Negative
yeh sat use kr rha hn zbrdst h cmra ram frnt cmra zbrdst hn is qeemt m is se acha mble ni mile ga,Positive
hazrat adam a s ki wafat k wqat unki olaad ki tedaad thi,Neutral
mein oriental college lahore se ma urdu kiya,Neutral
akhar meri madad media bhi nahi karaha,Negative
april ko qaumi assembly ke ikhtetami ijlas ki sadarat ki,Neutral
waqaii mera yahi dil kerta,Neutral
lala kbi apne fans ko b invite kryn na .... lolzzz . apny to youngsters or elders sb ko peechy chordiya u looking aalww in dis pic < 3,Positive
hamara favorite kam,Neutral
hamle ke waqat a company bharat ki position se sirf gaz dor thi,Neutral
hahhahahaha waqii ma asa hi hai,Neutral
raqam barrao ganj sharif bikao journalist tumare saath hai,Negative
8 - 10 pakistani movies dekh chuki hn aik k bad aik .. r aik b esi movie nhi thi k jis ny ye kehnay py majboor na kia ho that pakistan film industry u rocked literally !! amazing movie it is .,Positive
chulbuli jawab anhe deti batameezoyee mujhe tagg naii milaaa tha .....: eek :,Negative
haha actor in law,Neutral
koi bgairti nai howi,Neutral
waye waye kas anchi jung naba aba,Neutral
"bohot interesting episode tha . faisal rehman ( kamal hasan ) aur samia mumtaz ( yumna ) ki acting bhi bohot achi thi . agar yumna ki taraf se dekhen to wo bilkul theek ker rahi hai , doosri shaadi kerna uss ka haq hai ... aur agar kamal hasan ki taraf say dekhen to pehli biwi ki mojoodgi main doosri shaadi kerna kuch ajeeb saa hai .. lekin dekhtay hain kay aglay episodes main in dono ki shaadi hoti hai yaa nahin ..... suspense jaari hai . :)",Positive
wowwwwwwwwww sis bohat payara tutorial banaya hai bohat asan tareeqe se samjh diya hai bohat sukriya pyari sis allah appko hemesha kush rekhe ameen,Positive
pakistani selectors ne aik teen ager shahid afridi ko jin ki masey bhi abhi nahi bheegi thin un ko bhej diya,Neutral
mata ma waya,Neutral
guzishta saal baluchistan ke zilaa awaran mein aane wale shaded zalzale mein shadid zakhmiyon aur edhi ambulances ke zariye civil jinnah aur liyari general hospitals laya gaya,Neutral
asad amanat ali khan se “ mora jiya na lage ” mehdi hassan se gana “ ranjish hi sahi dil hi dukhane ke leye aa ” aur “ ye watan tumhara hai tum ho pasban is ke ” mehnaz se “ mera piyar tere jewan ke sang rahe ga ” aur naheed akhtar se “ allah hi allah kiya karo ” gawa gaye,Neutral
mere pass lafz nh hai main kia bayan karon ... love from denmark .. ✌﻿,Positive
bohat achay tareekay s samjhaya hai aap n ... mazeed sharing ka intizaar rhay ga,Positive
gee wafaq aur sindh mai mahaz arai khatam honi chiye ...!,Positive
"haar rupees ke charity ,,,, croron rupee ka ghuplaaa",Negative
jnb ab ap ko lifafa maani mental se time pe mil rha hai shayd,Negative
you should provide evidence and basis before blaming someone apca pakistan is awake struggling for each and every demand of the government employees and protesting on the roads even in harsh weather conditions while people like you are sleeping in your homes and just confusing others with your baseless statementsopen your eyes and embrace the reality please,Neutral
"in the end , i can say that hats off everyone ... bohat hi khoobsoorti se act kiya gya . very very very well done﻿",Positive
aisa such jo kisi ka dil toor day us se behtar aisa jhoot hai jo kisi ka dil rakh lay .,Positive
yun south indian cinema mein dhoom machane ke bad jaya film sargam se bollywood mein mutarrif hui,Neutral
bahut he acha set hy sirf problem yi hy k iska cover ni milk rah,Positive
zabardast software hai mane use keya hai,Positive
prime minister yousuf raza gilani bhi in ke qareebi rishtedar hain,Neutral
kia kal lkhna zarori tha ya kbhi bhi lkh skty,Neutral
muhammad baradaran se intikhab alam ke taluqat mein utar charho aata raha,Neutral
cheeeta wasim bhai,Positive
sir owais k paper me yahii situation tha,Neutral
test matches mein in ki behtareen performance mein willington mein new zealand ke khilaaf thi jab inho ne aik innings mein runs ke badle mein wickets hasil ki thin,Neutral
ap shuruwat kijye p,Neutral
meri aik koshish thanx janab aap ne boht bari problem hal kar di thanx alot,Positive
congrats miss a ! ap dono support kar rahy thy to jitna to banta tha na,Positive
adobe fotoshop 7 hay es meen kis trh urdu install hoge .. edit meen pref to a rhe hay lekn type ka option nhe hay . Frustrate ho raha hon .,Negative
yeh tarika tab kam karta hai jab ap k mobile maih net chal raha ho . and i think its usless .,Negative
