text,label
مولی علی صحابہ کا احترام کرتے حتی کہ جانی دشمنوں کو بھی گالی تک نہ دی۔ آج کے روافض بنی امیہ کے سنت پر عمل کر رہے ہیں جو مولی علی کو گالی دیتے تھے منبروں پر ِ_معاویہؓ_کوگرفتارکرو,1
مفتی صاحب کا نام ٹرینڈنگ دیکھ کر ڈبو کا ہنگامی بنیادوں پر تجربہ,0
براۓ مہربانی احتیاطی تدابیر کر کے لاک ڈاون مکمل ختم کیا جاۓ ورنہ شاید کرونا سےتو چند اموات ھوں لیکن غربت سے بھوک سے دوا نہ ملنے کی وجہ سے بہت نقصان ھو گا وجہ وطن عزیز میں بلڈ پریشر شوگر ھیپاٹاٸٹس اور اس طرح کی کٸ بیماریاں ھیں جب غریب,0
متعہ کی نسل گندی پیدائش پہ تھو ؓ_آزادکیوں,1
"بھرے بازار سے اکثر خالی لوٹ آتا ہوں کبھی خواہش نہیں ہوتی, کبھی پیسے نہیں ہوتے.. 1 مئی یومِ مزدور ڈے",0
قادیانیوں کا کون سا خدا ہے یالاش کالا کالو اس کا نام کیوں نہیں لیتے تم لوگ اور بتاو کیسے مرا مرزا غلام قادیانی مرتد اپنی ہی غلاظت کے ڈھیر میں اور بتاو وہ کھسرے تھا اولاد مرزا کی ساری مولوی حکیم الدین کی ہے پہلے خلیفہ مرزا محمود نے اپنی بیٹی سے زینا کیا …,1
ہماری قوم کے بچوں کو مرنے کے لیے چھوڑ کرسندھ کے حکمران کس ترقی کے دعوے کر رہے ہیں,0
علماء پر بونکنے والے یہ سب اپ شراب خورو کی وجا سے جو عذاب نازل ہوا ہے یہ سب اپ لوگوں کی کرتوت ہے کیا کیا نہیں کرتے آپ لوگ زنا؟ سود؟ شراب؟ چوری؟ یہ سب آپ لوگوں کا کام ہیں اور الزام علماء پر؟ کوچ تو شرم کرو,1
"حکومت پاکستان سےگزارش ہے کہ ایسا کوئی قانون بنائیں جس میں کسی بھی صحابی کے شان میں گستاخی کرنے والے کو نا صرف جیل بلکہ پھانسی کی سزا ہو۔ سندھ حکومت سے گزارش ہے اس وقت گستاخ معاویہ""سندھی فنکار ضامن علی""کو گرفتار کرو ِ_معاویہؓ_کوگرفتارکرو",1
جنہوں نے اب تک قادیانی خنزیروں کو favour دے کر اس نہج تک پہنچایا ہے ۔ کہ اب وہ منہ پھاڑ کر گند بک رہیں ہیں۔ ان کا عبرتناک انجام ہمیں جلد دکھا میرے مولا۔,1
بھٹو کے نام پر سیاست کرنے والے آج روٹی کپڑا اور مکان کے نام پر ٹیکس پیئر کے پیسوں پر بیرون ملک جائیداد بنا رہے ہیں,0
ناموس رسالت کے پہرے دار رہیں گے,0
مجس صوبے کی آدھی عوام کتے کے کاٹنے سے مرجاٸے اور ویکسین نا ملے اس صوبے کا حکمران کہتا وزیر اعظم استعفی دیں۔ شیم بلاول,1
قادیانی اسلام اور پاکستان کے دشمن ہیں,0
ﺟﺐ ﻇُﻠﻢ ﮐﮯ ﭘﮭﻨﺪﮮ ﺭﻗﺺ ﮐﺮﯾﮟ ﺷﯿﻄﺎﻥ ﮐﮯ ﺑﻨﺪﮮ ﺭﻗﺺ ﮐﺮﯾﮟ ﺗﺐ ﺗﺮﮎ ﺍﻃﺎﻋﺖ ﮐﺮ ﺩﯾﻨﺎ ﺍﻋﻼﻥِ ﺑﻐﺎﻭﺕ ﮐﺮ ﺩﯾﻨﺎ ﮨﺮ ﺳﻤﺖ ﺟﻨﻮﮞ ﮐﮯ ﻧﻐﻤﮯ ﮨﻮﮞ ﭨﮭﻮﮐﺮ ﭘﮧ ﺟﮭﻮﭨﮯ ﺗﻤﻐﮯ ﮨﻮﮞ,1
معذرت کے ساتھ آج کہنے پر مجبور ہوں,0
