text,label
ky huwa chillao chillaoge game chenjar name sapne dekho,0
punjab di sheerni,1
yo te maare haryane nikla jai,0
fabulous coke,1
sahi kaha baap baap hota bete kaisi lagi,0
hamane jeet sabut dediya tumhari jeet kaha paki army social media pe jit sakati,0
hua tumhare bhookhe log tera charger churakar le gaya baithkar ro apne baap,0
bhai gaan hain yaar....gazaab,1
ali noor part was mind blowing,1
jeet gaya tum logo bettry hamesha low rehti,0
teach: umair jaswal fabulous,1
baap baaap hota aaj jinnaa kos hoga apne aap tum behen laoudo alag kiye hote khush hote,0
super yummy vlogging,1
its its mr bombastic,1
atanki kitab kuran den,0
bhaiya dusra tshirt pehen liya,1
beautiful rendition,1
wow awesome,1
hua abhito manlo sub sub abbu hein,0
new abbu gaya,0
nooriii love bro,1
always inspiration great decision thanks du,1
rao came here,1
shradha di always inspire daily hardwork acheive goal shradha di best,1
tumhare abu,0
kachiyaan da honda kacha anjam ni nahi gall aam ni,1
music amazing,1
anurag biswanath finally found someone,1
sacha pyar jo apne rab jaye kiyonkay dhone khuda mil jata,1
fall love ali hamzas painful mature voice,1
bhikhariyo desh reason,0
hhaahahaha chagaya sher,1
time favourite song,1
soehni maihewal,1
its beautiful day,1
long drive song,1
chup salo vekharistan,0
bhai apne love story baare btao,1
noori love,1
change want see world nhats off nwishing lots good luck,1
aap actual pari,1
thodasa wiat kare gandse khun niklega,0
sep barish,1
qaisar gulzar,1
our coke,1
nhutiye log sirf sapne dekhte rehte aaj tak haraane,0
great,1
kamalshukla english likho tab inko samjh atega,0
im here now after years song,1
baap baap hota mere bhai sapne mat sochana harane liye,0
abbu sankhya kuch badthi nahi ja rahi nwc kohli nwcl final abd nasia cup abhishek nfinal verma ncontrol mere naamurad padosiyon,0
pulkit saxena,1
dii insallah app bahut jyda achieve krogi apka dream jarur pura hoga insallah love dii,1
love way sang,1
baap baap hota ok pakistani,0
majee lo niklo walon subscribe koi b karna chahiye kisi kiya hua unsubcrbe mardo jihad wala sab sab,0
l love song,1
guy completing dreams too nthanks giving spark again after year again,1
perfect soundtrack emotions,1
