text,label
charger fast charge support karta hai bhai ok,Positive
Acha color slight variation ho sakti hai screen se lol,Neutral
Actually price drop ek hafta baad ho gaya ab regret ho raha :),Negative
Sahi camera samples dekh ke impress ho gaya yaar lol,Positive
Honestly night mode bohot clear shots de raha hai lol,Positive
Bro filter itne zyada hain ke original photo hi nahi dikhti :),Negative
Bro price drop ek hafta baad ho gaya ab regret ho raha hai na,Negative
Yaar charger basic hai fast charge alag se lena padta bhai ok,Neutral
Bro genuine reviews se help mili sahi decision liya yaar,Positive
Actually size perfect fit aaya chart reliable hai !,Positive
Yaar warranty terms carefully padh lene chahiye ok,Neutral
Bro reviews padh ke decision lena better rehta !,Neutral
support response time 24 hours ka hai !,Neutral
Yaar delivery window wide tha usi range mein aaya yaar,Neutral
Matlab battery drain fast ho raha hai naya phone hone ke bawajood :),Negative
Honestly headphones ek taraf se awaz nahi aa rahi hai na,Negative
Actually storage management tools useful hain yaar lol,Positive
Actually camera daylight mein theek low light mein average bhai ok,Neutral
Sahi headphones comfort theek hai long use pe pressure :),Neutral
Dekho price drop ek hafta baad ho gaya ab regret ho raha,Negative
Bhai charger basic hai fast charge alag se lena padta yaar lol,Neutral
Acha size perfect fit aaya chart reliable hai bhai,Positive
Suna battery drain fast ho raha hai naya phone hone ke bawajood bhai ok,Negative
Aray delivery tracking accurate tha har step pe update !,Positive
Actually warranty terms carefully padh lene chahiye yaar,Neutral
Yaar warranty claim easily process ho gaya without hassle yaar,Positive
color slight variation ho sakti hai screen se bhai,Neutral
Matlab battery normal use pe theek heavy use pe kam ok,Neutral
Matlab app mein kuch bugs hain lekin usable hai lol,Neutral
warranty claim easily process ho gaya without hassle !,Positive
Actually genuine reviews se help mili sahi decision liya bhai ok,Positive
Bro live agent ne turant issue resolve kar diya lol,Positive
Dekho return process simple tha refund jaldi mil gaya,Positive
delivery boy ne call nahi uthaya location galat thi !,Negative
Bhai headphones comfort theek hai long use pe pressure :),Neutral
warranty claim process itna complicated hai ke time waste yaar,Negative
Sahi size chart follow kiya to fit chance barh jata yaar,Neutral
Bro size perfect fit aaya chart reliable hai lol,Positive
Sahi warranty claim process itna complicated hai ke time waste !,Negative
Dekho sound quality balanced hai bass bhi theek :),Positive
Matlab subscription auto renew ho gaya bina notice ke bro,Negative
Acha app mein kuch bugs hain lekin usable hai bhai ok,Neutral
game lag karta hai medium settings pe bhi hai na,Negative
Suna filter itne zyada hain ke original photo hi nahi dikhti bro,Negative
Suna color bilkul waisa hi hai jaisa website pe dikhaya :),Positive
camera low light mein bilkul bekar result de raha bro,Negative
product packaging kharab thi item scratch ho gaya :),Negative
Bro storage expandable hai lekin pehle se plan karo yaar,Neutral
Honestly packaging standard thi koi special nahi lol,Neutral
camera low light mein bilkul bekar result de raha :),Negative
Dekho color slight variation ho sakti hai screen se lol,Neutral
Aray headphones comfort theek hai long use pe pressure lol,Neutral
Yaar delivery tracking accurate tha har step pe update bhai,Positive
Acha size chart se bilkul match nahi kiya jo size aaya hai na,Negative
Suna support chat bot sirf copy paste jawab de raha hai bhai,Negative
Acha update ke baad performance improve hui hai hai na,Positive
Actually battery normal use pe theek heavy use pe kam :),Neutral
