text,label
Amazing dinner delicious taste n very good n quick service n peaceful environment,Positive
Taste was good but not extreamely good...service was quick and nice...ambiance is good with warm lights...but one thing i didnt like is that after paying the bill the waiter did'nt returned the rest of the amount which was Rs 60/=...he kept …,Neutral
Good,Positive
"Great experience birthday party , very friendly staff",Positive
"Today, ordered 1 Malai chicken chatni roll and deal 7 which had Alfredo pasta and 2 reshmi chicken rolls. I really like kababjees Alfredo pasta but it wasn't good today, not saucy enough and the pasta was stuck up all together! The rolls were okay too. Not satisfied enough",Neutral
Excellent food with poor and slow service,Positive
Food was good. Service was fine. Overall a satisfactory statement,Positive
"Food , environment,  staff & location every thing is awesome....
But they charge extra for these facilities...
I recommend every one has to visit at least once.",Positive
Customer service is excellent taste is very good that's why I rate 4 star yet value money,Positive
Good Desi Food. Specially recommend for group and family dinners. Desert options are also good. Ample parking facility. At dinner time waiting is normally very high. Seating arrangement is bit congested. Credit card is excepted.,Positive
"Nice, cozy environment, good tasty food, specially cheese naan and peshawari mutton karhai, have to be in waiting for a while as usuàlly its crowded.",Positive
"i visited kababjees superhighway first time today,though i stay in dubai but comparatively there pakistani resturants ,this is one of expensive resturant in the karachi city. they should inform the tax rates ideally as for any person paying …",Neutral
"It's the one place to have all the kababjees food chain variety. Their burgers are so mouth watering, the best pakistani restaurant for all you want to eat and a perfect replacement for the boycotted restaurants.",Positive
All ok saticfied,Positive
"This place is really nice, its got an awesome environment and food quality is marvelous. Everyone should try it at least once",Positive
The cashiers are a bit rude.,Neutral
"The food was fine,the quality of meat karahi was well done,roghni naan was perfect but the aroma inside needs some refreshness",Positive
Food was great but the service was extremely slow and poor in general too. It was empty when we reached so crowd was not an issue too. We were made to wait 10 minutes for the menu that too upon asking for it thrice.,Neutral
Chicken not cook properly,Neutral
Loved their cakes n brownies.. mouth watering...,Positive
"Wonderful ambiance, interior, excellent menu, tasteful food & dessert, courteous staff and clean wash rooms; what else you want in a restaurant in Karachi",Positive
"Awesome food with range of varieties. Interior is elegant, with dim lights.
Waiting is always there, unless have done a reservations. …",Positive
Food is good but expensive and because of security issues no mobile networks make ur life difficult unable to call to home or friends this was very irritating.,Neutral
Taste was good also environment and their staff including service excellent,Positive
The service was good. There were still a few foods that didn't quite meet the expectation. Chicken Alfredo missed just a bit of salt. Chicken Shashlik was amazing though. Also the Chullu Kabab is highly recommended.,Positive
"Wraps take too long, but overall good experience.",Positive
Excellent quality of food and service..everything was perfect..definately will go again.,Positive
"Good food , great service
Ambience can be worked upon & servings need to be enlarged.
Good place to hang out with large groups.",Positive
"Good taste.
Great ambiance.
value for money. …",Positive
"food was great, i love the fried chicken here",Positive
Ali meneger nice service,Positive
"Good food
Quantity and quality both are good
Prices are reasonable …",Positive
All best,Positive
Food was very tasty excellent service good ambiance,Positive
"Excellent service with good ambiance. Food is unique, delicious and high quality",Positive
"great experience, everything was great food ambiance, just a little low on ac as it was last table,  however overall enjoyed night with family... 👍 …",Positive
"Nice environment, cool place, delicious food, sensible staff well trained.",Positive
Zabardast menu with friendly service and environment,Positive
"Kababjees Pizza bahdrabad,super yumi in taste 💯❤️🍕🍕 …",Positive
Service was good. Everything was great!,Positive
"Location isn't much safer, Cellular phone signals very weak just because of powerful jammers of central jail Karachi, and central jail is near to Location",Neutral
"Kababjees is becoming everyone's fav day by day,as they are having the best taste than KFC,their burgers, Alfredo pasta,beverages, fried chicken and wraps have the authentic,juicy and tender taste. it's really worth it for a get together and for satisfying your cravings. I am totally their fan",Positive
"Ambience 💯
Food 90/100
Service 💯 …",Positive
"They never disappoint you. No matter how many times you go, they have for sure maintained the taste, service and food quality.",Positive
Excellent food and service. A little bit noisy atmosphere.,Positive
"Excellent Taste, Nice Place To have Food",Positive
I was arranged and booked 1st birthday party of my son.  But when we reached there the overall cooling system is not working properly in any floor. It seems very much disappointing specially in front of our guests. I am not satisfied for its cooling and lightning.,Neutral
Great for families. Delicious food! Paneer Reshmi Handi is a must try if you're a cheese lover! And their Malai boti! Steaks are also yum!!! Fabulous overall experience. One of the favourites,Positive
Expensive but not bad,Positive
Prices are way too high compared to any similar restaurant. I dont belive it rice was served in a plastic wrap instead of foil. They have average food quality in bbq only. And i dont know why they set a high prices on everything. As qe …,Negative
"I visited the highway branch in the past and quite happy. However when I visited this branch, the quality of food is below average. We ordered 2x platters BBQs as this is their speciality but highly disappointed with taste. Peshawari karahi …",Negative
Good quality and the same for you and I will be there at the same time I will be there at the same time I will be able to make it to the meeting tonight 👍😊😊😊😀😊😊 it up 😊😀😁😊😊😀👍😁😁😁😁😊😊 it was 👌😊 it up 😊 it to the meeting tonight but I will be …,Positive
"As always and as in every branch of kababjees they have just excellent authentic Pakistani food. They don't shy away from using necessary spices in the name of so called ""catering for the masses"". They purely believe in real taste and their …",Positive
"Excellent price, excellent taste, abundant quantity. NOT ideal for family or old people. Only home delivery and takeaway.",Positive
All nice  Meneger Ali and Sufyan service wwas nice,Positive
It is very good. Best service great taste in foods. All variety of foods are available. Every thing is perfect. Yes it's expensive,Positive
"Excellent environment good food.

PS: i have been to this branch of kababjees several times the food and …",Positive
Food was delicious specially chicken and mutton karahi. Malai boti was also amazing. Staff where very friendly and our food was served within 20 mins. We only ordered tandoor and garlic naan. Chullu kebab and muttton madbee were ok. Atmosphere was relaxed and family friendly.,Positive
Am eating fried chicken..zingu Chipotle burger was owsem test and we are regular customer and always satisfied..gro suman rizvi ...,Positive
"Visited Kababjees North Nazimabad branch in Ramadhan for official iftaar and dinner.
Good Ambience. …",Positive
"Nice food , but waiters were slow and worst atmosphere cooling wise air conditioners were not working",Positive
This is called all in one,Positive
Good app,Positive
It was my first experience with Kababjee although I visited kababjee front restaurant sometime back but it was not a good experience and I was surprised to see the mushroom growth of kababjee all around the city but keeping in view my …,Neutral
Muhammad Rameez ...food was delicious service superb we are satisfied...suman rizvi gro...,Positive
Food quality is amazing everything is perfect & service also good,Positive
Very good food. Service was also nice. Worth the price!,Positive
"I would say simply awesome.
Taste of food here is finger licking good :)
I would recommend all the tourists to visit this place and try the food sensation",Positive
"It was nice visit after two years. However, available wheelchair was without footsteps making it difficult to use. I hope they facilitate with  equipments in order.",Neutral
Food was delicious. Staff is also good but its always over crowded and noisy.,Positive
"Mutton Ringo Kabab and Malai boti were excellent.
Chinese is below average.
Makhni Handi was also excellent.",Positive
I tried first time #kababjeesbakers on my daughters birthday i ordered online 2 milky malt cheese cakes and instruct them to write Happy Birthday to haniya on cake we received and than we open it there was not written on cake so on that …,Negative
"I had a good experience here. The Desi food was very good. We also tried some non-Desi items like club sandwich, peri bites, soup, and dynamite chicken, which were decent. The discounts offered on bank cards is a silver lining. Overall, I'd recommend this place.",Positive
a bar b que and chiness restaurant a big name with high rates but low satisfaction dull enviroment average food may be in this cost other restaurant with better ambiance can be visited i am talking about shaheed millat outlet other wise their parent location have much more better experiance.,Neutral
Good 👍 …,Positive
House off kababjees landi kotal visit with my family food was owsem ...suman rizvi,Positive
Expensive,Positive
Delicious food n very nice service and atmosphere. We enjoyed it,Neutral
Best I was ordered a cake last year was so yummy,Positive
One of the finest bakeries in K-town. They bake yummiest of the cakes. Prices are relatively same to the other brands. Room for improvement in how they showcase their products. They do accept credit cards here which is a plus. Service is …,Positive
Taste was not up to expectations very bad experience about the menu but service was good,Negative
"Not enough washroom, people stand in line for it.",Neutral
Good experiens,Positive
"I have been visiting this place but this time it turned very disappointing. We ordered hot n sour soup, supreme nachos, lahori fish, shinwari karahi, paneer reshmi handi, rango kabab, chinese masala fried rice and chicken chowmian. …",Negative
Service is best,Positive
"I used to always go to KFC, especially for their Xtreme Dua box deal, which was perfect for 2 people and a kid for around 1500. But since Kabab Jee opened, I've been going there instead. They have almost everything KFC has, but with one …",Positive
Gro Suma Rizvi,Positive
