text,label
Bro atm se cash nahi nikal raha network down hai na,neg
Acha park renovate ho gaya hai ab family ke liye acha bhai,pos
Actually gas load management schedule announce hota,neu
Aray cnic process online se asaan ho gaya hai yaar,pos
Sahi post tracking se pata chal jata hai status yaar,pos
Suna footpath repair work chal raha hai temporary :),neu
Dekho library books outdated hain new arrivals nahi lol,neg
Bro parking capacity limited hai peak hours mein,neu
Honestly street lights maintenance schedule pe depend bhai,neu
Suna bill payment multiple options available hain bhai ok,neu
Acha cnic renewal process itna lengthy bana diya !,neg
Honestly garbage pick up weather pe asar andaz hota yaar,neu
Bhai internet package fair usage pe slow kar dete yaar,neg
Acha market rates daily change ho sakte hain yaar lol,neu
Yaar park renovate ho gaya hai ab family ke liye acha !,pos
Bro bus stop pe seating nahi hai wait karna mushkil yaar lol,neg
Aray gas pressure theek hai cooking mein masla nahi hai na,pos
Suna gas pressure kam hone se khana nahi pakta !,neg
Bro gas pressure kam hone se khana nahi pakta bhai,neg
Bro library membership rules clear hain hai na,neu
Honestly atm se cash nahi nikal raha network down yaar lol,neg
Acha noise pollution se raat ko neend nahi aati bhai,neg
Honestly naye street lights se area safe feel hota hai !,pos
Suna water supply irregular hai tanki khali padhi rehti lol,neg
Yaar hospital OPD days fixed hain emergency alag bhai ok,neu
Honestly footpath clear kar diya gaya hai walking easy bhai,pos
gas load management schedule announce hota yaar lol,neu
Aray park timing subah sham limited hai dekhna hoga bro,neu
Sahi bank queue mein hours lag jate hain bro,neg
Dekho water supply ab regular aa raha hai schedule pe,pos
Dekho electricity bill ab meter reading pe based bro,pos
Yaar bus stop pe shelter lag gaya hai wait comfortable lol,pos
Suna gas pressure kam hone se khana nahi pakta ok,neg
parking capacity limited hai peak hours mein,neu
Suna noise level area ke hisab se vary karta ok,neu
Matlab footpath repair work chal raha hai temporary yaar lol,neu
Actually park renovate ho gaya hai ab family ke liye acha,pos
Dekho footpath repair work chal raha hai temporary bhai ok,neu
Suna market mein rate list display nahi hoti lol,neg
Honestly community center facilities use nahi ho rahi !,neg
Actually noise pollution se raat ko neend nahi aati :),neg
Matlab park timing subah sham limited hai dekhna hoga bhai ok,neu
Honestly garbage pick up weather pe asar andaz hota bhai ok,neu
Suna park renovate ho gaya hai ab family ke liye acha lol,pos
Bro internet night package alag se activate hota bhai,neu
Acha atm withdrawal limit daily fixed hai yaar lol,neu
Bhai parking double ho jati hai raaste band ho jate bhai ok,neg
Honestly water supply ab regular aa raha hai schedule pe :),pos
Sahi library books outdated hain new arrivals nahi !,neg
school ke bahar traffic chaos ho jata hai yaar lol,neg
Aray footpath pe dhabbe aur construction material pada !,neg
Acha market mein rate list display nahi hoti yaar,neg
Dekho garbage gantry on time aati hai area clean rehta bhai,pos
Yaar garbage gantry on time aati hai area clean rehta yaar,pos
Acha atm se cash nahi nikal raha network down,neg
Dekho garbage pick up weather pe asar andaz hota,neu
Bro bank mein token system se queue manage hoti bro,pos
Honestly community center facilities use nahi ho rahi hai na,neg
Aray community center facilities use nahi ho rahi ok,neg
Matlab bank mein token system se queue manage hoti yaar,pos
Sahi noise control ke notices lagaye gaye hain yaar lol,pos
Matlab park timing subah sham limited hai dekhna hoga,neu
Sahi post tracking se pata chal jata hai status lol,pos
Bhai post office service slow aur unreliable !,neg
Actually garbage collection schedule follow nahi hota yaar lol,neg
Aray electricity bill estimation pe aata hai actual nahi bro,neg
Bhai street lights raat ko band rehti hain unsafe feel yaar,neg
bus frequency rush time pe zyada off peak kam lol,neu
Acha footpath pe dhabbe aur construction material pada hai na,neg
Acha garbage pick up weather pe asar andaz hota bhai,neu
Bro parking double ho jati hai raaste band ho jate bro,neg
Bhai dedicated parking zone se raasta clear rehta bhai ok,pos
Yaar atm network stable hai cash easily mil jata hai na,pos
Dekho cnic appointment slot book karna padta bhai,neu
Bhai noise level area ke hisab se vary karta,neu
Sahi community events se log connect ho rahe hain bro,pos
Bhai electricity bill estimation pe aata hai actual nahi ok,neg
Aray park timing subah sham limited hai dekhna hoga ok,neu
Aray market mein rate list display nahi hoti :),neg
Suna footpath repair work chal raha hai temporary lol,neu
Aray bus frequency rush time pe zyada off peak kam yaar,neu
gas pressure kam hone se khana nahi pakta bhai ok,neg
Acha gas load management schedule announce hota bro,neu
Sahi footpath clear kar diya gaya hai walking easy bhai,pos
Bhai community events se log connect ho rahe hain yaar,pos
Yaar community center facilities use nahi ho rahi ok,neg
Honestly school zone mein speed breakers se safety barhi :),pos
Acha post tracking se pata chal jata hai status :),pos
Actually internet package fair usage pe slow kar dete yaar,neg
Suna cnic renewal process itna lengthy bana diya bhai,neg
dedicated parking zone se raasta clear rehta lol,pos
Suna park renovate ho gaya hai ab family ke liye acha bhai,pos
Bhai garbage pick up weather pe asar andaz hota :),neu
Matlab electricity bill estimation pe aata hai actual nahi yaar,neg
Bro naye street lights se area safe feel hota hai lol,pos
Suna bank mein token system se queue manage hoti bro,pos
Bhai cnic appointment slot book karna padta !,neu
Bhai parking capacity limited hai peak hours mein !,neu
Acha post tracking se pata chal jata hai status yaar lol,pos
Yaar atm withdrawal limit daily fixed hai bro,neu
Bro bus stop pe shelter lag gaya hai wait comfortable hai na,pos
Yaar footpath clear kar diya gaya hai walking easy yaar lol,pos
Suna water supply irregular hai tanki khali padhi rehti yaar,neg
Aray footpath clear kar diya gaya hai walking easy hai na,pos
Actually bank timing weekend pe different hoti bhai,neu
Sahi library mein digital catalog se search easy yaar lol,pos
Acha bus frequency rush time pe zyada off peak kam ok,neu
Dekho footpath pe dhabbe aur construction material pada ok,neg
Bro hospital mein token system se time bachta hai bro,pos
Honestly library mein digital catalog se search easy !,pos
Bro bus stop pe shelter lag gaya hai wait comfortable !,pos
Sahi bus stop pe shelter lag gaya hai wait comfortable yaar,pos
Dekho bill payment multiple options available hain :),neu
Acha footpath clear kar diya gaya hai walking easy bro,pos
Bhai library books outdated hain new arrivals nahi lol,neg
Yaar atm se cash nahi nikal raha network down yaar lol,neg
Dekho post tracking se pata chal jata hai status,pos
Matlab school zone mein speed breakers se safety barhi !,pos
Yaar park renovate ho gaya hai ab family ke liye acha yaar lol,pos
Honestly school ke bahar traffic chaos ho jata hai hai na,neg
Matlab post tracking se pata chal jata hai status :),pos
naye street lights se area safe feel hota hai lol,pos
Yaar electricity bill estimation pe aata hai actual nahi !,neg
Yaar garbage pick up weather pe asar andaz hota yaar lol,neu
Matlab water supply ab regular aa raha hai schedule pe yaar,pos
Actually atm withdrawal limit daily fixed hai,neu
Sahi atm withdrawal limit daily fixed hai :),neu
Sahi internet night package alag se activate hota bhai ok,neu
Suna library membership rules clear hain,neu
Actually footpath repair work chal raha hai temporary yaar lol,neu
Sahi library mein digital catalog se search easy,pos
Bro naye street lights se area safe feel hota hai yaar lol,pos
Actually hospital mein token system se time bachta hai !,pos
Sahi public park mein cleanliness ka koi nizam nahi !,neg
Bro school ke bahar traffic chaos ho jata hai bhai,neg
Matlab market rates daily change ho sakte hain yaar lol,neu
Actually post office service slow aur unreliable bhai,neg
Bhai noise pollution se raat ko neend nahi aati bro,neg
library books outdated hain new arrivals nahi bro,neg
park renovate ho gaya hai ab family ke liye acha bhai,pos
Bro park timing subah sham limited hai dekhna hoga bro,neu
Actually post delivery 3-5 working days ka average ok,neu
Sahi community center facilities use nahi ho rahi bro,neg
Bhai park renovate ho gaya hai ab family ke liye acha bro,pos
Yaar street lights maintenance schedule pe depend !,neu
Bhai cnic renewal process itna lengthy bana diya :),neg
Matlab gas load management schedule announce hota bro,neu
Bro school zone mein speed breakers se safety barhi ok,pos
Suna noise control ke notices lagaye gaye hain yaar,pos
Yaar cnic process online se asaan ho gaya hai :),pos
Honestly electricity bill estimation pe aata hai actual nahi yaar,neg
Sahi school traffic peher ke according change hai na,neu
Bhai library mein digital catalog se search easy :),pos
Dekho electricity bill estimation pe aata hai actual nahi,neg
Matlab library mein digital catalog se search easy yaar lol,pos
Actually dedicated parking zone se raasta clear rehta !,pos
Suna footpath clear kar diya gaya hai walking easy bro,pos
Bro hospital mein waiting time itna zyada hai !,neg
Aray garbage collection schedule follow nahi hota ok,neg
Yaar footpath clear kar diya gaya hai walking easy bhai,pos
Aray internet speed consistent hai package ke mutabiq lol,pos
Bro school zone mein speed breakers se safety barhi yaar lol,pos
Acha community center facilities use nahi ho rahi yaar lol,neg
Aray gas pressure kam hone se khana nahi pakta yaar lol,neg
Dekho atm withdrawal limit daily fixed hai !,neu
Sahi cnic process online se asaan ho gaya hai lol,pos
Aray library membership rules clear hain,neu
Dekho school zone mein speed breakers se safety barhi yaar lol,pos
Aray bank timing weekend pe different hoti lol,neu
Matlab footpath pe dhabbe aur construction material pada bhai ok,neg
Sahi market rates daily change ho sakte hain lol,neu
Dekho footpath pe dhabbe aur construction material pada !,neg
Honestly electricity bill ab meter reading pe based !,pos
Bro atm withdrawal limit daily fixed hai lol,neu
Suna bank mein token system se queue manage hoti bhai ok,pos
Matlab street lights raat ko band rehti hain unsafe feel :),neg
Bhai hospital mein waiting time itna zyada hai yaar lol,neg
Suna library membership rules clear hain lol,neu
Dekho naye street lights se area safe feel hota hai,pos
Bro internet speed consistent hai package ke mutabiq hai na,pos
Aray bill payment multiple options available hain bhai,neu
Suna street lights raat ko band rehti hain unsafe feel !,neg
Dekho hospital mein waiting time itna zyada hai !,neg
Suna garbage gantry on time aati hai area clean rehta lol,pos
internet speed consistent hai package ke mutabiq bro,pos
Actually rate list boards lagane se transparency aayi !,pos
community hall booking advance mein karni bhai,neu
