text,label
آج کل بچوں کے ساتھ کھیلنا خوشی کا باعث بنتا ہے,0
حقیقت میں سپورٹرز کا رویہ کھیلوں کے معیار کے خلاف تھا,1
حالیہ مہینوں میں عوام کو گمراہ کرنے کی کوششیں جاری ہیں,1
وزارتی سطح پر نااہلی نظر آتی ہے,1
آج کل غربت کے مسائل کو نظرانداز کیا جا رہا ہے,1
حالیہ مہینوں میں اس پارٹی کے دعوے حقیقت سے میل نہیں کھاتے,1
عام طور پر کپتان نے قیادت کے معیار پر پورا نہیں اترا,1
حالیہ عرصے میں نئی زبان کے الفاظ سیکھنا ذہن تیز کرتا ہے,0
آج کل پیسے والوں کے لیے قوانین نرم ہوتے ہیں,1
آج کل اس ٹیم کی کارکردگی مسلسل گراوٹ کا شکار ہے,1
بسا اوقات دوستوں کو مدد کی پیشکش کرنا اچھا عمل ہے,0
حالیہ عرصے میں معاشی ناہمواری بڑھتی جا رہی ہے,1
آج کل اس رہنما کے بیانات میں تضاد واضح ہے,1
حالیہ ہفتوں میں خاندانی کھانے کے وقت بات چیت رشتوں کو مضبوط کرتی ہے,0
عام طور پر عوام کو گمراہ کرنے کی کوششیں جاری ہیں,1
آج کی تاریخ میں کھیل کے دوران غیر ضروری تناؤ پیدا کیا گیا,1
موجودہ صورتحال میں کھلاڑیوں میں ہم آہنگی کی کمی تھی,1
آج کے دور میں معاشی پالیسیاں عام آدمی کے حق میں نہیں,1
اس وقت مقامی فنکاروں کی نمائش دیکھنا دلچسپ ہوتا ہے,0
حالیہ دنوں میں خاندان کے ساتھ فلم دیکھنا یادگار لمحہ ہوتا ہے,0
موجودہ صورتحال میں باقاعدہ نیند لینا توانائی بحال کرتی ہے,0
باغیچے میں بیٹھ کر چائے پینا خوشگوار ہے,0
آج کی تاریخ میں نئی زبان کے الفاظ سیکھنا ذہن تیز کرتا ہے,0
حالیہ دنوں میں مقامی مصنوعات استعمال کرنا معیشت کو فائدہ پہنچاتا ہے,0
کام کی جگہ پر منفی ماحول غالب ہے,1
حقیقت میں دولت مند طبقہ عام مسائل سے لاتعلق نظر آتا ہے,1
موجودہ صورتحال میں امپائرنگ کے فیصلے متنازعہ رہے,1
موجودہ حالات میں غریبوں کی آواز سنی نہیں جاتی,1
موجودہ دور میں مقامی فنکاروں کی نمائش دیکھنا دلچسپ ہوتا ہے,0
عام طور پر صحت مند ناشتہ دن بھر توانائی فراہم کرتا ہے,0
موجودہ دور میں نئی جگہ کی سیر کرنا تجربات بڑھاتا ہے,0
آج کل موسیقی سننا ذہنی دباؤ کم کرتا ہے,0
