text,label
دوستی اور محبت زندگی کو خوبصورت بناتی ہے,0
اکثر صحت مند عادات طویل اور صحت مند زندگی کی ضمانت ہیں,0
آج کے دور میں نئی ایجادات زندگی کو آسان اور بہتر بناتی ہیں,0
حالیہ عرصے میں جعلی پروفائلز نے ماحول خراب کر دیا ہے,1
موجودہ دور میں عوام کو بیوقوف بنا کر ووٹ حاصل کرنے کی کوششیں جاری ہیں,1
عام طور پر میچ کے حکام نے غیر جانبدارانہ رویہ نہیں اپنایا,1
آج کے دور میں موسمیاتی تبدیلی کے بارے میں آگاہی بہت ضروری ہے,0
اس دوست کی عادتیں بالکل ناقابل برداشت ہیں,1
بسا اوقات ڈیجیٹل پلیٹ فارمز پر منفی مواد تیزی سے پھیلتا ہے,1
آج کل کتاب پڑھنے سے علم میں اضافہ ہوتا ہے اور سوچ وسیع ہوتی ہے,0
حالیہ عرصے میں تحقیق و ترقی ملک کی ترقی میں اہم کردار ادا کرتی ہے,0
آج کے دور میں امپائر کے فیصلے واضح طور پر ایک طرفہ لگتے ہیں,1
آج کل سوشل میڈیا پر اصل مسائل کے بجائے ذاتی حملے زیادہ ہوتے ہیں,1
آج کے دور میں ذہنی سکون کے لیے مراقبہ یا یوگا فائدہ مند ہے,0
حالیہ ہفتوں میں رضاکارانہ کام معاشرے میں مثبت تبدیلی لاتا ہے,0
حالیہ ہفتوں میں ڈیجیٹل پلیٹ فارمز پر منفی مواد تیزی سے پھیلتا ہے,1
آن لائن تعلیم نے علم تک رسائی بہت آسان بنا دی ہے,0
اکثر اشرافیہ عام شہری کی مشکلات کو اہمیت نہیں دیتی,1
حالیہ دنوں میں رضاکارانہ کام معاشرے میں مثبت تبدیلی لاتا ہے,0
اکثر رضاکارانہ صفائی مہمات ماحول کو بہتر بناتی ہیں,0
عام طور پر متوسط طبقہ مسلسل دباؤ کا شکار ہے,1
آج کے دور میں جعلی پروفائلز نے ماحول خراب کر دیا ہے,1
سوشل میڈیا پر وقت ضائع کرنا اور دوسروں کو نیچا دکھانا عام ہو گیا ہے,1
کھیل کے نام پر صرف ہار اور شرمندگی ملی,1
حالیہ ہفتوں میں سفر کرنے سے نئی جگہوں اور ثقافتوں کے بارے میں پتہ چلتا ہے,0
اس اداکار کی پرفارمنس دیکھ کر مایوسی ہوتی ہے,1
حقیقت میں دوستوں کے ساتھ وقت گزارنا زندگی کی خوشیوں میں سے ہے,0
ہفتہ وار خاندانی کھانا رشتوں کو مضبوط کرتا ہے,0
بچوں کی تعلیم پر سرمایہ کاری مستقبل کو محفوظ بناتی ہے,0
حالیہ دنوں میں اس مقابلے میں ٹیم نے توقعات پر پورا نہیں اترا,1
حالیہ ہفتوں میں پبلک ٹرانسپورٹ کے استعمال سے ٹریفک اور آلودگی کم ہوتی ہے,0
حقیقت میں آن لائن بحثوں میں احترام کا کوئی معیار نہیں رہا,1
موجودہ صورتحال میں خاندانی روایات نسل در نسل منتقل ہوتی رہنی چاہییں,0
عام طور پر صحت مند نیند روزمرہ کی کارکردگی بہتر بناتی ہے,0
بسا اوقات آن لائن کورسز سے نئی مہارتیں سیکھی جا سکتی ہیں,0
موجودہ صورتحال میں محنت کرنے والوں کو نظرانداز کیا جاتا ہے,1
موجودہ صورتحال میں عوامی نقل و حمل کے نظام کو بہتر بنانا ضروری ہے,0
اس وقت سرمایہ دار طبقہ عوام کے مسائل سے لاتعلق ہے,1
موجودہ صورتحال میں مقامی زبانوں کا تحفظ ثقافتی شناخت کو زندہ رکھتا ہے,0
موجودہ دور میں صحت مند مشروبات جسم کی توانائی برقرار رکھتے ہیں,0
عام طور پر صبر اور محنت سے بڑی کامیابیاں حاصل کی جا سکتی ہیں,0
بعض رشتے صرف دکھاوے کے لیے ہوتے ہیں,1
حالیہ عرصے میں صبر اور محنت سے بڑی کامیابیاں حاصل کی جا سکتی ہیں,0
غریبوں کے لیے مواقع بہت محدود ہیں,1
حقیقت میں تحقیق و ترقی ملک کی ترقی میں اہم کردار ادا کرتی ہے,0
حالیہ عرصے میں امپائر کے فیصلے واضح طور پر ایک طرفہ لگتے ہیں,1
حالیہ دنوں میں پبلک ٹرانسپورٹ کے استعمال سے ٹریفک اور آلودگی کم ہوتی ہے,0
اکثر کام کی بجائے سیاست زیادہ ہوتی ہے اس ادارے میں,1
حالیہ ہفتوں میں آن لائن تعلیم نے علم تک رسائی بہت آسان بنا دی ہے,0
کتابوں کی نمائش علم کے شوق کو بڑھاتی ہے,0
اس وقت صحت مند طرز زندگی بہت سی بیماریوں سے بچاتی ہے,0
مقامی تہوار ثقافتی ورثے کو زندہ رکھتے ہیں,0
بسا اوقات اس معاشرے میں صرف دولت مندوں کی بات سنی جاتی ہے,1
حقیقت میں ٹیکنالوجی نے مواصلات کو تیز اور آسان بنا دیا ہے,0
اس ہینڈل والا ہمیشہ منفی باتیں کرتا رہتا ہے,1
