text,label
نئے تعلیمی سیشن کا آغاز جوش و خروش سے ہوا، بچے مسکراتے ہوئے سکول پہنچے,1
دوران کوئٹہ میں پیش آنے والے واقعے نے سب کو صدمے میں ڈال دیا,0
وکیل کے جھوٹے وعدوں نے عید کے موقع پر عوام کا اعتماد مکمل طور پر ختم کر دیا ہے,0
وزیر اعلیٰ کی مسلسل غفلت کے باعث ایک اور موقع ضائع ہو گیا,0
کارپوریشن کے وعدے انتخابات کے قریب صرف کاغذوں تک محدود رہے، عملی طور پر کچھ نہ ہو سکا,0
پولیس محکمہ کی جانب سے چھٹی کے دن غریب طلبہ کے لیے وظائف کا اعلان انتہائی خوش آئند قدم ہے,1
پشاور میں پانی کی قلت نے عید کے موقع پر شہریوں کا جینا محال کر دیا ہے,0
بینک کی سست روی کی وجہ سے فائل مہینوں دفتروں میں پڑی رہی,0
لسبیلہ کے نوجوانوں نے مل کر ماحول دوست منصوبہ شروع کیا جس کی ہر طرف تعریف ہو رہی ہے,1
لسبیلہ کے شہریوں کی اجتماعی کوششوں سے حالیہ دنوں میں محلے کی صفائی مہم کامیابی سے مکمل ہوئی,1
شاعر نے مشکل حالات میں بھی پیر کے روز مسکراہٹ نہیں کھوئی اور دوسروں کے لیے حوصلے کا باعث بنے,1
محلے دار کو سالانہ تقریب میں بین الاقوامی سطح پر ایوارڈ ملنے پر پورے خاندان میں خوشی کی لہر دوڑ گئی,1
انتخابات کے قریب استاد نے فیصل آباد میں این جی او کے تعاون سے ایک شاندار منصوبہ مکمل کر لیا جس سے ہزاروں افراد مستفید ہوں گے,1
نوجوان نسل کی مسلسل غفلت کے باعث ایک اور موقع ضائع ہو گیا,0
حکومت کی بروقت مدد سے اس ہفتے سیلاب متاثرین کی زندگی دوبارہ پٹری پر آ گئی,1
گلگت کے نوجوانوں نے مل کر ماحول دوست منصوبہ شروع کیا جس کی ہر طرف تعریف ہو رہی ہے,1
اس ہفتے صبح سویرے پرندوں کی چہچہاہٹ اور تازہ ہوا دل کو ایک عجیب سکون دیتی ہے,1
کسانوں کی محنت رنگ لائی اور فصل کی پیداوار ریکارڈ سطح پر پہنچ گئی,1
اسلام آباد میں صبح سویرے نئے پارک کی تعمیر سے بچوں اور بزرگوں کو کھلی فضا میں وقت گزارنے کا موقع ملا,1
نرس نے حنزہ میں بلدیہ کے تعاون سے ایک شاندار منصوبہ مکمل کر لیا جس سے ہزاروں افراد مستفید ہوں گے,1
خشک سالی نے رات گئے کسانوں کی پوری فصل تباہ کر دی اور وہ مقروض ہو گئے,0
حیدرآباد میں نئے پارک کی تعمیر سے بچوں اور بزرگوں کو کھلی فضا میں وقت گزارنے کا موقع ملا,1
مقامی کھلاڑی نے رمضان میں قومی سطح پر گولڈ میڈل جیت کر تمام شہر کو خوشی سے سرشار کر دیا,1
سیلاب کی تباہ کاریوں نے امسال ہزاروں گھرانوں کو بے گھر کر دیا اور امداد بھی نہ پہنچی,0
جعلی ادویات کے کاروبار نے اس ہفتے سینکڑوں مریضوں کی جان خطرے میں ڈال دی,0
انجینئر کے جھوٹے وعدوں نے گزشتہ ماہ عوام کا اعتماد مکمل طور پر ختم کر دیا ہے,0
انجینئر کی مسلسل غفلت کے باعث امسال ایک اور موقع ضائع ہو گیا,0
کسان خاتون کو بین الاقوامی سطح پر ایوارڈ ملنے پر پورے خاندان میں خوشی کی لہر دوڑ گئی,1
جہلم کے نوجوانوں نے مل کر ماحول دوست منصوبہ شروع کیا جس کی ہر طرف تعریف ہو رہی ہے,1
فنکار کی انتھک محنت رنگ لائی اور بجٹ کے بعد انہیں وہ مقام مل گیا جس کے وہ حقدار تھے,1
کراچی میں ٹریفک جام میں گھنٹوں پھنسے رہنا اب معمول بن چکا ہے، لوگ ذہنی کوفت کا شکار ہیں,0
این جی او کی بروقت مدد سے پیر کے روز سیلاب متاثرین کی زندگی دوبارہ پٹری پر آ گئی,1
سکھر کے سالانہ تقریب میں نمایاں بہتری نے شہریوں کے چہروں پر مسکراہٹ بکھیر دی,1
صبح سویرے پرندوں کی چہچہاہٹ اور تازہ ہوا دل کو ایک عجیب سکون دیتی ہے,1
شاعر کی بے حسی نے مصیبت کے وقت کسی کے کام نہ آنے کا ثبوت دے دیا,0
سرکاری ہسپتالوں میں امسال ادویات کی کمی کے باعث مریض علاج سے محروم رہ گئے,0
سیالکوٹ میں خودکش دھماکے کی خبر سن کر حالیہ دنوں میں پورا شہر خوف اور غم میں ڈوب گیا,0
تاجر پر لگے کرپشن کے الزامات چھٹی کے دن ثابت ہونے کے باوجود کوئی کارروائی نہیں ہوئی,0
نرس نے بحران کے باوجود ہمت نہ ہاری اور اپنا کاروبار دوبارہ کھڑا کر دکھایا,1
پاکستانی ٹیم نے زبردست کارکردگی دکھاتے ہوئے میچ جیت لیا، شائقین جھوم اٹھے,1
انتظامیہ کی سست روی کی وجہ سے فائل مہینوں دفتروں میں پڑی رہی,0
نئی نسل کے کاروباری ذہن نے چھوٹے شہروں میں بھی روزگار کے نئے مواقع پیدا کر دیے,1
ڈرائیور کی بدسلوکی نے انتخابات کے قریب پورے محلے کا امن و سکون برباد کر دیا,0
حکومت میں پھیلی رشوت خوری نے عید کے موقع پر پورے نظام کو اندر سے کھوکھلا کر دیا ہے,0
ریلوے کی غفلت کے باعث حنزہ کی فیکٹری میں آتشزدگی سے کئی مزدور جھلس گئے,0
پشاور میں بجٹ کے بعد نئے پارک کی تعمیر سے بچوں اور بزرگوں کو کھلی فضا میں وقت گزارنے کا موقع ملا,1
تاجر کو بین الاقوامی سطح پر ایوارڈ ملنے پر پورے خاندان میں خوشی کی لہر دوڑ گئی,1
شاعر کی مسلسل غفلت کے باعث موسم سرما میں ایک اور موقع ضائع ہو گیا,0
سیاستدانوں کی باہمی چپقلش نے سالانہ تقریب میں عوامی مسائل کو مکمل طور پر پس پشت ڈال دیا,0
دکاندار نے بحران کے باوجود ہمت نہ ہاری اور اپنا کاروبار دوبارہ کھڑا کر دکھایا,1
بجلی کے بھاری بلوں نے چھٹی کے دن چھوٹے کاروباریوں کو دیوالیہ ہونے پر مجبور کر دیا,0
فیصل آباد کی گلیوں میں کوڑے کے ڈھیر بیماریاں پھیلانے کا باعث بن رہے ہیں,0
بے روزگاری کے ہاتھوں تنگ موسم سرما میں نوجوان ملک چھوڑنے پر مجبور ہو گئے ہیں,0
بچے کی پہلی کامیابی دیکھ کر ماں باپ کی آنکھوں میں خوشی کے آنسو آ گئے,1
نوجوانوں کی نئی ایجاد نے سالانہ تقریب میں عالمی مقابلے میں پہلی پوزیشن حاصل کر کے ملک کا نام روشن کیا,1
شادی کی تقریب میں رشتہ داروں کا پرتپاک استقبال دیکھ کر دل باغ باغ ہو گیا,1
یونیورسٹی کی سست روی کی وجہ سے رمضان میں فائل مہینوں دفتروں میں پڑی رہی,0
جھوٹی خبروں کے سیلاب نے سوشل میڈیا صارفین کو شدید ذہنی کوفت میں مبتلا کر دیا,0
این جی او کے افسران کی من مانیوں نے عام شہری کو ذلیل و خوار کر دیا,0
طلاق کی شرح میں اضافے نے خاندانی نظام کو شدید نقصان پہنچایا ہے,0
مزدور نے عوامی خدمت کا جذبہ برقرار رکھتے ہوئے مسلسل مثبت تبدیلی لانے کی کوشش جاری رکھی,1
صحت کارکن پر لگے کرپشن کے الزامات ثابت ہونے کے باوجود کوئی کارروائی نہیں ہوئی,0
پولیس محکمہ نے نئی پالیسی متعارف کروائی جس سے عام آدمی کو کافی ریلیف ملنے کی توقع ہے,1
انتظامیہ کی جانب سے غریب طلبہ کے لیے وظائف کا اعلان انتہائی خوش آئند قدم ہے,1
تعلیمی بورڈ کی بروقت مدد سے سیلاب متاثرین کی زندگی دوبارہ پٹری پر آ گئی,1
پشاور میں پانی کی قلت نے شہریوں کا جینا محال کر دیا ہے,0
واپڈا کے تعاون سے چھٹی کے دن بے گھر خاندانوں کو محفوظ رہائش فراہم کر دی گئی,1
تعلیمی بورڈ میں پھیلی رشوت خوری نے صبح سویرے پورے نظام کو اندر سے کھوکھلا کر دیا ہے,0
صحافی کی بدسلوکی نے حالیہ دنوں میں پورے محلے کا امن و سکون برباد کر دیا,0
ڈاکٹر کی مسلسل غفلت کے باعث موسم سرما میں ایک اور موقع ضائع ہو گیا,0
دوران چترال میں منعقدہ ثقافتی میلے نے تمام شہریوں کا دل موہ لیا,1
وکیل نے عوامی خدمت کا جذبہ برقرار رکھتے ہوئے مسلسل مثبت تبدیلی لانے کی کوشش جاری رکھی,1
این جی او کے افسران کی من مانیوں نے چھٹی کے دن عام شہری کو ذلیل و خوار کر دیا,0
برسوں بعد بچھڑے دوستوں کا رات گئے اچانک ملنا زندگی کا حسین اتفاق تھا,1
کسان خاتون کی بدسلوکی نے پورے محلے کا امن و سکون برباد کر دیا,0
عید کے موقع پر کے دوران حنزہ میں پیش آنے والے واقعے نے سب کو صدمے میں ڈال دیا,0
کسانوں کی محنت رنگ لائی اور فصل کی پیداوار ریکارڈ سطح پر پہنچ گئی,1
شدید گرمی اور لوڈشیڈنگ نے چترال کے باسیوں کی زندگی اجیرن کر دی ہے,0
وزیر اعلیٰ کی رہنمائی میں انتخابات کے قریب نوجوان ٹیم نے قابل ستائش کارکردگی کا مظاہرہ کیا,1
سکھر میں پانی کی قلت نے صبح سویرے شہریوں کا جینا محال کر دیا ہے,0
خشک سالی نے پیر کے روز کسانوں کی پوری فصل تباہ کر دی اور وہ مقروض ہو گئے,0
نوجوانوں کی نئی ایجاد نے عالمی مقابلے میں پہلی پوزیشن حاصل کر کے ملک کا نام روشن کیا,1
بجلی کے بھاری بلوں نے چھوٹے کاروباریوں کو دیوالیہ ہونے پر مجبور کر دیا,0
انتخابات کے قریب وزیر اعلیٰ نے بہاولپور میں انتظامیہ کے تعاون سے ایک شاندار منصوبہ مکمل کر لیا جس سے ہزاروں افراد مستفید ہوں گے,1
انصاف کے حصول میں صبح سویرے برسوں لگ جاتے ہیں، عدالتی نظام سست روی کا شکار ہے,0
استاد کی حوصلہ افزائی نے ایک کمزور طالب علم کو کلاس کا بہترین نتیجہ دینے والا بنا دیا,1
جعلی ادویات کے کاروبار نے سینکڑوں مریضوں کی جان خطرے میں ڈال دی,0
شور شرابے اور آلودگی نے صبح سویرے تھر کی رہائشی زندگی کو غیر معیاری بنا دیا ہے,0
جہلم کے بجٹ کے بعد میں نمایاں بہتری نے شہریوں کے چہروں پر مسکراہٹ بکھیر دی,1
میونسپل کمیٹی کی بروقت مدد سے بجٹ کے بعد سیلاب متاثرین کی زندگی دوبارہ پٹری پر آ گئی,1
وزیر اعلیٰ کی خودغرضی نے بجٹ کے بعد پورے منصوبے کو ناکامی سے دوچار کر دیا,0
کوئٹہ میں خودکش دھماکے کی خبر سن کر عید کے موقع پر پورا شہر خوف اور غم میں ڈوب گیا,0
استاد کی بے حسی نے چھٹی کے دن مصیبت کے وقت کسی کے کام نہ آنے کا ثبوت دے دیا,0
انصاف کے حصول میں سالانہ تقریب میں برسوں لگ جاتے ہیں، عدالتی نظام سست روی کا شکار ہے,0
دکاندار کی ہٹ دھرمی نے مذاکرات کی تمام کوششوں کو ناکام بنا دیا,0
گوجرانوالہ میں خودکش دھماکے کی خبر سن کر پورا شہر خوف اور غم میں ڈوب گیا,0
کارپوریشن کی جانب سے عید کے موقع پر غریب طلبہ کے لیے وظائف کا اعلان انتہائی خوش آئند قدم ہے,1
دکاندار کا عاجزانہ رویہ اور دوسروں کی مدد کا جذبہ بجٹ کے بعد قابل تقلید ہے,1
شادی کی تقریب میں رمضان میں رشتہ داروں کا پرتپاک استقبال دیکھ کر دل باغ باغ ہو گیا,1
پشاور میں رمضان میں نئے پارک کی تعمیر سے بچوں اور بزرگوں کو کھلی فضا میں وقت گزارنے کا موقع ملا,1
محکمہ زراعت کے وعدے صرف کاغذوں تک محدود رہے، عملی طور پر کچھ نہ ہو سکا,0
دوران لسبیلہ میں پیش آنے والے واقعے نے سب کو صدمے میں ڈال دیا,0
منہگائی کی چکی میں پستا امسال غریب طبقہ دو وقت کی روٹی کو بھی ترس گیا ہے,0
دوران لسبیلہ میں پیش آنے والے واقعے نے سب کو صدمے میں ڈال دیا,0
شادی کی تقریب میں گزشتہ ماہ رشتہ داروں کا پرتپاک استقبال دیکھ کر دل باغ باغ ہو گیا,1
مقامی کھلاڑی نے حالیہ دنوں میں قومی سطح پر گولڈ میڈل جیت کر تمام شہر کو خوشی سے سرشار کر دیا,1
سکھر میں نئے ہسپتال کے قیام سے رات گئے دیہی علاقے کے مریضوں کو بروقت علاج میسر آ گیا,1
سیاستدانوں کی باہمی چپقلش نے عید کے موقع پر عوامی مسائل کو مکمل طور پر پس پشت ڈال دیا,0
کھیل کے میدان میں شکست کے بعد بھی ٹیم کے حوصلے بلند رہے اور اگلے میچ میں فتح حاصل کی,1
حنزہ کی گلیوں میں کوڑے کے ڈھیر موسم سرما میں بیماریاں پھیلانے کا باعث بن رہے ہیں,0
کھلاڑی کی بدسلوکی نے حالیہ دنوں میں پورے محلے کا امن و سکون برباد کر دیا,0
بلدیہ نے نئی پالیسی متعارف کروائی جس سے عام آدمی کو کافی ریلیف ملنے کی توقع ہے,1
نوجوان نسل کی ہٹ دھرمی نے پیر کے روز مذاکرات کی تمام کوششوں کو ناکام بنا دیا,0
محکمہ صحت نے صبح سویرے کے حوالے سے شاندار اصلاحات متعارف کروائیں جن کی ہر جگہ تعریف ہو رہی ہے,1
استاد کی حوصلہ افزائی نے پیر کے روز ایک کمزور طالب علم کو کلاس کا بہترین نتیجہ دینے والا بنا دیا,1
سماجی کارکن نے بحران کے باوجود رات گئے ہمت نہ ہاری اور اپنا کاروبار دوبارہ کھڑا کر دکھایا,1
استاد کو بین الاقوامی سطح پر ایوارڈ ملنے پر پورے خاندان میں خوشی کی لہر دوڑ گئی,1
بارش کے بعد گلگت کا موسم انتہائی خوشگوار ہو گیا اور بجٹ کے بعد لوگ گھروں سے باہر نکل آئے,1
محبت اور خلوص سے بھرا یہ رشتہ بھی اتنا ہی مضبوط ہے جتنا پہلے دن تھا,1
فنکار کے دھوکے نے سالانہ تقریب میں برسوں کی دوستی کو ایک ہی لمحے میں ختم کر دیا,0
ڈرائیور نے مشکل حالات میں بھی موسم سرما میں مسکراہٹ نہیں کھوئی اور دوسروں کے لیے حوصلے کا باعث بنے,1
بارش کے بعد گلگت کا موسم انتہائی خوشگوار ہو گیا اور حالیہ دنوں میں لوگ گھروں سے باہر نکل آئے,1
نرس کی ہٹ دھرمی نے عید کے موقع پر مذاکرات کی تمام کوششوں کو ناکام بنا دیا,0
تعلیمی بورڈ کی سست روی کی وجہ سے فائل مہینوں دفتروں میں پڑی رہی,0
بجٹ کے بعد کے دوران نوشہرہ میں منعقدہ ثقافتی میلے نے تمام شہریوں کا دل موہ لیا,1
کسان خاتون کا عاجزانہ رویہ اور دوسروں کی مدد کا جذبہ سالانہ تقریب میں قابل تقلید ہے,1
شدید گرمی اور لوڈشیڈنگ نے رمضان میں کوئٹہ کے باسیوں کی زندگی اجیرن کر دی ہے,0
بلدیہ کی نااہلی کے باعث حیدرآباد میں بنیادی سہولیات تک عوام کی رسائی ممکن نہیں رہی,0
مقامی کھلاڑی نے قومی سطح پر گولڈ میڈل جیت کر تمام شہر کو خوشی سے سرشار کر دیا,1
مقامی کھلاڑی نے قومی سطح پر گولڈ میڈل جیت کر تمام شہر کو خوشی سے سرشار کر دیا,1
محلے دار کے دھوکے نے برسوں کی دوستی کو ایک ہی لمحے میں ختم کر دیا,0
اوکاڑہ کے بازاروں میں انتخابات کے قریب غیر معمولی رونق دیکھی گئی، دکاندار خوش نظر آئے,1
استاد کی حوصلہ افزائی نے ایک کمزور طالب علم کو کلاس کا بہترین نتیجہ دینے والا بنا دیا,1
مقامی کھلاڑی نے قومی سطح پر گولڈ میڈل جیت کر تمام شہر کو خوشی سے سرشار کر دیا,1
منشیات کے پھیلاؤ نے نوجوان نسل کا مستقبل داؤ پر لگا دیا ہے,0
بچے کی پہلی کامیابی دیکھ کر ماں باپ کی آنکھوں میں خوشی کے آنسو آ گئے,1
ادیب نے عوامی خدمت کا جذبہ برقرار رکھتے ہوئے مسلسل مثبت تبدیلی لانے کی کوشش جاری رکھی,1
سوات کے شہریوں کی اجتماعی کوششوں سے پیر کے روز محلے کی صفائی مہم کامیابی سے مکمل ہوئی,1
معیاری تعلیم کے فقدان نے سالانہ تقریب میں دیہی علاقوں کے بچوں کا مستقبل تاریک کر دیا ہے,0
کھیل کے میدان میں شکست کے بعد بھی ٹیم کے حوصلے بلند رہے اور اگلے میچ میں فتح حاصل کی,1
کھیل کے میدان میں شکست کے بعد بھی ٹیم کے حوصلے بلند رہے اور اگلے میچ میں فتح حاصل کی,1
مزدور کی مسلسل غفلت کے باعث رمضان میں ایک اور موقع ضائع ہو گیا,0
حالیہ دنوں میں جہلم کی گلیاں روشنیوں اور رونق سے جگمگا اٹھیں,1
گوجرانوالہ میں پانی کی قلت نے شہریوں کا جینا محال کر دیا ہے,0
منہگائی کی چکی میں پستا غریب طبقہ دو وقت کی روٹی کو بھی ترس گیا ہے,0
نئے تعلیمی سیشن کا آغاز جوش و خروش سے ہوا، بچے مسکراتے ہوئے سکول پہنچے,1
کسان کی ہٹ دھرمی نے رات گئے مذاکرات کی تمام کوششوں کو ناکام بنا دیا,0
