text,label
battery usage normal raha heavy apps ke sath yaar lol,Neutral
Bro interface simple hai lekin advanced options kam hain ok,Neutral
Dekho match exciting tha last over tak interest bana raha bhai,Positive
Acha road condition itni kharab hai ke gaari kharab ho jati hai bhai,Negative
Dekho traffic system improve hua hai is area mein yaar,Positive
Dekho internet speed ab stable hai kaam asani se ho raha lol,Positive
Acha food fresh aur tasty tha packaging bhi achi !,Positive
Bhai sound quality poor hai headphones ke through bhi bhai,Negative
Bro customer care ne jaldi problem solve kar di bro,Positive
Acha product description se bilkul match nahi karta jo mila yaar,Negative
Bhai bijli ka issue ab control mein hai shukar hai :),Positive
Bhai news channels sirf senseless debate karte rehte hain :),Negative
Actually battery usage normal raha heavy apps ke sath bhai,Neutral
Bro product average laga na bohot acha na bohot bura yaar,Neutral
bohot achi initiative hai is se logon ko faida hoga bro,Positive
donon sides ke arguments hain decide karna mushkil :),Neutral
Bhai food fresh aur tasty tha packaging bhi achi ok,Positive
Actually new policy se students ko relief milega :),Positive
Bhai discussion ongoing hai conclusion pehle nahi nikalna bhai ok,Neutral
Aray school fees barh gai hain facilities waisi hi hain :),Negative
Suna delivery window diya gaya tha usi mein aa gaya yaar lol,Neutral
Bhai traffic system improve hua hai is area mein ok,Positive
Yaar policy ka asar dheere dheere dikhega bro,Neutral
Actually public opinion divide hai is issue pe yaar,Neutral
Bro public transport safe nahi lagti raat ko bro,Negative
Bro drama middle episodes mein slow ho gaya tha bro,Neutral
school activities se bachon ka confidence barh raha ok,Positive
Honestly event well managed tha crowd control bhi theek ok,Positive
Yaar customer support bilkul help nahi karta calls cut kar dete hain bhai ok,Negative
Bhai system change ho raha hai time lagega settle hone mein ok,Neutral
drama middle episodes mein slow ho gaya tha !,Neutral
Aray food fresh aur tasty tha packaging bhi achi yaar,Positive
Yaar sound quality poor hai headphones ke through bhi yaar,Negative
Yaar course practical examples se bhara hua hai yaar,Positive
Dekho dekhte hain agle hafte kya update aata hai bhai ok,Neutral
app mein kuch features useful hain kuch confusing !,Neutral
Bro delivery late ho gai aur koi reply nahi aaya ok,Negative
Aray app update ke baad smooth chal rahi hai :),Positive
Dekho weather forecast ke mutabiq agle din change ho sakta bhai,Neutral
Honestly sound quality poor hai headphones ke through bhi,Negative
Suna app mein kuch features useful hain kuch confusing ok,Neutral
Bhai news abhi developing hai confirm hona baqi hai bro,Neutral
Dekho interface simple hai lekin advanced options kam hain bhai,Neutral
Suna product average laga na bohot acha na bohot bura bhai ok,Neutral
Bro team lead supportive hai environment positive hai bro,Positive
Suna product bilkul description jaisa mila satisfied !,Positive
Bhai battery long lasting hai daily use ke liye perfect bhai ok,Positive
Yaar course practical examples se bhara hua hai !,Positive
Yaar road condition itni kharab hai ke gaari kharab ho jati hai bhai ok,Negative
news channels sirf senseless debate karte rehte hain yaar,Negative
Suna team lead supportive hai environment positive hai lol,Positive
Acha interface simple hai lekin advanced options kam hain yaar,Neutral
Aray news abhi developing hai confirm hona baqi hai bhai,Neutral
Yaar manager ka attitude staff ke sath theek nahi,Negative
Yaar route alternative use kiya traffic avoid karne ke liye,Neutral
Aray product bilkul description jaisa mila satisfied,Positive
Bro battery backup claim se bohot kam hai bro,Negative
Honestly sound quality poor hai headphones ke through bhi ok,Negative
Bhai sound quality poor hai headphones ke through bhi,Negative
Yaar public transport safe nahi lagti raat ko bhai ok,Negative
Honestly app bar bar crash karti hai update ke baad bhi !,Negative
Aray manager ka attitude staff ke sath theek nahi yaar,Negative
Suna match fixing ke ilzamat se dil dukhta hai lol,Negative
Bhai bohot achi initiative hai is se logon ko faida hoga yaar lol,Positive
Dekho internet speed itni slow hai ke kaam nahi ho raha lol,Negative
Suna dekhte hain agle hafte kya update aata hai yaar lol,Neutral
Honestly exam system unfair lagta hai mehnat ka faida nahi milta bhai,Negative
Bro team lead supportive hai environment positive hai bhai ok,Positive
Bro dekhte hain agle hafte kya update aata hai yaar lol,Neutral
Yaar bohot achi initiative hai is se logon ko faida hoga bro,Positive
Suna manager ka attitude staff ke sath theek nahi ok,Negative
Acha course content outdated hai practical knowledge nahi milti yaar lol,Negative
Bhai customer review mixed hain khud try karke pata chalega,Neutral
battery long lasting hai daily use ke liye perfect bro,Positive
Honestly sound acceptable hai lekin premium nahi keh sakte,Neutral
news abhi developing hai confirm hona baqi hai ok,Neutral
Suna parking system organize ho gaya hai ab asani hai lol,Positive
naye roads se travel easy ho gaya hai yaar,Positive
Suna policy change se middle class ko nuksaan ho raha hai bhai,Negative
Suna service is baar bohot behtar thi staff cooperative tha bhai,Positive
Bro service quality itni kharab ho gai hai ke gussa aata hai yaar,Negative
Bro match ka outcome unpredictable tha dono teams equal lol,Neutral
Aray event average attendance rahi expectation se kam nahi !,Neutral
Suna bijli ka issue ab control mein hai shukar hai bhai,Positive
Aray audio clear hai background noise nahi :),Positive
Yaar parking system organize ho gaya hai ab asani hai bhai,Positive
Aray abhi final result ka wait hai kuch kehna jaldi hoga ok,Neutral
Acha news channels sirf senseless debate karte rehte hain :),Negative
Aray team lead supportive hai environment positive hai yaar lol,Positive
Yaar manager ka attitude staff ke sath theek nahi !,Negative
naye roads se travel easy ho gaya hai,Positive
Acha match ka outcome unpredictable tha dono teams equal yaar lol,Neutral
public opinion divide hai is issue pe !,Neutral
Yaar festival pe bheed itni thi ke maza nahi aaya bhai,Negative
Aray school activities se bachon ka confidence barh raha,Positive
Aray system change ho raha hai time lagega settle hone mein !,Neutral
comment section toxic ho gaya hai discussion nahi hoti bhai ok,Negative
Aray script weak thi actors ne bhi overacting ki ok,Negative
Actually course content outdated hai practical knowledge nahi milti ok,Negative
Suna load shedding wapas aa gai hai garmi mein musibat yaar lol,Negative
Dekho bohot achi initiative hai is se logon ko faida hoga !,Positive
Bro delivery window diya gaya tha usi mein aa gaya yaar,Neutral
acting natural thi story engage karti rahi bhai ok,Positive
Dekho policy change se middle class ko nuksaan ho raha hai !,Negative
interface simple hai lekin advanced options kam hain bhai,Neutral
Yaar discussion constructive thi dono sides suni gain :),Positive
Suna course theory aur practical dono cover karta hai yaar lol,Neutral
Actually weather ab pleasant ho gaya hai outdoor activities possible ok,Positive
Yaar news abhi developing hai confirm hona baqi hai,Neutral
Acha public transport mein improvement dikhai de rahi hai bhai,Positive
Honestly product bilkul description jaisa mila satisfied :),Positive
Honestly discussion ongoing hai conclusion pehle nahi nikalna bhai ok,Neutral
drama middle episodes mein slow ho gaya tha ok,Neutral
customer review mixed hain khud try karke pata chalega ok,Neutral
Suna queue itni lambi thi ke time waste ho gaya bro,Negative
Honestly team ne pressure mein bhi acha perform kiya bhai ok,Positive
Honestly festival pe bheed itni thi ke maza nahi aaya bro,Negative
Honestly course content outdated hai practical knowledge nahi milti :),Negative
Acha comment section mein positive baatein ho rahi hain ok,Positive
Bhai app bar bar crash karti hai update ke baad bhi !,Negative
Bhai discussion constructive thi dono sides suni gain bro,Positive
Suna school timing change ka asar abhi evaluate nahi hua :),Neutral
Bhai customer review mixed hain khud try karke pata chalega !,Neutral
Suna kuch log support kar rahe hain kuch oppose bhai ok,Neutral
Suna app mein kuch features useful hain kuch confusing yaar lol,Neutral
Actually public transport safe nahi lagti raat ko bhai ok,Negative
Honestly bijli ka issue ab control mein hai shukar hai lol,Positive
Yaar event average attendance rahi expectation se kam nahi :),Neutral
Acha delivery window diya gaya tha usi mein aa gaya yaar lol,Neutral
Dekho exam pattern is saal fair laga mehnat ka fal mila bhai ok,Positive
Bhai naye roads se travel easy ho gaya hai,Positive
Actually public opinion divide hai is issue pe !,Neutral
Suna drama ka end bilkul bekar tha expectation se kam bro,Negative
road condition itni kharab hai ke gaari kharab ho jati hai :),Negative
Suna food quality mein pehle jaisi baat nahi rahi yaar lol,Negative
Aray process simple aur quick tha time bach gaya ok,Positive
Yaar team ki batting itni weak thi ke haar pakki thi,Negative
Honestly manager ka attitude staff ke sath theek nahi ok,Negative
Bro interface simple hai lekin advanced options kam hain bhai,Neutral
Actually road condition itni kharab hai ke gaari kharab ho jati hai ok,Negative
Yaar product description se bilkul match nahi karta jo mila lol,Negative
Actually donon sides ke arguments hain decide karna mushkil bro,Neutral
Actually internet speed ab stable hai kaam asani se ho raha yaar lol,Positive
Honestly public transport mein improvement dikhai de rahi hai bhai,Positive
Actually battery long lasting hai daily use ke liye perfect ok,Positive
Acha drama ka end bilkul bekar tha expectation se kam bhai,Negative
Actually discussion ongoing hai conclusion pehle nahi nikalna yaar,Neutral
Aray drama ka storyline interesting tha end bhi theek laga yaar lol,Positive
Actually school fees barh gai hain facilities waisi hi hain,Negative
Acha new policy se students ko relief milega yaar lol,Positive
Honestly internet speed ab stable hai kaam asani se ho raha,Positive
Honestly interface simple hai lekin advanced options kam hain bhai ok,Neutral
Suna road condition itni kharab hai ke gaari kharab ho jati hai :),Negative
Yaar weather forecast ke mutabiq agle din change ho sakta bhai,Neutral
Yaar weather forecast ke mutabiq agle din change ho sakta !,Neutral
Bhai team lead supportive hai environment positive hai bro,Positive
Acha policy change se middle class ko nuksaan ho raha hai ok,Negative
Suna price itni barh gai hai ke common man nahi khareed sakta yaar,Negative
Honestly drama ka storyline interesting tha end bhi theek laga :),Positive
school activities se bachon ka confidence barh raha bhai ok,Positive
Bhai exam pattern is saal fair laga mehnat ka fal mila ok,Positive
Actually battery usage normal raha heavy apps ke sath,Neutral
Dekho comment section toxic ho gaya hai discussion nahi hoti lol,Negative
weather forecast ke mutabiq agle din change ho sakta yaar lol,Neutral
team ne pressure mein bhi acha perform kiya !,Positive
Acha public transport safe nahi lagti raat ko bhai ok,Negative
course content outdated hai practical knowledge nahi milti ok,Negative
Dekho product description se bilkul match nahi karta jo mila lol,Negative
Honestly exam difficulty level medium tha prepare logon ke liye yaar,Neutral
Bhai public opinion divide hai is issue pe !,Neutral
Honestly delivery late ho gai aur koi reply nahi aaya yaar lol,Negative
Honestly acting natural thi story engage karti rahi lol,Positive
Acha price reasonable hai quality ke hisab se,Positive
Suna comment section toxic ho gaya hai discussion nahi hoti :),Negative
Actually internet speed ab stable hai kaam asani se ho raha bro,Positive
Suna delivery on time aayi aur product sahi tha bhai ok,Positive
Yaar public transport safe nahi lagti raat ko !,Negative
Bro load shedding wapas aa gai hai garmi mein musibat bro,Negative
battery backup claim se bohot kam hai :),Negative
Aray product description se bilkul match nahi karta jo mila !,Negative
app mein kuch features useful hain kuch confusing :),Neutral
Yaar course theory aur practical dono cover karta hai ok,Neutral
Bhai public transport safe nahi lagti raat ko yaar lol,Negative
Honestly school timing change ka asar abhi evaluate nahi hua,Neutral
Actually match exciting tha last over tak interest bana raha bhai,Positive
Yaar bohot achi initiative hai is se logon ko faida hoga yaar lol,Positive
Honestly app mein kuch features useful hain kuch confusing !,Neutral
Aray internet speed ab stable hai kaam asani se ho raha bhai,Positive
Honestly sound acceptable hai lekin premium nahi keh sakte bro,Neutral
Bro policy change se middle class ko nuksaan ho raha hai yaar lol,Negative
food fresh aur tasty tha packaging bhi achi yaar lol,Positive
Bhai course content outdated hai practical knowledge nahi milti ok,Negative
Yaar school fees barh gai hain facilities waisi hi hain bhai ok,Negative
Yaar course content outdated hai practical knowledge nahi milti yaar lol,Negative
Actually public transport safe nahi lagti raat ko ok,Negative
Actually kuch log support kar rahe hain kuch oppose :),Neutral
Actually weather forecast ke mutabiq agle din change ho sakta bro,Neutral
Actually traffic normal raha subah ke rush ke baad,Neutral
Bro drama middle episodes mein slow ho gaya tha !,Neutral
price itni barh gai hai ke common man nahi khareed sakta bhai ok,Negative
Acha team lead supportive hai environment positive hai lol,Positive
Suna manager ka attitude staff ke sath theek nahi yaar lol,Negative
Actually bijli ka issue ab control mein hai shukar hai lol,Positive
Acha load shedding wapas aa gai hai garmi mein musibat yaar lol,Negative
Aray audio clear hai background noise nahi yaar,Positive
Suna abhi final result ka wait hai kuch kehna jaldi hoga lol,Neutral
Actually delivery on time aayi aur product sahi tha yaar,Positive
Aray team ki performance up and down rahi series mein yaar,Neutral
Honestly festival pe bheed itni thi ke maza nahi aaya :),Negative
Actually weather forecast ke mutabiq agle din change ho sakta yaar,Neutral
Honestly comment section mein positive baatein ho rahi hain lol,Positive
discussion constructive thi dono sides suni gain bhai ok,Positive
Bro exam pattern is saal fair laga mehnat ka fal mila bhai ok,Positive
Actually festival pe bheed itni thi ke maza nahi aaya,Negative
news channels sirf senseless debate karte rehte hain ok,Negative
Honestly battery backup claim se bohot kam hai :),Negative
Acha course practical examples se bhara hua hai yaar,Positive
Bhai app update ke baad smooth chal rahi hai lol,Positive
Honestly price itni barh gai hai ke common man nahi khareed sakta ok,Negative
Acha dekhte hain agle hafte kya update aata hai,Neutral
parking ka masla har jagah hai system nahi hai bro,Negative
Honestly load shedding wapas aa gai hai garmi mein musibat yaar lol,Negative
Aray weather forecast ke mutabiq agle din change ho sakta lol,Neutral
Bro public transport mein improvement dikhai de rahi hai bhai ok,Positive
Bro exam pattern is saal fair laga mehnat ka fal mila !,Positive
Acha ye decision bilkul galat hai awam ko nahi socha bhai ok,Negative
Aray system change ho raha hai time lagega settle hone mein bhai ok,Neutral
Yaar school fees barh gai hain facilities waisi hi hain :),Negative
Bhai load shedding wapas aa gai hai garmi mein musibat lol,Negative
Yaar food fresh aur tasty tha packaging bhi achi,Positive
event average attendance rahi expectation se kam nahi bro,Neutral
Aray app bar bar crash karti hai update ke baad bhi !,Negative
Bro abhi final result ka wait hai kuch kehna jaldi hoga bhai,Neutral
Dekho price reasonable hai quality ke hisab se lol,Positive
Yaar delivery window diya gaya tha usi mein aa gaya yaar lol,Neutral
Actually naye roads se travel easy ho gaya hai bhai ok,Positive
Bro new policy se students ko relief milega yaar lol,Positive
Actually team lead supportive hai environment positive hai bhai,Positive
Suna dekhte hain agle hafte kya update aata hai,Neutral
Acha course practical examples se bhara hua hai !,Positive
Bro bohot achi initiative hai is se logon ko faida hoga lol,Positive
Acha drama middle episodes mein slow ho gaya tha !,Neutral
Actually internet speed ab stable hai kaam asani se ho raha,Positive
Actually price aur quality ka balance dekhna hoga bhai ok,Neutral
Suna delivery on time aayi aur product sahi tha ok,Positive
Dekho delivery window diya gaya tha usi mein aa gaya yaar,Neutral
Actually manager ka attitude staff ke sath theek nahi lol,Negative
weather forecast ke mutabiq agle din change ho sakta,Neutral
Actually match ka outcome unpredictable tha dono teams equal bhai ok,Neutral
Bro battery backup claim se bohot kam hai ok,Negative
Aray new policy se students ko relief milega :),Positive
Aray comment section toxic ho gaya hai discussion nahi hoti :),Negative
Aray traffic normal raha subah ke rush ke baad bhai ok,Neutral
Yaar traffic system improve hua hai is area mein yaar lol,Positive
Bro abhi final result ka wait hai kuch kehna jaldi hoga,Neutral
Honestly acting theek thi lekin story average level ki bro,Neutral
Aray app mein kuch features useful hain kuch confusing,Neutral
Honestly public transport safe nahi lagti raat ko bhai ok,Negative
Yaar internet speed itni slow hai ke kaam nahi ho raha yaar,Negative
Aray food quality mein pehle jaisi baat nahi rahi bhai ok,Negative
Suna script weak thi actors ne bhi overacting ki bhai,Negative
Bhai match ka outcome unpredictable tha dono teams equal !,Neutral
Yaar app mein kuch features useful hain kuch confusing !,Neutral
Dekho system change ho raha hai time lagega settle hone mein !,Neutral
Actually comment section toxic ho gaya hai discussion nahi hoti lol,Negative
Actually drama ka storyline interesting tha end bhi theek laga bhai ok,Positive
Actually battery long lasting hai daily use ke liye perfect :),Positive
Yaar app bar bar crash karti hai update ke baad bhi !,Negative
Bro traffic jam se roz ka time waste ho raha hai bro,Negative
Aray traffic normal raha subah ke rush ke baad ok,Neutral
Aray sound quality poor hai headphones ke through bhi bhai,Negative
Dekho battery usage normal raha heavy apps ke sath lol,Neutral
Dekho product bilkul description jaisa mila satisfied ok,Positive
Aray load shedding wapas aa gai hai garmi mein musibat lol,Negative
Suna bijli ka issue ab control mein hai shukar hai lol,Positive
Bhai match fixing ke ilzamat se dil dukhta hai bhai,Negative
Dekho news abhi developing hai confirm hona baqi hai !,Neutral
Aray parking system organize ho gaya hai ab asani hai bro,Positive
Suna event well managed tha crowd control bhi theek bro,Positive
Actually course practical examples se bhara hua hai lol,Positive
Bhai traffic jam se roz ka time waste ho raha hai ok,Negative
match exciting tha last over tak interest bana raha ok,Positive
Dekho food fresh aur tasty tha packaging bhi achi,Positive
Bhai delivery window diya gaya tha usi mein aa gaya yaar lol,Neutral
Aray food fresh aur tasty tha packaging bhi achi yaar lol,Positive
Suna customer support bilkul help nahi karta calls cut kar dete hain ok,Negative
