text,label
جاگو دوسرے صوبوں کا ٹیکس خود کھا جاو,1
حالیہ ماضی کے کچھ رجحانات جو ہماری گرتی اخلاقی اقدار کو ظاہر کرتے ہیں ِ_معاویہؓ_کوگرفتارکرو :// …,0
صوفی ازم لوورز کو پروموٹ کریں,0
کیا سندھ حکومت گارنٹی دے سکتی ہںے کہ کورونا سے بچ بھی گئے تو موت نہیں آئےگی؟,0
انتہاٸی خوبصورتی اور پیشہ ورانہ مہارت سے کرونا کے ذکر کو ایران سے گھما کر تبلیغی جماعت کی طرف موڑ دیا گیا ہے!!!,1
حکومتی ناکامی کی ذمہ داری مذہبی طبقے پر ڈالتے ہوئے کوئی شرم نہیں کوئی حیا بھی نہیں۔ جن حکومتی وزرا نے وائرس سے متاثرہ لوگوں کو ملک بھر میں پھیلایا، ان کے خلاف کیا کارروائی ہوئی؟ اب تک حکومت کوئی حکمت عملی بنانے میں ناکام کیوں ہے؟ اس کا ذمہ دار بھی مذ,1
الحمدللہ تحریک لبیک پاکستان کراچی ڈویژن کے سندھ حکومت سے کامیاب مذاکرات، ان شاءاللہ رہائیوں کا عمل جلد شروع ہوجائے گا۔ تحریک لبیک پاکستان کراچی ڈویژن,0
Bilkul Nahi جب کوئی آفت یا عذاب آتا تو رسول اللّہﷺ مسجد جاتے تھے۔ اور دوسروں کو بھی مسجد میں جانےکی تاکید کرتے تھے۔ :// …,0
پی ٹی وی چینل کے علاوہ سب چینلز کو بند کر دو جب تک لاک ڈاون ہے,0
پانچ سال تک زرداری جیسا شیطان صدر بن کر حکومت کرتا رہا پاکستان پر ۔ اب یہ کسی منہ سے استعفیٰ مانگ رہا ہے,1
جنگ بعد کی بات ہے پہلے تو شیعہ مذہب قرآن سے ثابت کر لفظ شیعہ قرآن میں ہے اب بات کا جواب دے نا ِ_معاویہؓ_کوگرفتارکرو,1
جس قوم کا ایمان اس کی طاقت تھا آج اس دین کے ماننے والے لاتعداد ہونے کے باوجود بھی اہل کفر کے سامنے سر خم کیے ہوئے ہیں.,0
وما خلقت الجن والانس الا الیعبدون مقصد زندگی جو مالک کاهنات نے بتایا تھا اسکو بھول کے ضروریات کے پیچھے لگ گیا یه انسان اسطرح اپنا سکون بھی برباد کیا اور ساتھمیں دوسروں کا بھی,0
چلتی پھرتی لاشیں ہیں ۔۔۔۔پیپر دیتے موت پڑتی ہے ان کو,0
تبرا ذلالت ہی ذلالت,1
قادیانیوں کیلئے اتنا ہی بہت ہے کہ انہیں اس سرزمین پر برداشت کیا جارہا ہیں ورنہ تو مرتد کا حکم شریعت میں سیدھا ٹھوک دینا ہے۔,1
یہ تمھارے باپ کا پیسہ نہیں نہ ہی یہ ملک تمھارے باپ کی جاگیر پے۔ …,0
کسی نبی کو اس وقت تک نبوت سے سرفراز نہیں کیا گیا جب تک اس نے اللہ کے لیے صفت بداء کا اقرار نہیں کرتا. معاذاللہ کتاب کا نام : اصول الکافی‘ جلد نمبر 1 صفحہ نمبر256 (شیعہ کی بنیادی اور اصلی کتاب),0
اجناس کی قیمتوں پر قابو پانے کے بجائے حکومت ان تمام مساجد کو بند کررہی ہے جہاں مسلمان اللہ کے حضور نماز پڑھتے ہیں۔ لعنت!,0
متفق لوگ Retweet کریں,0
لعنت ان جاہل مفتیوں پر جو قوم کو مرواتے ہیں انکا اپنا آخری وقت آ گیا ہے۔ لعنت,1
ارشد شریف کی جو کتے والی کر رہے ہیں مجھے اس سے اور اس جیسے بوٹ لکر صحافیوں سے کوئی ہمدردی نہیں Dog eats dog والی سچویشن ہے، اور بیچو قلم، اور چاٹو بوٹ، اور کرو صحافتی بدنیاتیاں …,1
میرے نبی پر آنے والا کلام سچا ہے,0
یہ بھی ٹھیک ہو گیا یہ بھی ٹھیک ہو گیا یہ بھی ٹھیک ہو گیا ناظرین اس وقت یہ سب ٹرینڈ پینل پر ہیں کسی کو کوئ شک ہو تو پینل دیکھ سکتے ہیں...,0
کرپشن کا بے تاج بادشاہ جس کی کہانیاں ذبان زدعام ہیں,1
اج بروز جمعرات شام 7:00 بجے ٹویٹر پر ہیش ٹیگ نوٹ فرمالیں منجانب اھلسنت سوشل میڈیا ٹیم تمام مسلمان اس ٹویٹ کو زیادہ سے زیادہ ریٹویٹ کیجئے,0
اسلام کسی بھی صورت میں مساجد بند کرنے کا حکم نہیں دیتا.,0
ضروری اعلان,0
غلام۔مصطفیٰ بن کر میں بک جاؤں مدینے میں محمد نام پر سودا سر بازار ہو جائے,0
جب یہ خبر چھپی مسلمانوں نے دیکھی ہوگی تو مسلمانوں کو جذبات کیا ہونگے,0
برایے مہربانی 3 سال بعد کوشش کریں,0
سانپ کو صرف دیکھ کر لوگ ڈر کے مارے بہاگ جاتے ہیں ابوبکر صدیقؓ میری نسلیں تیری نسلوں پر قربان تو سانپ کا ڈسنا برداشت کرتا رہا لیکن اپنا پاؤں نہیں ہٹایا,0
“انہیں شوق پوراکر لینے دو” طبی بنیادوں پر ضمانت کیلئے کہنے والوں کو صدر آصف علی زرداری کا جواب۔ یہ الفاظ آمرانی حکومت کے منہ پر ایسا طمانچہ ہے جس کے نشانات اس حکومت کو دفن ہونے تک دکھائی دیں گے۔,1
قانون نبوت میں جو ترمیم کریں گے ان کے خلاف جنگ کا اعلان کریں گے,0
پیچھے چلو انہی کے کہ ہوجاؤ کامراں منزل کا اک نشان ہیں صحابہؓ حضوؐر کے دیکھی وہاں وہاں پہ ہے اسلام کی بہار گزرے جہاں جہاں ہیں صحابہؓ حضوؐر کے,0
جاہلو! کیوں سب کو موت میں دھکیل رہے ہو؟ کیوں لاکھوں کو یتیم کرنے جا رہے ہو؟ ۔۔۔مذہب کو کبھی تم مولاوں نے پڑھا بھی ہے؟ مذہب اسلام کسی بھی عمل کو اٹل نہیں کہتا اور ہر معاملے میں flexible ہے۔۔ اللہ غرق کرے ان سب کو جو جہالت پھیلانے کا باعث بن رہے ہیں,1
وزیراعلیٰ پنجاب کا احساس کفالت پروگرام کے تحت گوجر خان کے سکول میں قائم مالی امداد سنٹر کا دورہ۔ وزیر اعلی کو مستحق افراد میں مالی امداد تقسیم کرنے کے بارے میں تفصیلی بریفنگ دی گئی,0
جو استعفی آپکو چاہیے وہ شیخ رشید کے پاس ہے وہ دے گا اس سے مطالبہ کر سکتے آپ,0
آخر پر جو خرچ کیا ہے۔ اب ان سے بھونکنے کا کام تو لیں گے نا۔ ان کے پاس کہنے کیلئے کچھ ہوتا نہیں بس ایک ہی بات کو پکڑ کر دہراتے رہتے ہیں۔ انتہائی فارغ الدماغ ہیں یہ یوتھیئے۔,1
پاک آرمی زنداباد,0
فوج اپنے وقار کا ہر حال میں تحفظ کرے گی: جنرل راحیل,0
واضح رہے کہ ایم کیو ایم، تحریک انصاف، مسلم لیگ فنکشنل سمیت سول سوسائٹی کی جانب سے دائر درخواستوں میں موقف اختیار کیا گیا ہے کہ قومی احتساب بیورو سندھ میں موثر انداز میں کام کر رہی ہے,0
صحابہؓ ستاروں کے مانند ہیں یہ میرے آقا کے الفاظ ہیں اور جو لوگوں ان الفاظ کا احترام نہیں کرسکتا ہے وہ میرے نبیﷺ کا بھی احترام نہیں کرسکتا ہے,0
تمام احباب سے گذارش ہے اس وباء پر یہ مت کہیں کہ یہ فلاں عمل کی سزا ہے یا فلاں عمل کی۔۔۔۔ بس توبہ کریں استغفار کریں ورد و وظائف کریں خصوصاََ نماز کی پابندی کریں ۔۔اللہ تعالی اپنے حبیب ﷺ کے ہم سب پر رحم اور کرم فرمائے۔۔۔اللھم ربنا آمین,0
اب تمام میدیا چینل بھی بند کرو,0
تصویر میں دو پائی وینٹی لیٹرز کی بجائے تابوت تیار کر رہے ہیں۔ !!,0
بہت جھوٹا‘ بہت بڑا افترا پرداز‘ بڑا ہی مکار اور فریبی‘ خود گمراہ اور دوسروں کو گمراہ کرنے والا ہوگا‘,0
قادیانیوں کے سہولتکار بھی کافر,1
تو کیا اسکے لئے ہم بھارت کی حکومت سے امید رکھیں کوئی ایسا قانون بنانے کی جناب آپ کی گورنمنٹ ہے آپ نے ہی کرنا ہے جو کچھ کرنا ہے۔۔۔ اگر نہیں کرسکتے تو علیحدہ ہوجائیں اقتدار کی کرسی سے کیوں کہ روز قیامت حساب تو آپ کو بھی دینا پڑے گا اپنی آخرت تو بچائیں۔,0
جتنے بھی لوگوں کی اموات کرونا سے ہوں انکی نماز جنازہ مفتی منیب سے پڑھوانا چاہئیے ۔ بلکی مفتی سے کہیں کہ جنازے کو کاندھا بجی دیں ۔ ثواب کا کام ہے ۔,0
بینظر نے اپنی حیات میں دو بار گند کیا اک تو سے شادی رچائی اور دوسری کو جنم دیا اور کے ساتھ,1
بھٹو فلٹریشن پلانٹ کا افتتاع کرتے ہوے,0
*آج اپنی ذلت کا یہی سبب ہے اقبال سب کچھ یاد ہے مگر خدا بس یاد نہیں*,0
تم خود کو فرعونیت پر درجہ پر فائز کرچکے. میرے وطن کو تم نے کھوکھلا کردیا. سندھ کو کرپشن کا گڑھ بنا دیا. خاکروب سے ڈائیریکٹر تک ہیر پھیر میں مصروف ہے جواب تو دینا ہوگا.,1
دینی مراکز پر پابندی حتی کہ نماز باجماعت پر پابندی سندھ حکومت یہود ونصارہ کے ایجنڈے پر عمل پیرا ہے,1
کسان بھائیو قرضوں کی معافی اور زرعی مصنوعات ٹیکس فری کروانے کے لیے آواز اٹھاو ہر بندہ اس پر اپنی پوسٹ لگائے,0
گھر بیٹھے اتنے دن ھو گئے ھیں۔ بیگم آتے جاتے کہہ جاتی ھے پتا نہیں یہ بیماری کب جائے گی۔ واللہ علم مجھے کہہ رہی ھے یا کرونا کو,0
امیرالمجاہدین نے کہا تھا نا دین سے ٹکر نا لو آج پوری دنیا سجدے میں پڑی ھے اور پاکستان کے بیغیرت حکمران مسجدی بند کرانا چاھتے ھیں جو انکا باپ بھی نھی کروا سکتا,1
ان ایکشن …,0
کوئی شیعوں کے پیچھے پڑا ہے تو کوئی تبلیغیوں کے پیچھے کیا ہو گیا ہے اس قوم کو، ہم خدا کو کیا منہ دکھائیں گے؟,1
مفتی منیب الرحمان صاحب نے جو آج اس ڈبو کی کی ہے آپ وہ سن لے تو مشاہد صاحب کو بھی بھول جاۓ گے,1
زلفی بخاری پاکستان کا غدار ہے,1
یا اللہﷻ ان علماء اکرام کا سایہ ہمارے سروں پر تا دیر قائم فرما۔آمین,0
تیری سرکار ملاتا ہے رضا اس کو شفیع جو یراغوث ہے اور لاڈلا بیٹا تیرا,0
علما حق انبیاء کے وارث ہیں اور اس مشکل وقت میں مفتی صاحب نے ثابت کر دیا,0
سانپ سے یاری تو ہو سکتی ہے مگر ختم نبوت کے غداروں سے یاری نہیں ہو سکتی,1
ایرانی مجوسیوں کو اب سبق سیکھانا ہوگا ورنہ آئے روز یہ ولد الزنا کی نسل صحابہؓ پہ تبراء کرینگے ِ_معاویہؓ_کوگرفتارکرو,1
یہ کوئی انصاف نی کہ وردی پہن کر جو جی چاہیے کرو,0
اس گستاخ ضامن نامی لڑکے کو اگر ابھی جہنم واصل کردیا جائے تو اگلی دفعہ کوئی بھی گستاخ سامنے نہیں آئیگا ۔ لیکن افسوس ہمارے قانون صرف غریب ، نادار اور اسلام پسند لوگوں کے لیئے ہوتا ہے ِ_معاویہؓ_کوگرفتارکرو,1
سلطانِ مدینہ نے دعا مانگی عمر دے اللہ کی عطا سے تجھے بغض ایڈئیٹ,0
سرکاری ملازمین مولانا کی مجبوری ھے گورنمنٹ کے ھر اقدام کی حمایت کرنا مگر علماء حق زندہ باد,0
جن جن پاکستانیوں کو یہ میسج آیا ہے انہیں کرونا ہو سکتا ہے ، حکومت پاکستان کی جانب سے بھیجا گیا,0
اس میڈیا نے یہ حکومت ہم پر مسلط کرنے میں کوئی کسر نہیں چھوڑی تھی اب یہ اس کا تیا پانچا کر رہے اور بوٹا انجواۓ کر رہا,0
اپنا کام بخوبی سرانجام دے رہے ہیں یہ منہاجیو کا کام بھی دیکھ لیں۔۔۔۔,0
گندم چور,0
ابے یہ لٹیرے وڈیرے تو ایک دم سے پاگل ہوگۓ ہیں ملک کو اور خاص کر سندھ کو اپنے باپ کا مال سمجھ لیا ہے ان کمینوں نے... …,1
شَھِدَ اللٰہُ اَنَّہ لَا اِلٰہَ اِلَّا ھُوَ وَالْمَلَائِکَۃُ وَاُولُواالْعِلْمِ. ’’اللہ ‘ فرشتے اور اہل علم اس بات کی گواہی دیتے ہیں کہ اللہ کے سوا کوئی معبود نہیں۔‘‘,0
قرآن کریم کی بلا مبالغہ بیسیوں آیات اور آنحضرت صلی اللہ علیہ والہ وسلم کی سینکڑوں احادیث اس کی شاہد ہیں۔ یہ مسئلہ قطعی طور پر مسلّم اور طے شدہ ہے اور اس موضوع پر بے شمار مُفصّل کتابیں بھی شائع ہو چکی ہیں,0
"Once upon a time. There was a shehreyar afridi who was all time will to give his life to Allah. Anyone do call him and tell him to get affected by corona. Because it is right time to ""جان اللہ کو دینی ہے"".",0
سندھ حکومت نے جو کچھ دن پہلے میڈیا کو 20 کروڑ دیے تھے اور عثمان بزدار نے چپ چاپ اپنا کام کیا اور آج الحمد اللہ سپریم کورٹ نے بھی مان لیا,0
مفتی منیب الرحمن صاحب نے ہمیشہ دلائل سے اور اسلام کے مطابق بات کی,0
پی ٹی آئی کا کوئی یوتھیا حاضر ہو اور اپنے اس ماں جاۓ کی اس حرکت کا جواب دے۔,1
قوم یوتھیا نہی ۔,1
