text,label
Sahi keep creating issi tarah,0
Aray background music balanced hai bhai,0
Aray itna simple cheez bhi nahi samajh paya yaar lol,1
Dekho eye contact camera se bilkul nahi bana bhai haha,1
Dekho friends ko recommend karunga !,0
Haye filler words itne zyada hain ke irritate ho raha,1
Haye saved for later watching !,0
Bro practical tips diye hain tune bhai,0
Dekho acha try hai overall lol,0
Dekho competition mein toot jaega ye content bhai,1
Dekho recommend nahi karunga kisi ko yaar lol,1
Aray next video ka wait rahega !,0
expertise dikhane ki koshish fail ho gai yaar,1
Dekho reply dekh ke gussa aa gaya yaar lol,1
Yaar recommend nahi karunga kisi ko !,1
Oye real life examples se connect ho gaya :),0
Yaar comments mein bhi drama karta hai bro,1
Dekho validation ke liye kuch bhi kar lega yaar lol,1
Aray thumbnail attractive bana hai yaar lol,0
Yaar filler words itne zyada hain ke irritate ho raha bhai haha,1
Dekho mute kar diya maine isko lol,1
Haye sarcasm achhe se handle kiya lol,0
Dekho trending topics pe bhi fail ho gaya bhai haha,1
Yaar reply dekh ke gussa aa gaya yaar lol,1
Acha collaborate karne layak bhi nahi hai bhai haha,1
Dekho accent force kar raha hai bilkul lol,1
Sahi competition mein toot jaega ye content bhai haha,1
Dekho toxic behaviour dikha raha hai comments mein lol,1
Oye hasa diya tune end mein !,0
Sahi expertise dikhane ki koshish fail ho gai bro,1
Bhai toxic behaviour dikha raha hai comments mein haha,1
Oye engagement dekh ke pata chal jata hai yaar lol,1
Bro khud kuch nahi jaanta bas suni sunai baatein,1
research solid lagti hai bro,0
Haye bookmark kar liya important points bro,0
Acha har baat pe defend karta rehta hai lol,1
Sahi bookmark kar liya important points bhai haha,0
body language se confidence nahi dikhta bhai,1
Dekho share karne layak content hai :),0
Sahi views kam hain toh soch samajh le,1
Acha direction sahi hai bas improve karte raho,0
Dekho growth mindset clear dikhta hai haha,0
Haye follow up video bhi bana dena,0
Aray beginners ke liye perfect video,0
Haye diagrams se concept clear ho gaya bhai,0
Haye research solid lagti hai ok,0
Sahi algorithm bhi isko support nahi karega yaar,1
Haye background noise se dimagh kharab ho gaya haha,1
Sahi title se content match karta hai lol,0
Aray content mein koi baat hi nahi hai !,1
Sahi community proud feel kar rahi hai bhai haha,0
Acha report karne ka mann kar raha hai bhai,1
Acha friends ko recommend karunga lol,0
Haye topic interesting choose kiya hai haha,0
Bro body language se confidence nahi dikhta ok,1
Yaar sarcasm achhe se handle kiya lol,0
Aray discussion start kar di isne bro,0
Aray roast bhi soft tha is baar bhai,0
Aray step by step guide really helpful bhai,0
Yaar eye contact camera se bilkul nahi bana bro,1
Haye mute kar diya maine isko bhai,1
itni bekar editing pehle kabhi nahi dekhi yaar lol,1
Sahi logic toh bilkul missing hai isme bro,1
Bhai notification on karke rakhna :),0
Dekho khud kuch nahi jaanta bas suni sunai baatein bro,1
Bhai title se content match karta hai bro,0
Yaar information galat de raha hai tu ok,1
Bro energy fake lag rahi hai poori yaar,1
Bhai energy fake lag rahi hai poori bhai haha,1
toxic behaviour dikha raha hai comments mein bhai haha,1
beginner level se bhi neeche hai ye bhai,1
Dekho attention seeking behaviour hai ye,1
Sahi script hi nahi likhi tune lagta hai haha,1
Dekho ego itna uncha hai ke ground nahi dikhta ok,1
algorithm bhi isko support nahi karega yaar lol,1
Dekho comments mein bhi drama karta hai !,1
Acha dosre creators se seekh le pehle haha,1
Acha bolne ka tarika bilkul unnatural hai yaar,1
Bhai feed mein ye dikhna band ho jaye yaar lol,1
Acha trending topics pe bhi fail ho gaya :),1
Sahi timeline kharab kar diya isne yaar,1
Haye comments section active ho gaya,0
Bro tumhe topic ki basic knowledge bhi nahi bhai haha,1
Yaar summary end mein bohot useful thi yaar,0
Haye ego itna uncha hai ke ground nahi dikhta yaar,1
Yaar lighting setup professional lag raha ok,0
Dekho classroom mein use kar sakte hain haha,0
Bro expertise dikhane ki koshish fail ho gai yaar lol,1
Acha hate comments isliye aa rahe hain bhai,1
Bro algorithm bhi isko support nahi karega,1
Haye direction sahi hai bas improve karte raho yaar lol,0
Yaar validation ke liye kuch bhi kar lega ok,1
comments mein bhi drama karta hai ok,1
Bhai pause itne lambe le raha hai ke bore ho gaya bhai,1
Haye memes se mood ban gaya yaar lol,0
Dekho title se content match karta hai bhai haha,0
Acha research solid lagti hai bhai haha,0
Yaar timeline kharab kar diya isne yaar lol,1
Dekho pagalpan faila raha hai comments mein bhai,1
Oye zyada ghamand mat kar bhai ok,1
share karne layak content hai ok,0
Haye feed mein ye dikhna band ho jaye yaar,1
Bhai transitions natural lag rahe hain yaar lol,0
Sahi bolne ka tarika bilkul unnatural hai :),1
Aray common sense bhi use nahi kiya tune yaar lol,1
Aray pagalpan faila raha hai comments mein lol,1
Aray itna simple cheez bhi nahi samajh paya !,1
Haye information galat de raha hai tu ok,1
Haye energy fake lag rahi hai poori bro,1
Bro research solid lagti hai bhai haha,0
Yaar inspiration milta hai tere se lol,0
Bro consistency dikh rahi hai teri ok,0
Bro attention seeking behaviour hai ye yaar lol,1
Sahi ego itna uncha hai ke ground nahi dikhta lol,1
Bhai trending topics pe bhi fail ho gaya ok,1
Bro reply dekh ke gussa aa gaya yaar,1
Aray relatable bohot tha ye wala bhai haha,0
Aray notes bana liye is video se lol,0
Yaar step by step guide really helpful bhai,0
Dekho timeline kharab kar diya isne haha,1
Yaar script hi nahi likhi tune lagta hai bhai haha,1
Oye topic interesting choose kiya hai !,0
Acha practical tips diye hain tune bhai,0
Aray recommend nahi karunga kisi ko !,1
