text,label
احتجاج سب کا آئینی حق ہے مگر عمران خان کا ماضی گواہ ہے کہ اس نے احتجاج کے نام ملک میں انتشار پھیلایا سرکاری اور عوامی املاک کو نقصان پہنچایا اس کے پیش نظر ہمیں عوام کے تحفظ کیلئے تمام اقدامات کرنے پڑ رہے ہیں سینیٹر نہال ہاشمی,0
پھر سمری لیکر اس چوتیا کے پاس جانے کی کیا ضرورت تھی اس نے کیا اکھاڑ لینا تھا بس گ کی کھرچ ہی مٹانی تھی,0
کانسپٹ لوں پر چڑھ گیا، پیچھے عشقیہ گانے لگاؤ اور ایک دوسرے کو ماریں تو بن جائے گی ٹک ٹاک ویڈیو,1
اللہ ات کریں شریف خاندان، زرداری خاندان، پی ڈی ایم اور ان کے ہواریوں، پٹواریوں اور جیالوں کو آمین,1
احتجاجی لوگوں کا کہنا تھا کہ پولیس کے تشدد سے سب سے زیادہ حالات میں سیاہ فام لوگوں کی ہوتی ہیں۔,1
امیر بھائی آپ بہت بدچلن ہو,1
ایک تہجد گزار بوڑھی عورت کی پرائیویٹ بیڈروم ویڈیو اسکی بیٹی کو جاری کر دی گئی لیکن کوئی جج نوٹس لے گا نہ کوئی مولوی احتجاج کرے گا اور نہ ہی انسانی حقوق کی نام نہاد تنظمیں عورت مارچ کریں گی,1
یوتھیوں کی تشریفوں میں آگ لگی ہے اس انٹرویو سے,1
ہم جو تاریک راہوں سے واپس ہوئے,0
اپنی غلیظ زبان سے اپنی سگی ماں کو ننگا کرنے والا,1
خواجہ آصف صاحب جب اسمبلی میں تشریف لاتے ہیں تو پی ٹی آئی والوں کی ٹانگیں کانپنے لگ جاتی ہیں,0
کشمیریوں کے حق کے لیے کوئی نئی بول رہا ہے,1
بلڈ پریشر اور ہارٹ کے مریض نا دیکھیں آج کا میچ,0
جب نواز کمین کی حکومت تھی تیری مریم اعوان تو اسپیشل جہاز پر جاتی تھی وہاں موت نہیں آئی تھی,1
جنہوں نے خاموشی سے افغانستان روس اور امریکہ جیسی طاقتوں کو بھاگنے پر مجبور کر دیا,1
مجھے تو اسی روز پتہ چل گیا تھا کہ خان ملک کا بیڑا غرق کریگاجب اسنے مدینہ کی ریاست کا شوشہ چھوڑا تھا,1
شہباز شریف سعودیہ کے بعد چین سے بھی واپس اسلام آباد پہنچ چکا ہےلیکن عمران لاھور سے اسلام آباد نہیں پہنچ سکا,0
ہم انشاءاللہ ویسے بھی ایک ہیں اور ایک ہی رہیں گئے اور دشمن کی گردن توڑ ڈالیں گئے,1
ہمیشہ اوپنر آتا ہے اور پہلی بال سے پہلے ہی آوٹ ہوجاتا ہے پتا کس نے اس کو کپتان بنایا ہے اس جیسے سفارشیوں نے باقیوں کا بھی رستہ روک کر رکھا,1
آپ کو اگر اتنا کچھ پتا ہے تو یہ بھی بتا دیں کس چیز پہ معافی مانگی ڈیلی میل نے,0
تیری ماں کا پیٹ تو ایسے نکلا ہوا ہے جیسے جیسے محلے کے سارے بچوں کی امی وہی ہیں,1
اسٹاک مارکیٹ کا تو بیڑا غرق ہوگیا ہے پوائنٹس کی کمی اربوں کا نقصان,1
یزید کے شامی فوجی راوی ہیں اس کے  یزید کی تصدیق کر لے تو,1
پاکستان کی حالت اس یتیم لڑکی جیسی ہے جو شادی کے کچھ عرصہ بعد بیوہ ہوجاتی ہے اور اسکے سسرال والے اسے حاملہ بھی کرتے ہیں اور دھندہ بھی کرواتے ہیں اور دنیا کو بتاتے ہیں کہ ہم بیوہ کو سنبھال رہے ہیں جو چھٹی آتا ہے اس کی ٹانگیں اوپر کردیتا ہے جج یا چھاؤنی سے,0
پاکستان کے سابق وزیر اعظم عمران خان نے کہا ہے کہ امریکہ کبھی نہیں کہے گا کہ اس نے میری حکومت گرانے کے لیے سازش کی تاہم سائفر ایک حقیقت ہے اور اسے پاکستان کی سیکیورٹی کونسل اور صدر پاکستان سمیت سب نے خود دیکھا کہ اس میں کیا لکھا تھا,0
یہودوں کے داماد کی سیاست ختم  دسمبر شام  بجے مفتی محمود مرکز پشاور میں قائد جمعیت کی موجودگی میں معروف صنعتکار جناب سینیٹر دلاور خان اعظم خان اور عدنان خان ایک پرہجوم پریس کانفرنس میں جمعیت میں شمولیت کا اعلان کریں گے,0
ایف آئی اے سائبر کرائم کی کارروائی بلیک میلر گینگ کا سرغنہ گرفتار,0
یہ ٹرینڈ پی ٹی آئی والوں نے چلایا ہے جس میں کامران بھائی کے دلائل کا جواب بلکل موجود نہیں بس لعنتی کمینہ یعنی گالیاں ہیں اب جو لوگ دلائل کی بجائے گالیاں استعمال کریں انہیں باشعور کہنا خود لفظ باشعور کی توہین ہے,1
کاش کوئی ایسی خطرناک دھمکی سننے کو مل جائے زیادہ پریشان کرو گے تو شادی کر لوں گی تم سے,0
ہندوستانی کنجڑی کا اپنا ہی مزا ہوتا ہے,1
اوئے انڈین کتو گولے کیوں مارتے ہو دم ہے تو اینٹ مار کردکھائیں پھر دیکھنا میرا کپتان اس کا جواب پتھر سے کیسے دیتا ہے,1
لانت ہو تم پر ترق مسعود,1
بانی پاکستان حضرت قائداعظم کی ہمشیرہ محترمہ پر پاکستان توڑنے کا الزام بھی لگایا گیا اس ملک میں اور لگانے والے کون تھےہم سب قصوروار ہیں اندھی عقیدت و محبت نے انکو اندھا کر دیا ہوا ہے سب واپس ہوگا انشاء اللہ,0
بس کر دو یار اسے حج کرنے دو اس سے گھنٹا فرق نہیں پرنا چاہیے ہمیں ان کہ کیا ہر بندے نے اپنے ہی اصول ہی بنائے ہوئے ہیں,0
خوب آج ممکن ہے کہ سو نہ سکوں گا محسنیاد پھر آئی ہے نیندوں کو اڑانے والی,0
ایسا گیم ہم کھیلتے نہیں جس میں ٹوسٹ نہ ہوں,0
تم نے جو پڑھا ہے وہی کافی ہے، آگے پڑھنے کے بعد بندہ غلام بن جاتا ہے، پھر تو فلم دیکھنا بہتر ہے اہل بیت کے بارے میں پڑھنے سے۔ میں بندہ آزاد ہوں، کسی کا نہ نوکر نہ غلام، غلامی تم کتوں کو مبارک ہو، حسین کے کتے اور علی کے پالتو,1
ایک منٹ روک، مدارچوڈ,1
وزیر زراعت کاظم میثم کا ضلعی حکام کے ہمراہ حوطو دریائی کٹاو پر جاری حفاظتی بند کی تعمیر کے کام کا معائنہ,0
انسان جب غلیظ ہوتا ہے تو اسکی شکل تم جیسے بن جاتی پے اپنی شکل دیکھو منحوس انسان,0
ابے بھڑوے تو سمجھتا ہے تیری گلی سنوں گی، خود تتی کھاتا ہے تو دوسروں کو بولتا ہے,1
یا اللہ پاکستان قوم کو ہمت دے اس بے غیرت کو آئرپوٹ سے گھسیٹ کر کورٹ لے کر جائے اور عدالت کے سامنے جوتے مارے,1
