text,label
Suna process simple aur quick tha time bach gaya bhai ok,pos
Suna bijli ka issue ab control mein hai shukar hai bhai,pos
Aray comment section toxic ho gaya hai discussion nahi hoti bhai,neg
Bhai customer support bilkul help nahi karta calls cut kar dete hain bro,neg
Yaar course theory aur practical dono cover karta hai,neu
Honestly bohot achi initiative hai is se logon ko faida hoga bhai,pos
Yaar bijli ka issue ab control mein hai shukar hai !,pos
sound quality poor hai headphones ke through bhi :),neg
Actually public opinion divide hai is issue pe !,neu
Dekho abhi final result ka wait hai kuch kehna jaldi hoga,neu
Bhai app update ke baad smooth chal rahi hai bro,pos
Suna internet speed ab stable hai kaam asani se ho raha ok,pos
Actually bijli ka issue ab control mein hai shukar hai !,pos
Aray customer support bilkul help nahi karta calls cut kar dete hain yaar,neg
Honestly public transport safe nahi lagti raat ko,neg
Honestly product bilkul description jaisa mila satisfied :),pos
Aray course content outdated hai practical knowledge nahi milti ok,neg
Acha product average laga na bohot acha na bohot bura :),neu
Acha naye roads se travel easy ho gaya hai lol,pos
Bhai traffic jam se roz ka time waste ho raha hai ok,neg
Actually load shedding wapas aa gai hai garmi mein musibat !,neg
Suna bijli ka issue ab control mein hai shukar hai bhai ok,pos
Bhai battery usage normal raha heavy apps ke sath !,neu
Suna policy change se middle class ko nuksaan ho raha hai !,neg
Suna acting theek thi lekin story average level ki bhai ok,neu
Yaar ye decision bilkul galat hai awam ko nahi socha !,neg
Bro queue itni lambi thi ke time waste ho gaya !,neg
Bhai abhi final result ka wait hai kuch kehna jaldi hoga bhai ok,neu
Dekho match fixing ke ilzamat se dil dukhta hai !,neg
internet speed ab stable hai kaam asani se ho raha lol,pos
Aray system change ho raha hai time lagega settle hone mein bhai ok,neu
Yaar ye decision bilkul galat hai awam ko nahi socha,neg
Aray customer review mixed hain khud try karke pata chalega bro,neu
queue itni lambi thi ke time waste ho gaya bhai,neg
Bro match fixing ke ilzamat se dil dukhta hai :),neg
Aray system change ho raha hai time lagega settle hone mein ok,neu
Bhai team ki batting itni weak thi ke haar pakki thi !,neg
Honestly team ki batting itni weak thi ke haar pakki thi ok,neg
Bro ye decision bilkul galat hai awam ko nahi socha yaar,neg
battery long lasting hai daily use ke liye perfect bro,pos
Bro service is baar bohot behtar thi staff cooperative tha lol,pos
Bro course theory aur practical dono cover karta hai bhai ok,neu
Actually app mein kuch features useful hain kuch confusing !,neu
Yaar abhi final result ka wait hai kuch kehna jaldi hoga !,neu
Yaar acting theek thi lekin story average level ki :),neu
Aray customer review mixed hain khud try karke pata chalega,neu
Dekho exam difficulty level medium tha prepare logon ke liye yaar,neu
Bhai school activities se bachon ka confidence barh raha bro,pos
drama ka end bilkul bekar tha expectation se kam bhai ok,neg
Dekho audio clear hai background noise nahi,pos
Honestly internet speed itni slow hai ke kaam nahi ho raha :),neg
Acha price aur quality ka balance dekhna hoga ok,neu
Suna naye roads se travel easy ho gaya hai yaar lol,pos
Suna traffic normal raha subah ke rush ke baad :),neu
Honestly discussion constructive thi dono sides suni gain,pos
Dekho acting natural thi story engage karti rahi bro,pos
Aray weather forecast ke mutabiq agle din change ho sakta yaar lol,neu
Actually battery usage normal raha heavy apps ke sath,neu
Actually drama middle episodes mein slow ho gaya tha yaar,neu
Acha app bar bar crash karti hai update ke baad bhi yaar,neg
Aray discussion ongoing hai conclusion pehle nahi nikalna ok,neu
Actually school timing change ka asar abhi evaluate nahi hua bhai ok,neu
Dekho festival pe bheed itni thi ke maza nahi aaya bhai,neg
Acha ye decision bilkul galat hai awam ko nahi socha bhai ok,neg
Suna internet speed ab stable hai kaam asani se ho raha yaar lol,pos
acting natural thi story engage karti rahi bhai ok,pos
Honestly acting theek thi lekin story average level ki bhai ok,neu
Honestly festival pe bheed itni thi ke maza nahi aaya !,neg
Acha parking system organize ho gaya hai ab asani hai lol,pos
Bhai bijli ka issue ab control mein hai shukar hai yaar,pos
Actually service time pe depend karti hai kabhi tez kabhi slow yaar,neu
Bhai bohot achi initiative hai is se logon ko faida hoga bhai ok,pos
sound acceptable hai lekin premium nahi keh sakte :),neu
Dekho queue itni lambi thi ke time waste ho gaya bhai,neg
Actually service quality itni kharab ho gai hai ke gussa aata hai bhai,neg
Dekho app bar bar crash karti hai update ke baad bhi :),neg
Actually news abhi developing hai confirm hona baqi hai !,neu
Acha drama ka storyline interesting tha end bhi theek laga bro,pos
Suna system change ho raha hai time lagega settle hone mein lol,neu
Aray weather forecast ke mutabiq agle din change ho sakta ok,neu
Bhai price itni barh gai hai ke common man nahi khareed sakta bhai ok,neg
Honestly kuch log support kar rahe hain kuch oppose bhai,neu
Yaar battery usage normal raha heavy apps ke sath :),neu
public opinion divide hai is issue pe !,neu
Yaar traffic system improve hua hai is area mein bro,pos
Actually road condition itni kharab hai ke gaari kharab ho jati hai yaar lol,neg
Suna manager ka attitude staff ke sath theek nahi lol,neg
Suna team lead supportive hai environment positive hai lol,pos
Suna comment section mein positive baatein ho rahi hain bhai,pos
bohot achi initiative hai is se logon ko faida hoga bro,pos
Bro school activities se bachon ka confidence barh raha !,pos
system change ho raha hai time lagega settle hone mein bhai ok,neu
Bhai delivery late ho gai aur koi reply nahi aaya :),neg
Suna match exciting tha last over tak interest bana raha bhai ok,pos
course theory aur practical dono cover karta hai !,neu
Actually match ka outcome unpredictable tha dono teams equal bhai ok,neu
Yaar manager ka attitude staff ke sath theek nahi,neg
weather forecast ke mutabiq agle din change ho sakta :),neu
Bhai match fixing ke ilzamat se dil dukhta hai :),neg
Actually weather ab pleasant ho gaya hai outdoor activities possible ok,pos
Yaar exam difficulty level medium tha prepare logon ke liye ok,neu
Bhai festival pe bheed itni thi ke maza nahi aaya ok,neg
Aray school activities se bachon ka confidence barh raha,pos
Yaar queue itni lambi thi ke time waste ho gaya ok,neg
Acha public transport safe nahi lagti raat ko !,neg
team ki performance up and down rahi series mein bhai,neu
Actually sound acceptable hai lekin premium nahi keh sakte bro,neu
Dekho course content outdated hai practical knowledge nahi milti yaar lol,neg
Suna match exciting tha last over tak interest bana raha yaar,pos
Dekho battery usage normal raha heavy apps ke sath bhai ok,neu
Bhai kuch log support kar rahe hain kuch oppose ok,neu
Bro battery usage normal raha heavy apps ke sath lol,neu
Bhai app bar bar crash karti hai update ke baad bhi lol,neg
Acha delivery late ho gai aur koi reply nahi aaya bro,neg
Actually festival pe bheed itni thi ke maza nahi aaya yaar,neg
Honestly customer support bilkul help nahi karta calls cut kar dete hain !,neg
Bro price aur quality ka balance dekhna hoga yaar lol,neu
Aray product bilkul description jaisa mila satisfied,pos
audio clear hai background noise nahi bhai ok,pos
Actually school fees barh gai hain facilities waisi hi hain,neg
Dekho festival pe bheed itni thi ke maza nahi aaya bhai ok,neg
Bro abhi final result ka wait hai kuch kehna jaldi hoga bhai,neu
Suna parking ka masla har jagah hai system nahi hai bro,neg
Dekho new policy se students ko relief milega !,pos
Suna parking ka masla har jagah hai system nahi hai :),neg
Bro drama ka end bilkul bekar tha expectation se kam bhai ok,neg
Suna delivery on time aayi aur product sahi tha ok,pos
Actually product description se bilkul match nahi karta jo mila yaar lol,neg
Dekho school activities se bachon ka confidence barh raha yaar,pos
Actually app update ke baad smooth chal rahi hai bhai,pos
Suna product description se bilkul match nahi karta jo mila :),neg
Actually system change ho raha hai time lagega settle hone mein bro,neu
Actually internet speed ab stable hai kaam asani se ho raha yaar lol,pos
Yaar team ki batting itni weak thi ke haar pakki thi !,neg
Bhai battery long lasting hai daily use ke liye perfect bhai ok,pos
Acha match ka outcome unpredictable tha dono teams equal bhai,neu
Bhai match ka outcome unpredictable tha dono teams equal lol,neu
acting theek thi lekin story average level ki lol,neu
Suna ye decision bilkul galat hai awam ko nahi socha bhai,neg
Actually product average laga na bohot acha na bohot bura lol,neu
manager ka attitude staff ke sath theek nahi bhai ok,neg
match exciting tha last over tak interest bana raha bhai ok,pos
Honestly comment section mein positive baatein ho rahi hain :),pos
Bro interface simple hai lekin advanced options kam hain :),neu
Dekho customer support bilkul help nahi karta calls cut kar dete hain,neg
Acha traffic jam se roz ka time waste ho raha hai lol,neg
Aray product bilkul description jaisa mila satisfied yaar lol,pos
Aray traffic normal raha subah ke rush ke baad ok,neu
Actually course content outdated hai practical knowledge nahi milti lol,neg
parking ka masla har jagah hai system nahi hai :),neg
Yaar discussion constructive thi dono sides suni gain bhai,pos
Bhai discussion ongoing hai conclusion pehle nahi nikalna bro,neu
product bilkul description jaisa mila satisfied bhai,pos
Dekho bijli ka issue ab control mein hai shukar hai ok,pos
road condition itni kharab hai ke gaari kharab ho jati hai yaar lol,neg
Bhai naye roads se travel easy ho gaya hai,pos
Bro donon sides ke arguments hain decide karna mushkil yaar,neu
Bhai internet speed ab stable hai kaam asani se ho raha :),pos
dekhte hain agle hafte kya update aata hai bro,neu
Bro discussion ongoing hai conclusion pehle nahi nikalna,neu
Suna policy change se middle class ko nuksaan ho raha hai,neg
Acha app update ke baad smooth chal rahi hai yaar,pos
Dekho queue itni lambi thi ke time waste ho gaya yaar lol,neg
Suna course theory aur practical dono cover karta hai yaar lol,neu
Honestly donon sides ke arguments hain decide karna mushkil bhai,neu
Dekho match fixing ke ilzamat se dil dukhta hai lol,neg
Yaar traffic normal raha subah ke rush ke baad !,neu
Bro dekhte hain agle hafte kya update aata hai yaar lol,neu
Acha match ka outcome unpredictable tha dono teams equal !,neu
Actually delivery on time aayi aur product sahi tha yaar lol,pos
Aray audio clear hai background noise nahi :),pos
Bro weather itna extreme ho gaya hai pehle aisa nahi tha ok,neg
Bro drama middle episodes mein slow ho gaya tha !,neu
Bro app bar bar crash karti hai update ke baad bhi !,neg
school timing change ka asar abhi evaluate nahi hua bro,neu
Honestly kuch log support kar rahe hain kuch oppose :),neu
Aray food fresh aur tasty tha packaging bhi achi yaar lol,pos
interface simple hai lekin advanced options kam hain bhai,neu
Yaar bijli ka issue ab control mein hai shukar hai lol,pos
team lead supportive hai environment positive hai,pos
Honestly news abhi developing hai confirm hona baqi hai bhai ok,neu
Acha comment section toxic ho gaya hai discussion nahi hoti bhai ok,neg
Suna dekhte hain agle hafte kya update aata hai,neu
Aray drama ka storyline interesting tha end bhi theek laga yaar lol,pos
Bro match exciting tha last over tak interest bana raha !,pos
traffic system improve hua hai is area mein lol,pos
Yaar team ki batting itni weak thi ke haar pakki thi,neg
Honestly battery backup claim se bohot kam hai bhai ok,neg
match fixing ke ilzamat se dil dukhta hai bhai ok,neg
Aray weather forecast ke mutabiq agle din change ho sakta lol,neu
Bhai battery long lasting hai daily use ke liye perfect ok,pos
route alternative use kiya traffic avoid karne ke liye yaar lol,neu
Acha naye roads se travel easy ho gaya hai ok,pos
Acha weather itna extreme ho gaya hai pehle aisa nahi tha bro,neg
Bhai team ki performance up and down rahi series mein bhai,neu
fees structure clear hai hidden charges nahi lage yaar lol,neu
Aray internet speed itni slow hai ke kaam nahi ho raha yaar lol,neg
Honestly product average laga na bohot acha na bohot bura bro,neu
Aray team lead supportive hai environment positive hai yaar lol,pos
Bro food fresh aur tasty tha packaging bhi achi !,pos
Honestly traffic system improve hua hai is area mein bhai ok,pos
Yaar service time pe depend karti hai kabhi tez kabhi slow lol,neu
Aray service is baar bohot behtar thi staff cooperative tha yaar,pos
Yaar festival pe bheed itni thi ke maza nahi aaya bhai,neg
naye roads se travel easy ho gaya hai ok,pos
bijli ka issue ab control mein hai shukar hai yaar lol,pos
Dekho system change ho raha hai time lagega settle hone mein bro,neu
Honestly product bilkul description jaisa mila satisfied,pos
service is baar bohot behtar thi staff cooperative tha lol,pos
Acha internet speed itni slow hai ke kaam nahi ho raha !,neg
Actually price reasonable hai quality ke hisab se lol,pos
Bro bohot achi initiative hai is se logon ko faida hoga bhai ok,pos
route alternative use kiya traffic avoid karne ke liye bhai,neu
discussion constructive thi dono sides suni gain bhai ok,pos
Bhai match fixing ke ilzamat se dil dukhta hai bhai,neg
Bhai food fresh aur tasty tha packaging bhi achi ok,pos
Actually drama ka storyline interesting tha end bhi theek laga bhai ok,pos
Bro traffic system improve hua hai is area mein ok,pos
delivery window diya gaya tha usi mein aa gaya,neu
Acha course practical examples se bhara hua hai !,pos
Yaar discussion ongoing hai conclusion pehle nahi nikalna,neu
Aray school fees barh gai hain facilities waisi hi hain,neg
Dekho exam pattern is saal fair laga mehnat ka fal mila !,pos
Bhai dekhte hain agle hafte kya update aata hai lol,neu
Yaar acting natural thi story engage karti rahi bro,pos
Dekho bijli ka issue ab control mein hai shukar hai bhai,pos
Bro discussion constructive thi dono sides suni gain :),pos
Yaar acting natural thi story engage karti rahi !,pos
Honestly match ka outcome unpredictable tha dono teams equal yaar lol,neu
Bhai ye decision bilkul galat hai awam ko nahi socha ok,neg
Suna dekhte hain agle hafte kya update aata hai yaar lol,neu
Bro parking system organize ho gaya hai ab asani hai !,pos
Actually donon sides ke arguments hain decide karna mushkil bro,neu
Suna food fresh aur tasty tha packaging bhi achi lol,pos
Honestly donon sides ke arguments hain decide karna mushkil bhai ok,neu
Bro bijli ka issue ab control mein hai shukar hai bhai,pos
Yaar dekhte hain agle hafte kya update aata hai bro,neu
Acha school fees barh gai hain facilities waisi hi hain yaar lol,neg
Actually bohot achi initiative hai is se logon ko faida hoga,pos
Aray bohot achi initiative hai is se logon ko faida hoga ok,pos
Dekho delivery window diya gaya tha usi mein aa gaya :),neu
Honestly comment section toxic ho gaya hai discussion nahi hoti bro,neg
Yaar customer support bilkul help nahi karta calls cut kar dete hain bhai ok,neg
Yaar route alternative use kiya traffic avoid karne ke liye bhai ok,neu
Suna team ne pressure mein bhi acha perform kiya lol,pos
Acha interface simple hai lekin advanced options kam hain yaar,neu
Aray discussion constructive thi dono sides suni gain,pos
Suna queue itni lambi thi ke time waste ho gaya bro,neg
Bro exam system unfair lagta hai mehnat ka faida nahi milta :),neg
Dekho dekhte hain agle hafte kya update aata hai yaar lol,neu
Bro drama ka storyline interesting tha end bhi theek laga ok,pos
Aray discussion constructive thi dono sides suni gain lol,pos
Bro school timing change ka asar abhi evaluate nahi hua yaar,neu
policy ka asar dheere dheere dikhega !,neu
Actually naye roads se travel easy ho gaya hai bhai ok,pos
Bhai match ka outcome unpredictable tha dono teams equal !,neu
Acha team ki performance up and down rahi series mein yaar,neu
Aray app mein kuch features useful hain kuch confusing,neu
Aray food quality mein pehle jaisi baat nahi rahi bhai ok,neg
news abhi developing hai confirm hona baqi hai ok,neu
Bro naye roads se travel easy ho gaya hai ok,pos
Actually traffic normal raha subah ke rush ke baad ok,neu
Suna comment section toxic ho gaya hai discussion nahi hoti :),neg
Bhai news abhi developing hai confirm hona baqi hai bro,neu
Actually news abhi developing hai confirm hona baqi hai ok,neu
Honestly match ka outcome unpredictable tha dono teams equal lol,neu
Honestly parking ka masla har jagah hai system nahi hai yaar lol,neg
Acha delivery late ho gai aur koi reply nahi aaya !,neg
Honestly match fixing ke ilzamat se dil dukhta hai yaar,neg
Bhai internet speed ab stable hai kaam asani se ho raha,pos
Suna manager ka attitude staff ke sath theek nahi ok,neg
Yaar weather forecast ke mutabiq agle din change ho sakta bhai,neu
Aray dekhte hain agle hafte kya update aata hai yaar lol,neu
Yaar parking system organize ho gaya hai ab asani hai bhai,pos
price itni barh gai hai ke common man nahi khareed sakta bhai ok,neg
Bhai internet speed itni slow hai ke kaam nahi ho raha yaar lol,neg
Bhai discussion ongoing hai conclusion pehle nahi nikalna ok,neu
Bro festival pe bheed itni thi ke maza nahi aaya bro,neg
Actually sound quality poor hai headphones ke through bhi yaar,neg
Suna food fresh aur tasty tha packaging bhi achi !,pos
Bhai ye decision bilkul galat hai awam ko nahi socha !,neg
Honestly food quality mein pehle jaisi baat nahi rahi lol,neg
Acha service is baar bohot behtar thi staff cooperative tha !,pos
Bhai service time pe depend karti hai kabhi tez kabhi slow ok,neu
Aray queue itni lambi thi ke time waste ho gaya,neg
Aray parking system organize ho gaya hai ab asani hai yaar lol,pos
Bhai weather ab pleasant ho gaya hai outdoor activities possible ok,pos
Actually food quality mein pehle jaisi baat nahi rahi yaar lol,neg
Bhai weather ab pleasant ho gaya hai outdoor activities possible,pos
news channels sirf senseless debate karte rehte hain :),neg
Honestly exam system unfair lagta hai mehnat ka faida nahi milta bhai,neg
Dekho price itni barh gai hai ke common man nahi khareed sakta !,neg
Honestly exam difficulty level medium tha prepare logon ke liye !,neu
Dekho exam difficulty level medium tha prepare logon ke liye :),neu
Honestly road condition itni kharab hai ke gaari kharab ho jati hai :),neg
Dekho internet speed itni slow hai ke kaam nahi ho raha !,neg
Bro weather forecast ke mutabiq agle din change ho sakta yaar lol,neu
Honestly delivery late ho gai aur koi reply nahi aaya bhai ok,neg
Dekho team ki batting itni weak thi ke haar pakki thi ok,neg
Dekho system change ho raha hai time lagega settle hone mein !,neu
Bro food quality mein pehle jaisi baat nahi rahi bro,neg
Yaar parking ka masla har jagah hai system nahi hai yaar lol,neg
Yaar process simple aur quick tha time bach gaya ok,pos
Bhai acting theek thi lekin story average level ki ok,neu
Actually team lead supportive hai environment positive hai bhai,pos
Aray weather forecast ke mutabiq agle din change ho sakta !,neu
Dekho interface simple hai lekin advanced options kam hain bhai,neu
Bhai internet speed ab stable hai kaam asani se ho raha bhai ok,pos
Yaar kuch log support kar rahe hain kuch oppose lol,neu
Bhai public transport mein improvement dikhai de rahi hai !,pos
Suna donon sides ke arguments hain decide karna mushkil :),neu
Suna parking ka masla har jagah hai system nahi hai yaar,neg
Suna app mein kuch features useful hain kuch confusing yaar lol,neu
process simple aur quick tha time bach gaya,pos
Honestly ye decision bilkul galat hai awam ko nahi socha bhai ok,neg
Bro policy ka asar dheere dheere dikhega bro,neu
Actually audio clear hai background noise nahi yaar,pos
Suna discussion ongoing hai conclusion pehle nahi nikalna !,neu
Bhai traffic normal raha subah ke rush ke baad !,neu
Aray exam system unfair lagta hai mehnat ka faida nahi milta !,neg
Bro course content outdated hai practical knowledge nahi milti !,neg
Acha road condition itni kharab hai ke gaari kharab ho jati hai ok,neg
Dekho traffic system improve hua hai is area mein bhai ok,pos
price itni barh gai hai ke common man nahi khareed sakta,neg
Actually school timing change ka asar abhi evaluate nahi hua bro,neu
Suna weather ab pleasant ho gaya hai outdoor activities possible,pos
Bro exam pattern is saal fair laga mehnat ka fal mila !,pos
Honestly battery usage normal raha heavy apps ke sath bro,neu
Aray battery backup claim se bohot kam hai bhai,neg
Acha food quality mein pehle jaisi baat nahi rahi ok,neg
Bro school timing change ka asar abhi evaluate nahi hua ok,neu
Acha dekhte hain agle hafte kya update aata hai yaar lol,neu
Acha comment section mein positive baatein ho rahi hain ok,pos
Aray traffic jam se roz ka time waste ho raha hai lol,neg
Dekho match ka outcome unpredictable tha dono teams equal ok,neu
Yaar weather forecast ke mutabiq agle din change ho sakta lol,neu
Aray product description se bilkul match nahi karta jo mila !,neg
Bhai product bilkul description jaisa mila satisfied ok,pos
Honestly load shedding wapas aa gai hai garmi mein musibat lol,neg
Acha process simple aur quick tha time bach gaya yaar lol,pos
Aray script weak thi actors ne bhi overacting ki ok,neg
Bhai delivery window diya gaya tha usi mein aa gaya :),neu
Honestly course content outdated hai practical knowledge nahi milti :),neg
Yaar weather forecast ke mutabiq agle din change ho sakta !,neu
Acha battery usage normal raha heavy apps ke sath yaar lol,neu
Bro public transport safe nahi lagti raat ko bhai,neg
Bro traffic system improve hua hai is area mein !,pos
Honestly price itni barh gai hai ke common man nahi khareed sakta yaar,neg
Bro match exciting tha last over tak interest bana raha bhai ok,pos
Dekho service quality itni kharab ho gai hai ke gussa aata hai,neg
Acha app update ke baad smooth chal rahi hai !,pos
Aray news abhi developing hai confirm hona baqi hai yaar lol,neu
Suna customer review mixed hain khud try karke pata chalega,neu
Acha load shedding wapas aa gai hai garmi mein musibat :),neg
Actually school activities se bachon ka confidence barh raha ok,pos
Suna load shedding wapas aa gai hai garmi mein musibat yaar lol,neg
Honestly exam pattern is saal fair laga mehnat ka fal mila bhai ok,pos
Aray public opinion divide hai is issue pe bhai ok,neu
public transport safe nahi lagti raat ko,neg
Bhai app update ke baad smooth chal rahi hai :),pos
Bhai team ne pressure mein bhi acha perform kiya !,pos
Bhai weather ab pleasant ho gaya hai outdoor activities possible bhai ok,pos
Honestly product description se bilkul match nahi karta jo mila bro,neg
